nombre,direccion,barrio,comuna,tipo,distincion,edicion,url_fuente,calidad_fuente,conflicto,nota
El Cedron,Av. Juan B. Alberdi 6101,Mataderos,9,pizzeria_emblematica,APYCE + GCBA,2026,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/el-cedron,alta,,CONTROL OK
Los Maestros,Parana 1249,Recoleta,2,pizzeria_emblematica,APYCE + GCBA,2026,https://losmaestros.com.ar/,alta,,NO SE DETERMINO cual de los 3 locales es el historico
Pirilo,Defensa 821,San Telmo,1,pizzeria_emblematica,APYCE + GCBA,2026,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/pirilo,alta,,fundada 1932
Los Campeones,Av. Montes de Oca 856,Barracas,4,pizzeria_emblematica,APYCE + GCBA,2026,https://turismo.buenosaires.gob.ar/es/gastronomico/los-campeones,alta,,CONTROL OK. Local unico
San Carlos,Av. Rivadavia 4548,Caballito,6,pizzeria_emblematica,APYCE + GCBA,2026,https://www.cronista.com/clase/gourmet/la-historica-pizzeria-de-caballito-que-ofrece-porciones-llenas-de-queso-y-tenes-que-probar/,media,SI,"la prensa la describe en Rivadavia y La Plata, que cae unas cuadras despues"
Torino Norte,Av. Juan B. Justo 3995,La Paternal,15,pizzeria_emblematica,APYCE + GCBA,2026,https://pizzeriatorino.com.ar/contacto/,alta,,posible segundo local sin corroborar
Gran Pizzeria Jose,Av. San Martin 6915,Villa Devoto,11,pizzeria_emblematica,APYCE + GCBA,2026,https://www.cronista.com/clase/gourmet/la-pizzeria-clasica-de-villa-devoto-que-cumplio-80-anos-y-que-vale-la-pena-conocer/,media,,fundada 1943
El Palacio de la Pizza,Av. Corrientes 751,San Nicolas,1,pizzeria_emblematica,APYCE + GCBA,2026,https://turismo.buenosaires.gob.ar/es/gastronomico/el-palacio-de-la-pizza,alta,,fundada 1956
El Trebol 1969,Av. Angel Gallardo 3,Villa Crespo,15,pizzeria_emblematica,APYCE + GCBA,2026,https://www.pizzeriaeltrebol1969.com.ar/,alta,,limite Villa Crespo/Almagro
San Antonio,Av. Juan de Garay 3602 (esq. Av. Boedo),Boedo,5,pizzeria_emblematica,APYCE + GCBA,2026,https://www.cronista.com/clase/gourmet/la-clasica-pizzeria-portena-que-es-un-clasico-de-boedo-y-causa-furor-en-el-barrio/,media,,1954. ES EL CUARTO HITO DE BOEDO que estaba sin coordenadas
Santolin,Av. San Martin 3185,La Paternal,15,heladeria_historica,AFADHYA notables,2025-11,https://www.lanacion.com.ar/sociedad/5-heladerias-historicas-buenos-aires-les-hacen-nid2210827/,media,,fundada 1950
Tino,Av. Diaz Velez 4520,Caballito,6,heladeria_historica,AFADHYA notables,2025-11,https://www.tinohelados.com/,alta,,local unico desde 1965
El Ciervo,Carhue 124,Liniers,9,heladeria_historica,AFADHYA notables,2025-11,https://cosasdebarrioweb.com.ar/2025/11/05/la-heladeria-el-ciervo-celebra-sus-60-anos-de-historia-en-liniers/,media,,"el historico es Carhue 124 (1965). TERCERA SUCURSAL nueva: Av. Lisandro de la Torre 299, Mataderos"
Saverio Helados,Av. San Juan 2809,San Cristobal,3,heladeria_historica,AFADHYA historicas,2024,https://saverio.com.ar/,alta,SI,"1909, la mas antigua del pais. El fundacional era San Juan 2727 y ya no opera. La Nacion da 2816"
Napoli,Av. Entre Rios 1167,San Cristobal,3,heladeria_historica,AFADHYA historicas,2024,https://www.cronista.com/clase/gourmet/la-historia-de-la-clasica-heladeria-portena-que-abrio-hace-70-anos-y-es-una-de-las-mejores-de-caba/,media,,fundada 1954
