prioridad,orden,establecimiento,direccion,barrio,eje_idecba,var_ocupacion_pp,que_chequear,veredicto,fecha_evidencia,nota
1 - EJE EN CAIDA FUERTE,72,LE CARAVELLE,Lavalle 726,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,75,LOS GALGOS,Av. Callao 501,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,77,MAR AZUL,Tucuman 1700,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,82,PAULIN,Sarmiento 635,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,83,PETIT COLON,Libertad 505,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,23,CAFE CORTAZAR,Jose Antonio Cabrera 3797,Palermo,Palermo Soho,-5.5,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,79,MONTECARLO BAR Y DESPENSA,Paraguay 5491,Palermo,Palermo Soho,-5.5,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,4,BAR BRITANICO,Brasil 399,San Telmo,Defensa,-5.4,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,15,BAR PLAZA DORREGO,Defensa 1098,San Telmo,Defensa,-5.4,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,18,BAR SUR,Estados Unidos 299,San Telmo,Defensa,-5.4,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,28,CAFE RIVAS,Estados Unidos 302,San Telmo,Defensa,-5.4,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,49,EL HIPOPOTAMO,Brasil 401,San Telmo,Defensa,-5.4,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,69,LA POESIA,Chile 502,San Telmo,Defensa,-5.4,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,8,BAR EL COLONIAL,Av. Belgrano 599,Monserrat,Monserrat,-2.0,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,17,BAR SEDDON,Defensa 695,Monserrat,Monserrat,-2.0,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,22,CABILDO DE BUENOS AIRES,Peru 86,Monserrat,Monserrat,-2.0,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,51,EL QUERANDI,Peru 302,Monserrat,Monserrat,-2.0,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,70,LA PUERTO RICO,Alsina 420,Monserrat,Monserrat,-2.0,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,73,LONDON CITY,Av. de Mayo 599,Monserrat,Monserrat,-2.0,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,7,BAR DEL ALVEAR PALACE HOTEL,Av. Alvear 1891,Recoleta,Recoleta,-2.0,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,31,CAFE TABAC,Av. del Libertador 2300,Recoleta,Recoleta,-2.0,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,58,JOSEPHINA'S CAFE,Guido 1532,Recoleta,Recoleta,-2.0,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,60,LA BIELA,Av. Quintana 600,Recoleta,Recoleta,-2.0,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,24,CAFE DE GARCIA,Sanabria 3302,Villa Devoto,Devoto,-1.8,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,87,STYLO CAFE,Fernandez de Enciso 3934,Villa Devoto,Devoto,-1.8,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,38,CONFITERIA EL GRECO,Av. Rivadavia 5353,Caballito,Caballito,-0.8,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,44,EL COLECCIONISTA,Av. Rivadavia 4929,Caballito,Caballito,-0.8,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,85,PLAZA CAFE,Av. Rivadavia 4732,Caballito,Caballito,-0.8,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,50,EL PROGRESO,Av. Montes de Oca 1700,Barracas,Montes de Oca,-0.4,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,64,LA FLOR DE BARRACAS,Suarez 2095,Barracas,Montes de Oca,-0.4,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
2 - eje en caida leve,81,OCHO ESQUINAS,Av. Forest 1186,Chacarita,Chacarita,-0.3,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
3 - eje estable o no relevado,16,BAR QUINTINO,Carlos Calvo 4002,Boedo,Boedo,0.5,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
3 - eje estable o no relevado,27,CAFE MARGOT,Av. Boedo 857,Boedo,Boedo,0.5,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
3 - eje estable o no relevado,30,CAFE SAN BERNARDO,Av. Corrientes 5436,Villa Crespo,Villa Crespo,0.6,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
3 - eje estable o no relevado,86,ROMA DEL ABASTO,Anchorena 806,Balvanera,Once,1.1,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
3 - eje estable o no relevado,14,BAR PORTUARIO,Pinzon 102,La Boca,(sin eje relevado),,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
3 - eje estable o no relevado,20,BOCA A BOCA BAR,Av. Benito Perez Galdos 207,La Boca,(sin eje relevado),,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
3 - eje estable o no relevado,29,CAFE ROMA,Olavarria 409,La Boca,(sin eje relevado),,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
3 - eje estable o no relevado,45,EL ESTANO 1880,Aristobulo del Valle 1100,La Boca,(sin eje relevado),,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
3 - eje estable o no relevado,62,LA ESCUELA,Manuela Pedraza 2803,Nunez,(sin eje relevado),,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
3 - eje estable o no relevado,25,CAFE DE LA U,Av. Triunvirato 4801,Villa Urquiza,(sin eje relevado),,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
