polo_id,nombre_polo,soporte_clase,n_locales,zona_via_E,modo,via_E_abierta,via_E_nivel_max,via_E_n_grupos,via_E_reconocimiento,nota_de_asignacion
PGR_P052,P052 · Floresta,polo del borrador,134.0,Z25,heredada,si,e2,2,La recuperacion de una casona de 1914 como restaurante (Casa Bogota) puso a Floresta en la prensa gastronomica nacional entre dic-2025 y mar-2026. Abre por el pelo: cuatro notas de apertura con el mismo angulo son un grupo.,Disputa de barrio con Z24: no contar dos veces el Pasaje Ruperto Godoy.
PGR_P104,P104 · Recoleta,polo del borrador,141.0,R06,heredada,si,e2,2,La Nacion (2026) trata a Recoleta entre los barrios con mas movimiento gastronomico y El Cronista lo ubica entre los polos de la Ciudad; se suman food tours comerciales.,
PGR_P084,P084 · Balvanera,polo del borrador,127.0,Z35,heredada,no,ninguno,0,"Once conserva trayectoria y comercio kosher, pero la prensa gastronomica desplaza el reconocimiento de la cocina de colectividades hacia Palermo y Flores.",
PGR_P017,P017 · Liniers,polo del borrador,105.0,Z32,heredada,si,e4,2,Prensa gastronomica en ingles trata al Mercado Andino como destino para cualquier cocinero o amante de las especias en Buenos Aires. Recogido tambien por guias de viaje anglofonas.,
PGR_P057,P057 · Caballito,polo del borrador,97.0,R10,heredada,si,e2,2,El Cronista (2021) describe el polo premium de Av. Pedro Goyena y La Nacion publico un recorrido por esa avenida. Sin cobertura nacional de la zona posterior a 2023.,
PGR_P032,P032 · La Boca,polo del borrador,98.0,S_LABOCA,heredada,PENDIENTE,,,Medido en la ronda 1 del sur; el numero de grupos no quedo consolidado en este formato. Recuperar de SUR_SEIS_VIAS_RONDA_1.md.,
PGR_P024,P024 · Nueva Pompeya,polo del borrador,95.0,Z40,heredada,si,e2,2,"Perfil describe a Parque Patricios como polo gastronomico del sur porteno, con oferta crecida al calor del Distrito Tecnologico sobre el eje Av. Caseros.",
PGR_P005,P005 · Villa Lugano,polo del borrador,92.0,S_LUGANO,heredada,no,ninguno,0,"Buscado por cinco rutas distintas en la ronda del sur, todas cero. El investigador advirtio no volver a buscarlo por web.",
PGR_P020,P020 · Villa Luro,polo del borrador,87.0,Z31,heredada,si,e2,2,Prensa nacional y especializada trata al eje como polo gastronomico consolidado. La Nacion lo compara con Palermo Hollywood (2023); Canal 26 lo describe como uno de los mayores polos de la Ciudad (2025).,
PGR_P022,P022 · Saavedra,polo del borrador,79.0,R20,heredada,si,e2,2,"La Nacion (2021, 2025 y 2026) e Infobae (2023) tratan al boulevard de Av. Garcia del Rio, entre Cabildo y Balbin, como polo gastronomico de Saavedra.",
PGR_P003,P003 · Villa Riachuelo,polo del borrador,83.0,S_RIACHUELO,heredada,no,ninguno,0,"Buscado por cinco rutas distintas en la ronda del sur, todas cero.",
PGR_P012,P012 · Mataderos,polo del borrador,82.0,Z33,heredada,si,e4,2,TimeOut trata a Mataderos como destino gastronomico y releva sus bodegones y pizzerias (2025). Guias extranjeras y operadores presentan la Feria como experiencia culinaria del oeste porteno.,
PGR_P107,P107 · Balvanera,polo del borrador,84.0,MULTIPLE,requiere_cruce,requiere_cruce,,,,"Balvanera tiene dos zonas con resultados distintos: Z35 Once (no abre) y Z36 Congreso (abre, 2)."
PGR_P092,P092 · Palermo,polo del borrador,79.0,R01,heredada,si,e2,4,Infobae (2023) y Forbes Espana (2024) tratan a Palermo y su borde con Chacarita como epicentro gastronomico; El Cronista lo ubica primero entre los polos de la Ciudad.,
PGR_P088,P088 · Palermo,polo del borrador,69.0,R01,heredada,si,e2,4,Infobae (2023) y Forbes Espana (2024) tratan a Palermo y su borde con Chacarita como epicentro gastronomico; El Cronista lo ubica primero entre los polos de la Ciudad.,
PGR_P002,P002 · Villa Soldati,polo del borrador,59.0,Z49,heredada,no,ninguno,0,"Cero absoluto en los cinco niveles, buscado por ocho rutas propias. Fodor's, Frommer's y Lonely Planet verificados en negativo: no lo nombran en ninguna seccion.",
PGR_P026,P026 · Parque Patricios,polo del borrador,62.0,Z40,heredada,si,e2,2,"Perfil describe a Parque Patricios como polo gastronomico del sur porteno, con oferta crecida al calor del Distrito Tecnologico sobre el eje Av. Caseros.",
PGR_P066,P066 · Barracas,polo del borrador,62.0,S_BARRACAS,heredada,PENDIENTE,,,Medido en la ronda 1 del sur; el numero de grupos no quedo consolidado en este formato. Recuperar de SUR_SEIS_VIAS_RONDA_1.md.,
PGR_P014,P014 · Flores,polo del borrador,61.0,MULTIPLE,requiere_cruce,requiere_cruce,,,,"Flores: Z23 / Z24 / Z39. P014 esta rotulado 'Bajo Flores' en el borrador: si se confirma, hereda de Z39."
PGR_P044,P044 · San Cristobal,polo del borrador,53.0,Z48,heredada,no,e2,1,"La unica fuente que trata a San Cristobal lo hace pegado a Boedo, y Boedo se lleva el peso gastronomico. Es leido como corredor de paso.",
PGR_P042,P042 · Velez Sarsfield,polo del borrador,53.0,Z26,heredada,no,ninguno,0,"Cero. Ninguna guia, nota ni food tour trata a Velez Sarsfield como destino gastronomico. Sus dos referencias nominales estan en Liniers y en Villa Santa Rita.",
PGR_P041,P041 · Floresta,polo del borrador,52.0,Z25,heredada,si,e2,2,La recuperacion de una casona de 1914 como restaurante (Casa Bogota) puso a Floresta en la prensa gastronomica nacional entre dic-2025 y mar-2026. Abre por el pelo: cuatro notas de apertura con el mismo angulo son un grupo.,
PGR_P087,P087 · Palermo,polo del borrador,47.0,R01,heredada,si,e2,4,Infobae (2023) y Forbes Espana (2024) tratan a Palermo y su borde con Chacarita como epicentro gastronomico; El Cronista lo ubica primero entre los polos de la Ciudad.,
PGR_P061,P061 · Flores,polo del borrador,44.0,MULTIPLE,requiere_cruce,requiere_cruce,,,,Flores: Z23 / Z24 / Z39.
PGR_P040,P040 · Villa Santa Rita,polo del borrador,45.0,Z27,heredada,si,e3,3,"Time Out dedico en junio de 2025 una guia al barrio como destino, con seis paradas direccionadas; la reapertura de El Tokio (1930) tuvo cobertura de Infobae, C5N y canal26.",
PGR_P086,P086 · Palermo,polo del borrador,53.0,R01,heredada,si,e2,4,Infobae (2023) y Forbes Espana (2024) tratan a Palermo y su borde con Chacarita como epicentro gastronomico; El Cronista lo ubica primero entre los polos de la Ciudad.,
PGR_P085,P085 · Balvanera,polo del borrador,48.0,MULTIPLE,requiere_cruce,requiere_cruce,,,,Balvanera: Z35 / Z36.
PGR_P033,P033 · La Boca,polo del borrador,44.0,S_LABOCA,heredada,PENDIENTE,,,Medido en la ronda 1 del sur; el numero de grupos no quedo consolidado en este formato. Recuperar de SUR_SEIS_VIAS_RONDA_1.md.,
PGR_P094,P094 · Monserrat,polo del borrador,44.0,Z47,heredada,no,e4,1,"Monserrat concentra locales distinguidos (Tortoni, 36 Billares, El Imparcial, El Globo, La Puerto Rico) pero cada aparicion es por un local, nunca por el barrio. Frommer's, Fodor's y Lonely Planet no tienen seccion Monserrat.",
PGR_P070,P070 · Saavedra,polo del borrador,44.0,R20,heredada,si,e2,2,"La Nacion (2021, 2025 y 2026) e Infobae (2023) tratan al boulevard de Av. Garcia del Rio, entre Cabildo y Balbin, como polo gastronomico de Saavedra.",
PGR_P015,P015 · Parque Chacabuco,polo del borrador,40.0,Z38,heredada,no,ninguno,0,Sin reconocimiento externo con criterio editorial. La unica cobertura ordena bodegones por puntaje de Google Maps y los ubica dispersos en cuatro sectores.,
PGR_P009,P009 · Parque Avellaneda,polo del borrador,43.0,Z39,heredada,si,e4,2,TimeOut dedica una guia de barrio a Parque Avellaneda por sus bodegones historicos sobre Olivera y Lacarra. El Barrio Coreano de Carabobo tiene cobertura sostenida de prensa nacional y de medios estatales coreanos.,
PGR_P067,P067 · Nuñez,polo del borrador,41.0,Z41,heredada,si,e2,6,"Nunez es tratado como destino gastronomico por prensa nacional y extranjera desde 2015, con foco en Crisologo Larralde y el bajo viaducto Mitre; Michelin recomienda Ness en 2026.",
PGR_P008,P008 · Barracas,polo del borrador,38.0,S_BARRACAS,heredada,PENDIENTE,,,Medido en la ronda 1 del sur; el numero de grupos no quedo consolidado en este formato. Recuperar de SUR_SEIS_VIAS_RONDA_1.md.,"Es la fila que perdio la via B por el cierre de Los Laureles. Ver DECISION_TRAYECTORIA_VS_ACTIVIDAD.md: queda en_disputa, no extinguido."
PGR_P006,P006 · Mataderos,polo del borrador,41.0,Z33,heredada,si,e4,2,TimeOut trata a Mataderos como destino gastronomico y releva sus bodegones y pizzerias (2025). Guias extranjeras y operadores presentan la Feria como experiencia culinaria del oeste porteno.,"Feria de Mataderos: la verificacion de actividad mas reciente de todo el barrido (40 anos, La Nacion 12/06/2026)."
PGR_P059,P059 · Flores,polo del borrador,43.0,MULTIPLE,requiere_cruce,requiere_cruce,,,,Flores: Z23 / Z24 / Z39.
PGR_P083,P083 · Almagro,polo del borrador,40.0,Z37,heredada,si,e2,6,Almagro reune cinco Bares Notables y es tratado por prensa nacional y guias especializadas como circuito gastronomico y cultural propio desde 2015.,
PGR_P025-2,P025-2 · Monte Castro,polo del borrador,38.0,Z28,heredada,no,ninguno,0,"Buscado por cuatro rutas: solo directorios comerciales y medios barriales, que no alcanzan el umbral. Ninguna guia ni prensa nacional trata a Monte Castro como destino.",
PGR_P058,P058 · Flores,polo del borrador,53.0,MULTIPLE,requiere_cruce,requiere_cruce,,,,Flores: Z23 / Z24 / Z39.
PGR_P007,P007 · Belgrano,polo del borrador,40.0,R05,heredada,si,e2,3,La Nacion (2023) y Perfil (2026) tratan al Barrio Chino de Arribenos como polo gastronomico consolidado; Ambito (2025) cubre Belgrano como zona para comer.,
PGR_P064,P064 · Palermo,polo del borrador,39.0,R01,heredada,si,e2,4,Infobae (2023) y Forbes Espana (2024) tratan a Palermo y su borde con Chacarita como epicentro gastronomico; El Cronista lo ubica primero entre los polos de la Ciudad.,
PGR_P060,P060 · Flores,polo del borrador,36.0,MULTIPLE,requiere_cruce,requiere_cruce,,,,Flores: Z23 / Z24 / Z39.
PGR_P010,P010 · Floresta,polo del borrador,37.0,Z25,heredada,si,e2,2,La recuperacion de una casona de 1914 como restaurante (Casa Bogota) puso a Floresta en la prensa gastronomica nacional entre dic-2025 y mar-2026. Abre por el pelo: cuatro notas de apertura con el mismo angulo son un grupo.,
PGR_P031,P031 · Floresta,polo del borrador,33.0,Z25,heredada,si,e2,2,La recuperacion de una casona de 1914 como restaurante (Casa Bogota) puso a Floresta en la prensa gastronomica nacional entre dic-2025 y mar-2026. Abre por el pelo: cuatro notas de apertura con el mismo angulo son un grupo.,
PGR_P025-1,P025-1 · Monte Castro,polo del borrador,37.0,Z28,heredada,no,ninguno,0,"Buscado por cuatro rutas: solo directorios comerciales y medios barriales, que no alcanzan el umbral. Ninguna guia ni prensa nacional trata a Monte Castro como destino.",
PGR_P013,P013 · Mataderos,polo del borrador,34.0,Z33,heredada,si,e4,2,TimeOut trata a Mataderos como destino gastronomico y releva sus bodegones y pizzerias (2025). Guias extranjeras y operadores presentan la Feria como experiencia culinaria del oeste porteno.,
PGR_P050,P050 · Caballito,polo del borrador,34.0,R10,heredada,si,e2,2,El Cronista (2021) describe el polo premium de Av. Pedro Goyena y La Nacion publico un recorrido por esa avenida. Sin cobertura nacional de la zona posterior a 2023.,
PGR_P069,P069 · Belgrano,polo del borrador,39.0,R05,heredada,si,e2,3,La Nacion (2023) y Perfil (2026) tratan al Barrio Chino de Arribenos como polo gastronomico consolidado; Ambito (2025) cubre Belgrano como zona para comer.,
PGR_P011,P011 · Saavedra,polo del borrador,30.0,R20,heredada,si,e2,2,"La Nacion (2021, 2025 y 2026) e Infobae (2023) tratan al boulevard de Av. Garcia del Rio, entre Cabildo y Balbin, como polo gastronomico de Saavedra.",
PGR_P019,P019 · Parque Patricios,polo del borrador,32.0,Z40,heredada,si,e2,2,"Perfil describe a Parque Patricios como polo gastronomico del sur porteno, con oferta crecida al calor del Distrito Tecnologico sobre el eje Av. Caseros.",
PGR_P036,P036 · Flores,polo del borrador,33.0,MULTIPLE,requiere_cruce,requiere_cruce,,,,Flores: Z23 / Z24 / Z39.
PGR_P109,P109 · San Nicolas,polo del borrador,34.0,Z47,heredada,no,e4,1,"Monserrat concentra locales distinguidos (Tortoni, 36 Billares, El Imparcial, El Globo, La Puerto Rico) pero cada aparicion es por un local, nunca por el barrio. Frommer's, Fodor's y Lonely Planet no tienen seccion Monserrat.","San Nicolas: la evidencia mas cercana es R12 Centro (no abre, 1 grupo e4) y Z47 Monserrat (no abre, 1 grupo). Ninguna de las dos abre, asi que la fila no cambia segun cual se elija; conviene resolverlo igual por cruce geometrico."
PGR_P055,P055 · Balvanera,polo del borrador,36.0,MULTIPLE,requiere_cruce,requiere_cruce,,,,Balvanera: Z35 / Z36.
PGR_P034,P034 · Monte Castro,polo del borrador,36.0,Z28,heredada,no,ninguno,0,"Buscado por cuatro rutas: solo directorios comerciales y medios barriales, que no alcanzan el umbral. Ninguna guia ni prensa nacional trata a Monte Castro como destino.",
PGR_P072-3,P072-3 · Belgrano,polo del borrador,38.0,Z45,heredada,no,ninguno,0,Ninguna fuente trata a Belgrano R ni a Barrancas como zona distinguible. Toda la evidencia esta capturada por R05 y por R16.,Belgrano R. Z45 no abre: toda su evidencia esta capturada por R05 y R16.
