referencia_id,nombre,via_E_abierta,via_E_nivel_max,via_E_n_grupos,via_E_reconocimiento,via_E_fuentes,via_E_advertencia,via_E_rutas_n,fecha_relevamiento
R13,Abasto,no,ninguno,0,"Buscado por seis rutas: no se encontro prensa ni guia que trate al Abasto como zona gastronomica. Lo hallado son locales sueltos (Kamay Casa Gardel, Cafe Roma, un tenedor libre peruano) y comunicacion oficial del GCBA.","Ninguna fuente admisible. Hallados y descartados: Time Out 19/11/2025 (local suelto), Infobae 22/12/2024 (local suelto), buenosaires.gob.ar (parte interesada), Barriada (medio barrial)","El 'Corredor Peruano del Abasto' es designacion de origen local u oficial, no reconocimiento externo. La via C tampoco abre: el ex Mercado no esta en la lista oficial de mercados. El Abasto entra por B y D.",6,2026-08-07
R14,Avenida Boedo,no,ninguno,0,"Buscado por cinco rutas: la cobertura de Boedo es tanguera y patrimonial, no gastronomica de zona. Los hallazgos son locales sueltos (Esquina Homero Manzi, bares notables) o material oficial del GCBA.","Ninguna fuente admisible. Hallados y descartados: La Nacion 'El renacer de Boedo' (encuadre teatral-patrimonial), Perfil Turismo 'Boedo, antiguo y tanguero', Infobae 26/01/2025 (local suelto)","Time Out no incluye a Boedo ni en aperturas 2025 ni en el ranking 2026, donde si nombra Palermo, Recoleta, Villa Crespo, Villa Ortuzar, Chacarita, Colegiales, Nunez, Saavedra, Abasto y La Paternal. Boedo entra por A, B y F.",6,2026-08-07
R15,Devoto,si,e2,3,"La Nacion (2025), Time Out BA (2025) y El Cronista tratan a Villa Devoto y Plaza Arenales como polo gastronomico y distrito del vino. Time Out lo ubico sexto entre los barrios mas cool de America Latina en 2025.",La Nacion / Que Sale 24/06/2025 | Time Out BA 24/09/2025 | El Cronista 'Por que Villa Devoto es el nuevo polo gastronomico',"Es la zona con la cobertura externa mas fresca y mas internacional de las 22, junto con la franja Chacarita-Colegiales. Cafe de Garcia (Av. Beiro) sin reverificar.",4,2026-08-07
R16,Donado-Holmberg,si,e2,4,"Cuatro grupos independientes tratan al corredor Donado-Holmberg como polo gastronomico: La Nacion (2017 y 2021), Infobae (2018), El Cronista (2024) y Time Out BA (2025).",La Nacion 2017 y 15/05/2021 | Infobae 02/11/2018 | El Cronista 27/09/2024 | Time Out BA 22/04/2025,Se verifico que la nota de Time Out (URL con segmento visit-bue) NO esta marcada como contenido patrocinado ni branded content: es admisible. Dos de los cuatro grupos son de 2017-2018 y sus listados de locales quedan dudosos en bloque.,4,2026-08-07
R17,Villa Urquiza,si,e2,2,"La Nacion (2025) trata a Villa Urquiza como barrio foodie. El Cronista (2024) y Time Out (2025) lo nombran, pero el objeto que describen es el corredor Donado-Holmberg, que en esta matriz es R16.",La Nacion / Revista Lugares 24/06/2025 | El Cronista 27/09/2024 (describe DoHo) | Time Out BA 22/04/2025 (describe DoHo),"SOLAPAMIENTO A RESOLVER: si se exige que la evidencia recaiga sobre el eje Triunvirato-Monroe y no sobre DoHo, queda un solo grupo y la via NO abre. Es el caso mas fragil de los que abren.",4,2026-08-07
R18,Esmeralda-Paraguay,no,ninguno,0,"Buscado por seis rutas: ningun medio trata a la esquina Esmeralda y Paraguay como destino. Ambito (2025) y Time Out (2026) cubren Retiro y Microcentro, recortes varias veces mayores que esta zona.",Ninguna fuente admisible para el recorte. De contexto: Ambito 30/08/2025 'Recorrido gastronomico por Retiro' | El Cronista 'Retiro etnico' | Time Out BA 09/04/2026 | Info Gastronomica sobre el polo coreano de Retiro (medio sectorial),"DECISION DE DELIMITACION: hay senal real (desplazamiento de la colectividad coreana del Bajo Flores hacia Retiro y Microcentro norte, con locales sobre Esmeralda y sobre Paraguay) pero ninguna fuente admisible la nombra como unidad. Si la DGDGAS decide medir R18 como 'Microcentro norte / Retiro', la via abriria con dos grupos e2.",6,2026-08-07
R19,Federico Lacroze por tramos,si,e2,5,"The New York Times (2024) y Time Out BA (2026) tratan la franja Chacarita-Colegiales como distrito gastronomico; La Nacion, Infobae y Forbes Argentina coinciden. El reconocimiento se concentra en Fraga y Dorrego, no sobre Lacroze.",The New York Times 03/05/2024 | Time Out BA 09/06/2026 ('Chacagiales') | La Nacion 06/06/2024 y 30/04/2023 | Infobae 19/08/2023 | Forbes Argentina (Fraga) | food tour comercial de Chacarita (e5),"ADVERTENCIA TERRITORIAL: el reconocimiento externo recae sobre el eje Fraga-Dorrego-Charlone-Jorge Newbery y el entorno de Plaza Los Andes, NO sobre la Av. Federico Lacroze. Si la zona se define por Lacroze, la evidencia sostiene el entorno, no el eje.",5,2026-08-07
R20,Garcia del Rio,si,e2,2,"La Nacion (2021, 2025 y 2026) e Infobae (2023) tratan al boulevard de Av. Garcia del Rio, entre Cabildo y Balbin, como polo gastronomico de Saavedra. Dos grupos de prensa nacional, con la cobertura mas reciente de las 22.","La Nacion 23/07/2021, 19/11/2025 y 29/05/2026 act. 02/06/2026 (un grupo, tres reporteos de campo distintos) | Infobae 26/10/2023","HALLAZGO QUE CONTRADICE LA MEDICION: en la grilla cuantitativa R20 abre solo la via F. La via E abre con la cobertura mas insistente y mas fresca de las 22. Si la medicion no lo detecta, el problema puede estar en donde se corto el corredor y no en el corredor. Marte figura en Crisologo Larralde 277 (2025) y 2772 (2026): una de las dos direcciones esta mal.",5,2026-08-07
R21,La Paternal,si,e2,2,La Nacion (2024) describe el circuito gastronomico de Paternal en expansion y el ranking gastronomico 2026 de Time Out nombra a La Paternal entre las zonas de la escena portena.,"La Nacion 12/06/2024 y 20/11/2024 (un grupo) | Time Out 09/06/2026 | Filo News 14/08/2025 (refuerzo, no computado)","DESAJUSTE DE EJE: La Nacion situa el circuito sobre Belaustegui, Remedios de Escalada, Paz Soldan, Rojas, Avalos, Espinosa y Terrero, hacia el limite con Villa Crespo. La matriz define la zona por Av. San Martin y Av. Warnes. La prensa reconoce un eje y el instrumento mide otro.",4,2026-08-07
R22,Villa Pueyrredon,no,ninguno,0,"Buscado por cinco rutas, cero resultados admisibles: solo Info Gastronomica (medio sectorial, tres notas, un grupo) y lacomuna12.com.ar (portal de la propia comuna, que la via E excluye por no ser externo).","Ninguna fuente admisible. Descartados: Info Gastronomica (dos notas, un grupo, medio sectorial) | lacomuna12.com.ar (no externo) | Ambito (trata un local suelto, y su titulo coincide palabra por palabra con el de Info Gastronomica: mismo grupo)","No corresponde declarar puerta cerrada: la via E se define por evidencia externa y su ausencia es el resultado, no una laguna a completar con registros propios. La misma consulta en ingles devolvio abundante cobertura de Time Out sobre Villa Devoto, el barrio lindero.",5,2026-08-07
