prioridad,establecimiento,direccion,barrio,registro,zona_que_lo_reclama,dentro_de_envolvente_de_las_22,vigencia_actual,nivel,fecha_verificacion,por_que_consultarlo
2,La Perla (de Caminito),Av. Don Pedro de Mendoza 1899,La Boca,Bar Notable,S_LABOCA,NO,verificado_abierto,v3b,2026-05-20,NUESTRA DIRECCION ESTABA MAL (la teniamos sobre Del Valle Iberlucea). Confirmar la direccion formateada. Y OJO: la homonima del Once cerro el 14/01/2017.
3,Confiteria Saint Moritz,Esmeralda 894,Retiro,Bar Notable,Z46 Retiro (absorbe R18),SI (en R12 y R18),probablemente_abierto,v4,2026-02-04,TOCA TRES FILAS. Falla por CUATRO DIAS: su mejor pieza es del 04/02/2026 y la ventana v4 cierra a 180. Places la resuelve en una consulta.
3,Florida Garden,Florida 899,Retiro,Bar Notable,Z46 Retiro,SI (en R12 y R18),verificado_abierto,v2,2026-08-07,"TOCA TRES FILAS. Ya verificado por Diego, pero conviene la direccion formateada para el cruce."
3,Barbaro (catalogo: 'Bar Bar O'),Tres Sargentos 415,Retiro,Bar Notable,Z46 Retiro,SI (en R18),probablemente_abierto,v4,2026-04-12,"CONTRADICCION DE HORARIO que es ella misma una senal: una fuente le da lunes a sabado y la ficha estructurada un horario mucho mas reducido. Es el patron de El Buzon, retraccion antes del cierre. PLACES DA EL HORARIO DECLARADO: es exactamente lo que hace falta."
3,Plaza Bar,Florida 1005,Retiro,Bar Notable,Z46 Retiro,SI (en R18),CERRADO desde 2017,,2017-04-29,"TEST DE CALIBRACION DE PLACES. Si Places NO lo da cerrado, la herramienta no sirve para lo que la queremos: es el caso mas facil que existe, nueve anos cerrado con el edificio en obra."
3,The New Brighton,Sarmiento 645,San Nicolas,Bar Notable,R12 Centro,SI,CERRADO (quiebra),,2026-03-18,"SEGUNDO TEST DE CALIBRACION. Quiebra judicial de marzo de 2026, cinco meses. Si Places lo da operativo, se confirma que es lento con lo reciente."
3,La Buena Medida,Suarez 101 esq. Caboto,La Boca,Bar Notable,S_LABOCA,NO,CERRADO desde octubre de 2025,,2025-12-03,"TERCER TEST DE CALIBRACION, y el mas informativo: cerro hace nueve meses, un plazo intermedio entre el Plaza Bar y The New Brighton. Donde este el corte de deteccion de Places, esta ahi."
4,Bar Lavalle,(del catalogo o de la capa),,,R02 Av. Corrientes,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Celta Bar,(del catalogo o de la capa),,,R02,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,El Gato Negro,(del catalogo o de la capa),,,R02,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,La Giralda,(del catalogo o de la capa),,,R02,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Los Galgos (Callao 501),(del catalogo o de la capa),,,R02,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,La Opera (Av. Corrientes 1799),(del catalogo o de la capa),,,R02,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Petit Colon,(del catalogo o de la capa),,,R02,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Zum Edelweiss,(del catalogo o de la capa),,,R02,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Bar Bidou,(del catalogo o de la capa),,,R12 Centro,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Claridge's (Tucuman 535),(del catalogo o de la capa),,,R12,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Confiteria Ideal (Suipacha 384),(del catalogo o de la capa),,,R12,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,La Puerto Rico (Alsina 420),(del catalogo o de la capa),,,R12 / Z47,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Le Caravelle,(del catalogo o de la capa),,,R12,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,El Querandi (Peru 302),(del catalogo o de la capa),,,R12 / Z47,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Bar del Alvear Palace Hotel,(del catalogo o de la capa),,,R06 Recoleta,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,La Biela,(del catalogo o de la capa),,,R06,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Aramburu,(del catalogo o de la capa),,,R06,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Bis Bistro,(del catalogo o de la capa),,,R06,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Casa Veltri,(del catalogo o de la capa),,,R06,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Fervor,(del catalogo o de la capa),,,R06,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Restaurante Oviedo,(del catalogo o de la capa),,,R06,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Roux,(del catalogo o de la capa),,,R06,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Cabana Las Lilas,(del catalogo o de la capa),,,R04 Puerto Madero,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,La Cabana,(del catalogo o de la capa),,,R04,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Estilo Campo,(del catalogo o de la capa),,,R04,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,El Mercado (Faena),(del catalogo o de la capa),,,R04,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Marcelo Restaurante,(del catalogo o de la capa),,,R04,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Michel Rolland Grill & Wine,(del catalogo o de la capa),,,R04,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Sorrento,(del catalogo o de la capa),,,R04,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Alcanfor,(del catalogo o de la capa),,,R08 Villa Crespo,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Fico,(del catalogo o de la capa),,,R08,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Han,(del catalogo o de la capa),,,R08,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Julia,(del catalogo o de la capa),,,R08,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Trescha,(del catalogo o de la capa),,,R08,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Don Julio,(del catalogo o de la capa),,,R01 Palermo,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Crizia,(del catalogo o de la capa),,,R01,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,CoChinChina,(del catalogo o de la capa),,,R01,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,A Fuego Fuerte,(del catalogo o de la capa),,,R01,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,El Preferido de Palermo,(del catalogo o de la capa),,,R01,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Fogon Asado,(del catalogo o de la capa),,,R01,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Gran Dabbang,(del catalogo o de la capa),,,R01,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Mengano,(del catalogo o de la capa),,,R01,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Albamonte Ristorante,(del catalogo o de la capa),,,R09 Chacarita,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Anchoita,(del catalogo o de la capa),,,R09,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Museo Fotografico Simik (ex Cafe Palacio),(del catalogo o de la capa),,,R09,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Mercado de Belgrano,(del catalogo o de la capa),,,R05,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Mercado del Progreso,(del catalogo o de la capa),,,R10 Caballito,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Confiteria El Greco (Av. Rivadavia 5353),(del catalogo o de la capa),,,R10,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Plaza Cafe (Av. Rivadavia 4732),(del catalogo o de la capa),,,R10,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Happening,(del catalogo o de la capa),,,R07 Costanera Norte,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Patio Costanera Norte,(del catalogo o de la capa),,,R07,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Cafe Margot (Boedo 857),(del catalogo o de la capa),,,R14 Av. Boedo,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
4,Stylo Cafe (Fernandez de Enciso 3934),(del catalogo o de la capa),,,R15 Devoto,SI,sin verificar,,,Hito de una referencia publicada sin ninguna verificacion individual. Es el hueco mas grande que queda del lado de los datos.
