id,establecimiento,direccion,barrio,zona_del_atlas,estado,desde,hasta,anos,que_era,causa_del_cierre,que_hay_hoy_en_esa_direccion,fuente,que_explica_de_la_zona,confianza
M011,Los Platitos 57,Costanera Norte,Nunez,R07 Costanera Norte,extinguido,,,,restaurante de la Costanera,no documentada,no documentado,idem,idem M009,media
M012,A Los Amigos,Costanera Norte,Nunez,R07 Costanera Norte,extinguido,,,,restaurante de la Costanera,no documentada,no documentado,idem,idem M009,media
M013,Look,Costanera Norte,Nunez,R07 Costanera Norte,extinguido,,,,restaurante de la Costanera,no documentada,no documentado,idem,idem M009,media
M014,Bahia Madero,Puerto Madero,Puerto Madero,R04 Puerto Madero,extinguido,,2023,,restaurante,no documentada,no documentado,Clarin Gourmet 12/02/2023,"LA PROPIA FUENTE QUE SOSTIENE LA VIA E DE R04 REGISTRA ESTOS DOS CIERRES. Y R04 no tiene una sola pieza de nivel zona posterior a 2023.",media
M015,Sottovoce,Puerto Madero,Puerto Madero,R04 Puerto Madero,extinguido,,2023,,restaurante,no documentada,no documentado,Clarin Gourmet 12/02/2023,idem M014,media
M016,Mercado de los Carruajes,Av. Leandro N. Alem 852,Retiro,Z46 Retiro,extinguido como mercado,2022-02-15,2025-04,3,"mercado gastronomico con mas de 40 espacios comerciales, en la ex caballeriza presidencial de 1900,",reconversion,"SALON DE EVENTOS, con concesion vigente hasta febrero de 2027",La Nacion 07/05/2025,"CIERRA LA VIA C DE RETIRO POR CIERRE EFECTIVO, no por falta de busqueda. Y es el caso que probo el re-sellado de El Cronista: su nota, actualizada al 24/09/2025, seguia recomendando dos restaurantes ADENTRO del mercado, cerrado cinco meses antes. Inversion de 4 a 5 millones de dolares, tres anos de vida.",alta
M017,Las cantinas de Necochea,calle Necochea,La Boca,Z52 La Boca Necochea,extinguido en bloque,c. 1930,,,"cantinas italianas con musica en vivo, el nucleo identitario de La Boca",no documentada,obra publica en curso desde enero de 2026 sobre 340 metros lineales,relevamiento de la ronda del sur,"LA FRASE ES DE LA FUENTE: 'hoy, ninguna sobrevive'. CIERRA LA VIA A DE LA ZONA CON EVIDENCIA EN CONTRA, no por falta de busqueda. Y EXPLICA LA ZONA ENTERA: Necochea entra por trayectoria y por proyecto, no por oferta.",alta
M018,La Perla del Once,Av. Rivadavia 2800 / Jujuy y Rivadavia,Balvanera,Z35 Balvanera Once,mutado,1890s,2017-01-14,,"bar de rock, Bar Notable",no documentada,PIZZERIA LA AMERICANA,"Infobae 04/03/2017, La Nacion y Telam","SU HOMONIMA DE CAMINITO ESTA VIVA Y ES LA QUE FIGURA EN EL CATALOGO. Una guia turistica las listaba como DOS LOCALES DISTINTOS VIVOS, y esa incoherencia delato que su padron era caduco (FD-05).",alta
M019,Confiteria del Molino,Av. Rivadavia y Av. Callao,Balvanera / Monserrat,Z47 Monserrat + Congreso,mutado,1917,,,"confiteria, Monumento Historico Nacional (1997)",no aplica: el edificio se restauro,"'EXPERIENCIA MOLINO': VISITA GUIADA GRATUITA CON INSCRIPCION PREVIA, con la restauracion en curso",Canal 26 12/07/2026 y Pagina/12,"CIRCULA EN MATERIAL DE DIFUSION COMO SI FUERA OFERTA GASTRONOMICA. NO CARGARLA ASI. Es el caso mas claro de mutacion: el edificio esta vivo y en uso, la funcion gastronomica no.",alta
M020,Cafe Palacio,Av. Federico Lacroze 3901,Chacarita,R09 Chacarita / Z43 Colegiales,mutado · renombrado,,,,"cafe, Bar Notable",no aplica,"MUSEO FOTOGRAFICO SIMIK, con el que figura en el consolidado 1225/26",anexo Res. MCGC 1225/26,"CAMBIO DE DENOMINACION EN LA MISMA DIRECCION. UNA SOLA ENTIDAD: registrar el nombre anterior como historico, NO como segundo hito.",alta
M021,Plaza Bar,Florida 1005,Retiro,Z46 Retiro,extinguido con reapertura anunciada,1909,2017-04-29,108,bar del Plaza Hotel,cierre del hotel que lo aloja,"EDIFICIO EN OBRA. Se excavan cinco subsuelos; SE RESCATAN EL GRILL Y EL BAR. Reapertura programada para principios de 2028","Clarin/Viva 15/02/2025 y Tango y Milonga 02/01/2025","NUEVE ANOS CERRADO Y SIGUE EN EL CATALOGO, orden 84 del consolidado firmado hace cuatro dias. Es el caso que motivo la auditoria entera. Y NO ES CIERRE DEFINITIVO: el bar historico se conserva.",alta
M022,Confiteria Londres,Av. Rivadavia y Boyaca,Flores,Z23 Flores casco historico,extinguido,,,,confiteria,no documentada,no documentado,"Consumos del Ayer, 2012","PARTE DE LA CAPA EXTINGUIDA DE FLORES: siete establecimientos sobre Rivadavia y Yerbal, ninguno confirmado abierto. ESA CAPA ES LA FICHA DE FLORES CASCO HISTORICO.",media
M023,Almacen La Perla,Av. Rivadavia 6900,Flores,Z23 Flores casco historico,extinguido,,,,almacen,no documentada,no documentado,"Consumos del Ayer, 2012",idem M022. TERCERA 'Perla' del Atlas.,media
M024,El Guipuzcoano,Yerbal 2502,Flores,Z23 Flores casco historico,extinguido,,,,cafe y billares,no documentada,no documentado,"Consumos del Ayer, 2012",idem M022,media
M025,Confiteria La Perla de Flores,en diagonal a Plaza Pueyrredon,Flores,Z23 Flores casco historico,extinguido,,,,confiteria,no documentada,no documentado,Buenos Aires Historia,"idem M022. CUARTA 'Perla': hay una viva en Caminito, una mutada en el Once, un almacen en Rivadavia 6900 y esta.",media
M026,Las Orquideas,Yerbal y Sud America (hoy Artigas),Flores,Z23 Flores casco historico,extinguido,,,,confiteria,no documentada,no documentado,"Consumos del Ayer, 2012",idem M022,media
M027,Palacio de los Billares,"frente a Las Orquideas, Yerbal y Artigas",Flores,Z23 Flores casco historico,extinguido,,,,billares,no documentada,no documentado,"Consumos del Ayer, 2012",idem M022,media
M028,Bar La Cosechera,Av. Rivadavia y Pedernera,Flores,Z23 Flores casco historico,extinguido,,,,bar,no documentada,no documentado,"Consumos del Ayer, 2012",idem M022,media
M029,La noche de Flores (ocho locales),Av. Rivadavia 7400-7500 y transversales,Flores,Z23 Flores casco historico,extinguido en bloque,1970s,1990s,,"boliches y confiterias bailables: Quitapenas (Rivadavia y Nazca), Club Rivadavia, MB (Quirno y Rivadavia), Madrid Rock/Chamarro (Rivadavia y Argerich), The End (Rivadavia 7428), Clearing (7467), Evelyn (7425), Tarot (Rivadavia y Quirno)",no documentada,THE END es hoy 'Bellakeo'; el resto no documentado,Flores de Papel,"CAPA DE OCIO NOCTURNO, distinta de la gastronomica y extinguida casi en bloque. Vale registrarla APARTE: no es oferta gastronomica, es lo que habia alrededor.",media
M030,Kiosco de la Floresta,pasaje Chilecito entre Bahia Blanca y Joaquin V. Gonzalez,Floresta,Z25 Floresta,extinguido,c. 1850,,,"fonda y local de diversiones de Soldati, donde se celebro el primer viaje ferroviario de 1857",no documentada,no documentado,Wikipedia con citas,"ES EL ANTECEDENTE GASTRONOMICO MAS ANTIGUO DEL OESTE. Explica por que Floresta tiene memoria y no tiene densidad.",media
M031,Cafe Paulin (el de Floresta),Av. San Martin,Floresta,Z25 Floresta,extinguido,,,,cafe donde se iniciaron los hermanos Fresedo,no documentada,no documentado,Wikipedia con citas,"OJO: HOMONIMO DE PAULIN, Bar Notable VIVO en Sarmiento 635, San Nicolas, entrada 82 del consolidado. Son dos locales distintos.",baja
