id_evento,nombre_evento,descripcion,fecha_inicio,fecha_fin,anio,periodicidad,id_ubicacion,ubicacion_original,direccion_original,barrio,comuna,id_organizador,tipo_organizador,id_fuente,url_fuente,fecha_consulta,tipo_evento,categoria_gastronomica,gratuito,requiere_inscripcion,cantidad_asistentes_estimada,cantidad_puestos_estimada,apoyo_gcba,organismo_gcba_relacionado,area_gcba_relacionada,tipo_vinculo_gcba,estado,link_evento,fuente,tipo_fuente,calidad_dato_original,calidad_dato_normalizada,calidad_dato,requiere_validacion,motivo_validacion,apto_dashboard,fecha_completa,limitaciones,observaciones,origen_dato,estado_datos
F04-011,Pinto Bodegon (2da edicion),"Semana de descuentos de hasta 20% y promociones especiales en mas de 70 bodegones, con propuestas culturales en algunos locales",2024-04-15,2024-04-19,2024,Anual,U00000,Bodegones adheridos en toda la Ciudad,Multiples direcciones (mapa interactivo),Multiples barrios,Multiples comunas,O008,Publico con colaboracion de camara privada,F04,https://buenosaires.gob.ar/noticias/la-ciudad-esta-llevando-cabo-la-segunda-edicion-de-pinto-bodegon,2026-06-10,Jornada de descuentos,Bodegones / cocina tradicional,No - consumo pago con descuentos,No publico; Si comercios,No disponible,Mas de 70 bodegones,Si,Ministerio de Desarrollo Economico,BA Capital Gastronomica / DG Politicas Gastronomicas (segun la nota),Organizador principal,semiestructurado,https://buenosaires.gob.ar/noticias/la-ciudad-esta-llevando-cabo-la-segunda-edicion-de-pinto-bodegon,GCBA - Noticias,Oficial,Alta,Alta,Alta,no,No disponible,si,si,No disponible,Nota de lanzamiento: https://buenosaires.gob.ar/noticias/la-ciudad-presenta-la-segunda-edicion-de-pinto-bodegon,relevamiento_manual_trazable,datos reales semiestructurados
F04-012,Pinto Bodegon (edicion posterior con 30% de descuento),"Semana con 30% de descuento en el ticket final y menues promocionales en mas de 70 bodegones, presentada por el ministro Hernan Lombardi",Requiere validacion,Requiere validacion,Requiere validacion,Anual,U00000,Bodegones adheridos en toda la Ciudad,Multiples direcciones (mapa interactivo),Multiples barrios,Multiples comunas,O009,Publico con colaboracion de camara privada,F04,https://buenosaires.gob.ar/gcaba_historico/noticias/pinto-bodegon-una-semana-para-celebrar-los-clasicos-de-la-gastronomia,2026-06-10,Jornada de descuentos,Bodegones / cocina tradicional,No - consumo pago con descuentos,No publico; Si comercios,No disponible,Mas de 70 bodegones,Si,Ministerio de Desarrollo Economico,BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/gcaba_historico/noticias/pinto-bodegon-una-semana-para-celebrar-los-clasicos-de-la-gastronomia,GCBA - Noticias,Oficial,Media,Media,Media,si,La nota oficial recuperada no muestra fechas; la mencion de Lombardi como ministro sugiere gestion 2024-2026 (probable 2025),requiere_validacion,no,Fecha incompleta,Continuidad de la marca confirmada por turismo BA (dic 2025): https://turismo.buenosaires.gob.ar/es/article/pint%C3%B3-bodeg%C3%B3n,relevamiento_manual_trazable,datos reales semiestructurados
F04-013,Caminos y Sabores 2025 - participacion GCBA con stand,"Feria federal privada de alimentos, bebidas y turismo; el GCBA participo con stand institucional que recreo bodegones, cafes notables y pizzerias (Cafe Margot, marca Pizza Fuerte de APYCE, Rotiseria Miramar)",2025-07-03,2025-07-06,2025,Anual (feria desde 2005),UDB380,La Rural,"Av. Sarmiento 2704, CABA",Palermo,14,O010,Privado,F04,https://buenosaires.gob.ar/noticias/caminos-y-sabores-2025,2026-06-10,Participacion institucional,Gastronomia regional argentina,No - entrada paga,No,No disponible,No disponible,Si,GCBA,Promocion turistica y gastronomica de la Ciudad,Participacion con stand,semiestructurado,https://buenosaires.gob.ar/noticias/caminos-y-sabores-2025,GCBA - Noticias,Oficial,Alta,Alta,Alta,no,No disponible,si,si,"El evento es privado: las metricas de la feria (productores, visitantes) pertenecen al organizador y no al GCBA. Esta fila documenta la PARTICIPACION institucional, no un evento propio del GCBA",La feria total reunio mas de 550 productores segun el organizador. Pagina del organizador: https://www.exponenciar.com.ar/caminos.html,relevamiento_manual_trazable,datos reales semiestructurados
F04-014,Caminos y Sabores 2026 (20a edicion) - sede BA Ferial,"20a edicion de la feria federal privada, por primera vez en BA Ferial (ex Costa Salguero), con transporte gratuito desde puntos de la Ciudad",2026-07-09,2026-07-12,2026,Anual,U593EF,BA Ferial,"Av. Costanera Rafael Obligado 1221, CABA",Palermo,14,O011,Privado,F04,https://buenosaires.gob.ar/descubrir/caminos-y-sabores,2026-06-10,Feria,Gastronomia regional argentina,No - entrada paga,No,No disponible,"Mas de 500 productores (total feria, no atribuible a CABA)",Si - difusion oficial,Ente de Turismo / GCBA,Turismo Buenos Aires,Difusion oficial,semiestructurado,https://buenosaires.gob.ar/descubrir/caminos-y-sabores,GCBA - Descubri BA / Turismo BA,Oficial (difusion),Media,Media,Media,si,Conflicto de fechas: las paginas oficiales del GCBA indican 9 al 12 de julio pero el sitio del organizador muestra 2 al 5 de julio. Resolver antes del evento,requiere_validacion,si,Evento privado con difusion oficial: no tratar como organizacion GCBA. Totales del organizador no atribuibles a CABA,Fuentes en conflicto: https://turismo.buenosaires.gob.ar/es/article/caminos-y-sabores vs https://www.exponenciar.com.ar/caminos.html,relevamiento_manual_trazable,datos reales semiestructurados
F04-015,Sabores del Mundo - clase de gastronomia centroamericana,"Clase gratuita de cocina centroamericana coorganizada con las embajadas de Guatemala, El Salvador y Costa Rica y el proyecto Centraka, en el marco del ciclo Sabores del Mundo",2025-08-06,2025-08-06,2025,Ciclo con ediciones periodicas en mercados,UC1521,Mercado San Nicolas,"Av. Cordoba 1750, CABA",San Nicolas,1,O004,Publico con coorganizadores diplomaticos,F04,http://buenosaires.gob.ar/noticias/sabores-del-mundo-clase-de-gastronomia-centroamericana,2026-06-10,Ciclo en mercados,Cocina internacional,Si,Si,No disponible,No aplica,Si,Ministerio de Desarrollo Economico,DG Desarrollo Gastronomico / BA Capital Gastronomica,Organizador principal,semiestructurado,http://buenosaires.gob.ar/noticias/sabores-del-mundo-clase-de-gastronomia-centroamericana,GCBA - Noticias,Oficial,Alta,Alta,Alta,no,No disponible,si,si,No disponible,"Lanzamiento del ciclo (edicion India, Mercado Belgrano, sept 2025, sin fecha exacta recuperada): https://buenosaires.gob.ar/noticias/sabores-del-mundo-un-ciclo-que-combina-cultura-y-gastronomia",relevamiento_manual_trazable,datos reales semiestructurados
F04-016,Sabores del Mundo - clase de cocina armenia,"Clase de cocina armenia con degustacion, charla, arte y danza tradicional en el marco del ciclo en mercados",2025-10-23,2025-10-23,2025,Ciclo con ediciones periodicas en mercados,UC1521,Mercado San Nicolas,"Av. Cordoba 1750, CABA",San Nicolas,1,O004,Publico,F04,https://buenosaires.gob.ar/gcaba_historico/desarrolloeconomico/gastronomia/sabores-del-mundo-clase-de-cocina-armenia,2026-06-10,Ciclo en mercados,Cocina internacional,Si,Si,No disponible,No aplica,Si,Ministerio de Desarrollo Economico,DG Desarrollo Gastronomico / BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/gcaba_historico/desarrolloeconomico/gastronomia/sabores-del-mundo-clase-de-cocina-armenia,GCBA - Pagina Desarrollo Gastronomico,Oficial,Alta,Alta,Alta,no,No disponible,si,si,No disponible,"La nota anuncia continuidad el 30/10 (Hungria, Mercado Belgrano). Edicion Paraguay sin fecha recuperada: https://buenosaires.gob.ar/gcaba_historico/desarrolloeconomico/gastronomia/sabores-del-mundo-clase-de-cocina-paraguaya",relevamiento_manual_trazable,datos reales semiestructurados
F04-017,Sabores del Mundo - Festival 2025,"Festival de cierre del ciclo con 8 paises (Mexico, Armenia, Paraguay, El Salvador, Costa Rica, Venezuela, Israel, India): degustaciones, cocineros y shows",2025-12-18,2025-12-18,2025,Anual (cierre de ciclo),UE538A,Mercado Belgrano,"Juramento 2527, CABA",Belgrano,13,O004,Publico,F04,https://buenosaires.gob.ar/gcaba_historico/desarrolloeconomico/gastronomia/sabores-del-mundo-festival-2025,2026-06-10,Festival,Cocina internacional,Si,Si,No disponible,8 paises participantes,Si,Ministerio de Desarrollo Economico,DG Desarrollo Gastronomico,Organizador principal,semiestructurado,https://buenosaires.gob.ar/gcaba_historico/desarrolloeconomico/gastronomia/sabores-del-mundo-festival-2025,GCBA - Pagina Desarrollo Gastronomico,Oficial,Alta,Alta,Alta,no,No disponible,si,si,No disponible,La fuente atribuye el ciclo explicitamente a la DG de Desarrollo Gastronomico,relevamiento_manual_trazable,datos reales semiestructurados
F04-018,Sabores del Mundo - apertura ciclo 2026 (Espana),"Apertura del ciclo 2026 con masterclass de cocina espanola, charla y danzas gallegas y flamenco",2026-03-19,2026-03-19,2026,Ciclo anual con ediciones periodicas,UDA256,Mercado Belgrano,"Juramento 2527 (inferido), CABA",Belgrano,13,O004,Publico,F04,https://buenosaires.gob.ar/gcaba_historico/noticias/sabores-del-mundo-inicia-su-ciclo-2026-con-clases-de-gastronomia-espanola,2026-06-10,Ciclo en mercados,Cocina internacional,Si,Si,No disponible,No aplica,Si,Ministerio de Desarrollo Economico,BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/gcaba_historico/noticias/sabores-del-mundo-inicia-su-ciclo-2026-con-clases-de-gastronomia-espanola,GCBA - Noticias,Oficial,Alta,Alta,Alta,no,La direccion del mercado se infiere de F04-017 (mismo mercado),si,si,Direccion inferida (mercado confirmado),Continuidad confirmada en la misma fuente: edicion Peru el 26/03/2026 en el Mercado San Nicolas,relevamiento_manual_trazable,datos reales semiestructurados
F04-019,Invierno en la Ciudad: Menu Infantil (2025),"Accion de menues infantiles accesibles en mas de 200 locales adheridos (pizzerias, cafeterias, bares notables, heladerias, parrillas y mercados) durante el receso escolar de invierno",Requiere validacion,Requiere validacion,2025,Anual (vinculada al receso escolar),U00000,Locales adheridos en toda la Ciudad,Multiples direcciones (listado en web GCBA),Multiples barrios,Multiples comunas,O004,Publico,F04,https://buenosaires.gob.ar/gcaba_historico/noticias/invierno-en-la-ciudad-menu-infantil,2026-06-10,Activacion comercial,Gastronomia general (menu infantil),No - consumo pago con precios promocionales,No publico; Si comercios,No disponible,Mas de 200 locales,Si,Ministerio de Desarrollo Economico,DG Desarrollo Gastronomico,Organizador principal,semiestructurado,https://buenosaires.gob.ar/gcaba_historico/noticias/invierno-en-la-ciudad-menu-infantil,GCBA - Noticias,Oficial,Media,Media,Media,si,El periodo exacto no figura en el texto recuperado (coincide con el receso invernal 2025); las fechas estan en el anexo del Boletin Oficial,requiere_validacion,no,Sin fechas exactas en el extracto recuperado,"Convocatoria oficial: https://documentosboletinoficial.buenosaires.gob.ar/publico/ck_PE-DIS-MDECGC-DGDGAS-19-25-7156.pdf (DI DGDGAS 19/25, anexo IF-2025-27758568)",relevamiento_manual_trazable,datos reales semiestructurados
F04-020,Vacaciones de Invierno en el Mercado,"Jornadas familiares gratuitas en los Mercados Gastronomicos (shows infantiles, clases de cocina para chicos, magia) con menues infantiles en locales adheridos",Requiere validacion,Requiere validacion,Requiere validacion,Vinculada al receso escolar,U817BE,"Mercados San Nicolas, Belgrano y Bonpland","Av. Cordoba 1750; Juramento 2527; Bonpland 1660 (inferido), CABA",No determinado,1; 13; 14,O004,Publico,F04,https://buenosaires.gob.ar/gcaba_historico/noticias/llega-vacaciones-de-invierno-en-el-mercado,2026-06-10,Ciclo en mercados,Gastronomia general (menu infantil),Entrada libre - consumo pago,No,No disponible,3 mercados,Si,Ministerio de Desarrollo Economico y Produccion,Subsecretaria de Politicas Gastronomicas (estructura historica segun la nota),Organizador principal,semiestructurado,https://buenosaires.gob.ar/gcaba_historico/noticias/llega-vacaciones-de-invierno-en-el-mercado,GCBA - Noticias,Oficial,Media,Media,Media,si,La nota indica viernes 21 y 28/07 (San Nicolas y Belgrano) y sabado 22/07 (Bonpland) pero no consigna el anio; 2023 inferido por calendario,requiere_validacion,no,Anio inferido por coincidencia de dias de semana,Dato institucional util para F05: la nota define a BA Capital Gastronomica como programa de la Subsecretaria de Politicas Gastronomicas del Ministerio de Desarrollo Economico y Produccion,relevamiento_manual_trazable,datos reales semiestructurados
F04-021,Concurso La Mejor Milanesa de Bodegon (2017),Concurso de votacion vecinal por redes entre 32 bodegones; gano El Antojo (Villa del Parque) con 1.961 de 19.922 votos,2017-07-10,2017-07-21,2017,Serie de concursos vecinales del programa,U00000,Votacion online (premiacion en la Usina del Arte),No aplica (votacion online),No aplica,No aplica,O004,Publico,F04,https://buenosaires.gob.ar/gcaba_historico/noticias/un-bodegon-de-villa-del-parque-se-llevo-el-premio-la-mejor-milanesa,2026-06-10,Concurso,Bodegones / milanesa,Si,No publico; Si comercios,19922 votantes,32 bodegones participantes,Si,GCBA,BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/gcaba_historico/noticias/un-bodegon-de-villa-del-parque-se-llevo-el-premio-la-mejor-milanesa,GCBA - Noticias,Oficial,Alta,Alta,Alta,no,No disponible,si,si,Votantes online no equivalen a asistentes presenciales,"La premiacion se realizo en la Usina del Arte (La Boca, Comuna 4). Nota de lanzamiento: https://buenosaires.gob.ar/noticias/los-bodegones-portenos-compiten-por-el-premio-la-mejor-milanesa",relevamiento_manual_trazable,datos reales semiestructurados
F04-022,Concurso La Mejor Pizzeria de la Ciudad,"Concurso de votacion vecinal entre 53 pizzerias en dos categorias (Pizzeria Unica y Familia de Pizzerias), con descuentos del 10-20% durante la votacion",Requiere validacion,Requiere validacion,Requiere validacion,Serie de concursos vecinales del programa,U00000,Votacion online y locales adheridos,Multiples direcciones (53 locales),Multiples barrios,Multiples comunas,O004,Publico,F04,https://buenosaires.gob.ar/noticias/los-vecinos-tambien-eligen-la-mejor-pizzeria-de-la-ciudad,2026-06-10,Concurso,Pizza,Si,No publico; Si comercios,No disponible,53 locales,Si,GCBA,BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/noticias/los-vecinos-tambien-eligen-la-mejor-pizzeria-de-la-ciudad,GCBA - Noticias,Oficial,Media,Media,Media,si,La nota oficial indica votacion hasta el 26/11 y dias de descuento 19-21/11 pero no consigna el anio en el texto recuperado; 2018 inferido por calendario y prensa (votacion 14 al 26/11/2018 segun prensa especializada),requiere_validacion,no,Anio inferido; fecha de inicio tomada de prensa,"Serie previa segun la misma nota: Mejor Hamburguesa (Williamsburg), Mejor Milanesa (El Antojo), Mejor Cafe Notable (Las Violetas), Mejor Parrilla (La Cabrera). La serie acumulaba mas de 80.000 votos. Prensa: https://salpimenta.com.ar/buenos-aires-elige-la-mejor-pizzeria-la-ciudad/",relevamiento_manual_trazable,datos reales semiestructurados
F04-023,Concurso Mejor Helado Artesanal de la Ciudad,"Concurso de votacion vecinal entre heladerias portenias, con promociones durante la votacion y anuncio del ganador por redes",Requiere validacion,Requiere validacion,Requiere validacion,Serie de concursos vecinales del programa,U00000,Votacion online y heladerias adheridas,Multiples direcciones,Multiples barrios,Multiples comunas,O004,Publico,F04,https://buenosaires.gob.ar/gcaba_historico/noticias/los-vecinos-votaran-al-mejor-helado-artesanal-de-la-ciudad,2026-06-10,Concurso,Helado artesanal,Si,No publico; Si comercios (inscripcion hasta 18/02),No disponible,No disponible,Si,Vicejefatura de Gobierno (estructura historica segun la nota),BA Capital Gastronomica,Organizador principal,semiestructurado,https://buenosaires.gob.ar/gcaba_historico/noticias/los-vecinos-votaran-al-mejor-helado-artesanal-de-la-ciudad,GCBA - Noticias,Oficial,Media,Media,Media,si,La nota indica votacion del 22/02 al 11/03 y anuncio el 12/03 pero no consigna el anio en el texto recuperado; 2019 inferido por calendario y secuencia de la serie,requiere_validacion,no,Anio inferido,La serie previa acumulaba casi 100.000 votos. Dato institucional util para F05: en ese momento el programa dependia de la Vicejefatura de Gobierno,relevamiento_manual_trazable,datos reales semiestructurados
