polo_uid,polo_nombre,referente_id,nombre,categoria_referente,subcategoria,direccion,lat,lon,barrio,comuna,estado_vigencia,fecha_verificacion,reconocimiento,fuente,nivel_confianza,motivo_inclusion,es_icono_principal,es_ancla,observaciones,asignacion_metodo,fuera_geometria,cerca_borde_50m,distancia_borde_m
POLO-R01,Palermo,HITO-MIC-021,Fogón Asado,MICHELIN,Recomendado/seleccionado,Uriarte 1423,-34.58852,-58.433587,Palermo,Comuna 14,SIN_VERIFICAR,2026-08-08,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/fogon-asado,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,187.937
POLO-R01,Palermo,HITO-H159,Gran Dabbang,Latin America’s 50 Best,Latin America's 50 Best 2025 (51-100),Av. Raul Scalabrini Ortiz 1543,-34.591349,-58.425449,Palermo,Comuna 14,SIN_VERIFICAR,2026-08-08,Latin America's 50 Best 2025 (51-100),The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,87.683
POLO-R01,Palermo,HITO-MIC-015,Mengano,Bib Gourmand,selección MICHELIN,José Antonio Cabrera 5172,-34.588943,-58.433757,Palermo,Comuna 14,SIN_VERIFICAR,2026-08-08,Bib Gourmand,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/mengano,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,169.912
POLO-R01,Palermo,HITO-MG-0008,Mercado Bonpland,mercado/patio,,Bonpland 1660,-34.583708,-58.437834,Palermo,Comuna 14,SIN_VERIFICAR,,Mercado o patio documentado,REFERENTES_2026 + dirección documental,sin_resolver,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,357.335
POLO-R01,Palermo,HITO-MIC-006,Mercado de Liniers,MICHELIN,Recomendado/seleccionado,Gorriti 6012,-34.581688,-58.441598,Palermo,Comuna 14,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/mercado-de-liniers,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,169.497
POLO-R01,Palermo,HITO-MIC-022,Nika Club Omakase,MICHELIN,Recomendado/seleccionado,Nicaragua 5952,-34.5789,-58.437129,Palermo,Comuna 14,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/nika-club-omakase,alta,referente documentado; asignación geometria,NO,NO,,GEOMETRIA,NO,NO,122.042
POLO-R01,Palermo,HITO-H150,Nino Gordo,Latin America’s 50 Best,Latin America's 50 Best Restaurants 2025,Thames 1810,-34.5866,-58.429023,Palermo,Comuna 14,SIN_VERIFICAR,,Latin America's 50 Best Restaurants 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,414.78
POLO-R01,Palermo,HITO-MIC-034,Niño Gordo,MICHELIN,Recomendado/seleccionado,Thames 1810,-34.5866,-58.429023,Palermo,Comuna 14,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/nino-gordo,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,414.78
POLO-R01,Palermo,HITO-MIC-041,Raggio Osteria,MICHELIN,Recomendado/seleccionado,Gurruchaga 2121,-34.586135,-58.424182,Palermo,Comuna 14,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/raggio-osteria,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,276.352
POLO-R01,Palermo,HITO-MIC-010,Reliquia,Bib Gourmand,selección MICHELIN,Ángel Justiniano Carranza 1601,-34.58328,-58.439119,Palermo,Comuna 14,SIN_VERIFICAR,,Bib Gourmand,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/reliquia,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,439.92
POLO-R01,Palermo,HITO-H161,Tres Monos,Latin America’s 50 Best,The World's 50 Best Bars 2025,Guatemala 4899,-34.584905,-58.426167,Palermo,Comuna 14,SIN_VERIFICAR,,The World's 50 Best Bars 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,273.551
POLO-R01,Palermo,HITO-MIC-026,Uni Omakase,MICHELIN,Recomendado/seleccionado,Guatemala 5820,-34.578581,-58.434262,Palermo,Comuna 14,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/uni-omakase,alta,referente documentado; asignación geometria,NO,NO,,GEOMETRIA,NO,NO,59.445
POLO-R01,Palermo,HITO-H085,Varela Varelita,Bar Notable,,Av. Scalabrini Ortiz 2102,-34.58764,-58.420109,Palermo,Comuna 14,OPERATIVO,2026-06-25,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,82.354
POLO-R01,Palermo,HITO-H163,Victor Audio Bar,Latin America’s 50 Best,The World's 50 Best Bars 2025 (51-100),Soler 5130,-34.583809,-58.428974,Palermo,Comuna 14,SIN_VERIFICAR,,The World's 50 Best Bars 2025 (51-100),The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,135.763
POLO-R02,Avenida Corrientes,HITO-H011,Bar Lavalle,Bar Notable,,Lavalle 1693,-34.60304,-58.391002,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,60.736
POLO-R02,Avenida Corrientes,HITO-H038,Celta Bar,Bar Notable,,Sarmiento 1702,-34.605579,-58.390932,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,34.919
POLO-R02,Avenida Corrientes,HITO-H050,El Gato Negro,Bar Notable,,Av. Corrientes 1669,-34.604209,-58.390307,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,186.731
POLO-R02,Avenida Corrientes,HITO-DIR-003,Guerrin,pizzería histórica,APYCE + GCBA (2025),Av. Corrientes 1368,-34.604042,-58.386004,San Nicolas,Comuna 1,SIN_VERIFICAR,,APYCE + GCBA (2025),https://turismo.buenosaires.gob.ar/es/gastronomico/guerrin,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,183.107
POLO-R02,Avenida Corrientes,HITO-H067,LA GIRALDA,Bar Notable,,Av. Corrientes 1453,-34.604052,-58.387286,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,188.865
POLO-R02,Avenida Corrientes,HITO-H075,LOS GALGOS,Bar Notable,,Av. Callao 501,-34.602955,-58.392326,San Nicolas,Comuna 1,OPERATIVO,2026-08-02,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,36.976
POLO-R02,Avenida Corrientes,HITO-H060,La Academia,Bar Notable,,Montevideo 341,-34.60492,-58.389323,San Nicolas,Comuna 1,OPERATIVO,2025-06-19,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,103.618
POLO-R02,Avenida Corrientes,HITO-H068,La Opera,Bar Notable,,Av. Corrientes 1799,-34.604335,-58.392047,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,173.325
POLO-R02,Avenida Corrientes,HITO-H081,Petit Colón,Bar Notable,,Libertad 505,-34.602403,-58.38376,San Nicolas,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,23.663
POLO-R02,Avenida Corrientes,HITO-ICO-016,Zum Edelweiss,Restaurante Icónico,,LIBERTAD 431,-34.603388,-58.383693,San Nicolas,Comuna 1,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/zum-edelweiss,media,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,133.017
POLO-R03,San Telmo,HITO-H013,BAR PLAZA DORREGO,Bar Notable,,Defensa 1098,-34.620552,-58.371399,San Telmo,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,SI,27.239
POLO-R03,San Telmo,HITO-H009,Bar El Federal,Bar Notable,,Carlos Calvo 595,-34.619619,-58.374145,San Telmo,Comuna 1,OPERATIVO,2026-07-21,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,39.484
POLO-R03,San Telmo,HITO-H087,Cafe Rivas,Bar Notable,,Estados Unidos 302,-34.618461,-58.370277,San Telmo,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,208.157
POLO-R03,San Telmo,HITO-H051,HIPOPOTAMO,Bar Notable,,Brasil 401,-34.625331,-58.371288,San Telmo,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,212.693
POLO-R03,San Telmo,HITO-MG-0001,Mercado de San Telmo,mercado/patio,,Defensa 961,-34.619168,-58.371593,San Telmo,Comuna 1,SIN_VERIFICAR,,Mercado o patio documentado,REFERENTES_2026,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,64.183
POLO-R04,Puerto Madero,HITO-MIC-051,Cabaña Las Lilas,MICHELIN,Recomendado/seleccionado,Avenida Alicia Moreau de Justo 516,-34.603631,-58.36706,Puerto Madero,Comuna 1,SIN_VERIFICAR,2026-08-08,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/cabana-las-lilas,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,49.743
POLO-R04,Puerto Madero,HITO-H152,El Mercado (Faena),Latin America’s 50 Best,Latin America's 50 Best Restaurants 2025,Martha Salotti 445,-34.613399,-58.361727,Puerto Madero,Comuna 1,SIN_VERIFICAR,2026-08-08,Latin America's 50 Best Restaurants 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,175.475
POLO-R04,Puerto Madero,HITO-ICO-006,Estilo Campo,Restaurante Icónico,,"MOREAU DE JUSTO, ALICIA AV. 1840",-34.620317,-58.365452,Puerto Madero,Comuna 1,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/estilo-campo,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,76.351
POLO-R04,Puerto Madero,HITO-MIC-053,La Cabaña,MICHELIN,Recomendado/seleccionado,Avenida Alicia Moreau de Justo 580,-34.604104,-58.367006,Puerto Madero,Comuna 1,SIN_VERIFICAR,2026-08-08,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/la-cabana-551418,alta,referente documentado; asignación geometria,NO,NO,,GEOMETRIA,NO,NO,50.21
POLO-R04,Puerto Madero,HITO-ICO-011,Marcelo Restaurante,Restaurante Icónico,,"MOREAU DE JUSTO, ALICIA AV. 1140",-34.610892,-58.366239,Puerto Madero,Comuna 1,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/marcelo-restaurante,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,51.039
POLO-R04,Puerto Madero,HITO-MIC-029,Michel Rolland Grill & Wine,MICHELIN,Recomendado/seleccionado,Juana Manso 1760,-34.619238,-58.361564,Puerto Madero,Comuna 1,SIN_VERIFICAR,2026-08-08,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/michel-rolland-grill-wine,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,129.674
POLO-R04,Puerto Madero,HITO-ICO-014,Sorrento,Restaurante Icónico,,"MOREAU DE JUSTO, ALICIA AV. 420",-34.602294,-58.36721,Puerto Madero,Comuna 1,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/sorrento-0,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,48.89
POLO-R05,Belgrano,HITO-H037,CASA WATSON,Bar Notable,,Vuelta de Obligado 2072,-34.561811,-58.455426,Belgrano,Comuna 13,OPERATIVO,2026-08-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,58.562
POLO-R05,Belgrano,HITO-DIR-007,Casa Burgio,pizzería histórica,APYCE + GCBA (2025),Av. Cabildo 2477,-34.558456,-58.45961,Belgrano,Comuna 13,OPERATIVO,2026-08-07,APYCE + GCBA (2025),https://turismo.buenosaires.gob.ar/es/otros-establecimientos/burgio,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,SI,12.893
POLO-R05,Belgrano,HITO-MG-0002,Mercado de Belgrano,mercado/patio,,Av. Juramento 2527,-34.562848,-58.458147,Belgrano,Comuna 13,SIN_VERIFICAR,2026-08-08,Mercado o patio documentado,REFERENTES_2026 + dirección documental,sin_resolver,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,62.996
POLO-R06,Recoleta,HITO-H153,Aramburu,Latin America’s 50 Best,Latin America's 50 Best Restaurants 2025,Vicente Lopez 1661,-34.591981,-58.389545,Recoleta,Comuna 2,SIN_VERIFICAR,2026-08-08,Latin America's 50 Best Restaurants 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,84.541
POLO-R06,Recoleta,HITO-MIC-045,Aramburu,MICHELIN,Dos Estrellas,Vicente López 1661,-34.591981,-58.389545,Recoleta,Comuna 2,SIN_VERIFICAR,,Dos Estrellas,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/aramburu,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,84.541
POLO-R06,Recoleta,HITO-H006,BAR DEL ALVEAR PALACE HOTEL,Bar Notable,,Av. Alvear 1891,-34.587677,-58.388996,Recoleta,Comuna 2,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,98.669
POLO-R06,Recoleta,HITO-MIC-049,Bis Bistró,Bib Gourmand,selección MICHELIN,Vicente López 1661 Local 12,-34.591981,-58.389545,Recoleta,Comuna 2,SIN_VERIFICAR,2026-08-08,Bib Gourmand,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/bis-bistro,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,84.541
POLO-R06,Recoleta,HITO-MIC-035,Casa Veltri,MICHELIN,Recomendado/seleccionado,Juncal 1642,-34.594177,-58.390974,Recoleta,Comuna 2,SIN_VERIFICAR,2026-08-08,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/casa-veltri,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,174.705
POLO-R06,Recoleta,HITO-MIC-057,Fervor,MICHELIN,Recomendado/seleccionado,Posadas 1519,-34.587315,-58.387386,Recoleta,Comuna 2,SIN_VERIFICAR,2026-08-08,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/fervor,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,40.602
POLO-R06,Recoleta,HITO-H089,Josephina's Cafe,Bar Notable,,Guido 1532,-34.592512,-58.38697,Retiro,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,82.774
POLO-R06,Recoleta,HITO-H061,LA BIELA,Bar Notable,,Av. Quintana 600,-34.587834,-58.390761,Recoleta,Comuna 2,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,52.83
POLO-R06,Recoleta,HITO-DIR-012,Los Maestros,pizzería histórica,APYCE + GCBA (2026),Parana 1249,-34.593727,-58.388633,Recoleta,Comuna 2,SIN_VERIFICAR,,APYCE + GCBA (2026),https://losmaestros.com.ar/,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,95.483
POLO-R06,Recoleta,HITO-MIC-050,Presencia,MICHELIN,Recomendado/seleccionado,Montevideo 1789,-34.590008,-58.386103,Retiro,Comuna 1,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/presencia,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,224.181
POLO-R06,Recoleta,HITO-ICO-013,Restaurante Oviedo,Restaurante Icónico,,BERUTI 2602,-34.592036,-58.402947,Recoleta,Comuna 2,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/restaurante-oviedo,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,130.379
POLO-R06,Recoleta,HITO-MIC-030,Roux,MICHELIN,Recomendado/seleccionado,Peña 2300,-34.590733,-58.397336,Recoleta,Comuna 2,SIN_VERIFICAR,2026-08-08,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/roux-532524,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,41.721
POLO-R07,Costanera Norte,HITO-ICO-007,Happening,Restaurante Icónico,,"OBLIGADO RAFAEL, AV.COSTANERA 7030",-34.544109,-58.432401,Belgrano,Comuna 13,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/happening,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,13.782
POLO-R07,Costanera Norte,HITO-MG-0011,Patio Costanera Norte,mercado/patio,,Avenida Costanera Rafael Obligado 7010,-34.5443,-58.43215,Belgrano,Comuna 13,SIN_VERIFICAR,2026-08-08,Mercado o patio documentado,REFERENTES_2026,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,14.424
POLO-R08,Villa Crespo,HITO-MIC-019,Alcanfor,MICHELIN,Recomendado/seleccionado,Aguirre 949,-34.593746,-58.439242,Villa Crespo,Comuna 15,SIN_VERIFICAR,2026-08-08,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/alcanfor,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,138.102
POLO-R08,Villa Crespo,HITO-MIC-004,Fico,MICHELIN,Recomendado/seleccionado,Muñecas 775,-34.600741,-58.44549,Villa Crespo,Comuna 15,SIN_VERIFICAR,2026-08-08,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/fico-1213659,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,108.665
