orden_prioridad,nombre,barrio,polo_id,polo_nombre,hitos_reconocidos_en_polo,criterio_prioridad,estado_previo,nivel_previo,dias_desde_verificacion_previa,resultado,nivel_resultante,fecha_nueva,fuente_nueva,observaciones
23,LOS GALGOS,San Nicolas,R02,Avenida Corrientes,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,8,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
24,PETIT COLON,San Nicolas,R02;R12,Avenida Corrientes;Centro y Microcentro,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
25,BARBARO BAR,Retiro,Z46,Retiro,11,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
26,CONFITERIA SAINT MORITZ,Retiro,R12;Z46,Centro y Microcentro;Retiro,11,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
27,JOSEPHINA'S CAFE,Recoleta,Z46,Retiro,11,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
28,BAR BIDOU,San Nicolas,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
29,CLARIDGE'S BAR,San Nicolas,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
30,CONFITERIA LA IDEAL,San Nicolas,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
31,EL QUERANDI,Monserrat,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
32,LA PUERTO RICO,Monserrat,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
33,LE CARAVELLE,San Nicolas,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
34,PAULIN,San Nicolas,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
35,BAR EL COLONIAL,Monserrat,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
36,BAR PLAZA DORREGO,San Telmo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
37,BAR PORTUARIO,La Boca,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
38,BAR QUINTINO,Boedo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
39,BAR SEDDON,Monserrat,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
40,BAR SUR,San Telmo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
41,BAR VIA 71,San Nicolas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
42,BOCA A BOCA BAR,La Boca,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
43,BOSTON CITY,San Nicolas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
44,CAFE CORTAZAR,Palermo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
45,CAFE RIVAS,San Telmo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
46,CAFE ROMA,La Boca,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
47,CAFE TABAC,Recoleta,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
48,CAFE THIBON,San Nicolas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
49,CLASICA Y MODERNA,San Nicolas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
50,EL COLECCIONISTA,Caballito,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
51,EL ESTANO 1880,La Boca,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
52,EL HIPOPOTAMO,San Telmo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
53,HOTEL SAVOY / BAR IMPERIO,San Nicolas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
54,LA FLOR DE BARRACAS,Barracas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
55,LA POESIA,San Telmo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
56,MAR AZUL,San Nicolas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
57,MIRAMAR,San Cristobal,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
58,MONTECARLO BAR Y DESPENSA,Palermo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
59,OCHO ESQUINAS,Chacarita,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
60,PLAZA CAFE,Caballito,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
61,ROMA DEL ABASTO,Balvanera,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
