polo,nombre,direccion,existe,estado,fuente,fecha,nivel_de_verificacion,observaciones
Flores · Avellaneda y Pasaje Ruperto Godoy,Matok,Av. Avellaneda 2433,sí_a_fecha_fuente,vigencia_no_verificada,https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf,2015,v2,"El padrón oficial acredita existencia histórica, no atención al corte."
Flores · Avellaneda y Pasaje Ruperto Godoy,Nacca,Argerich 843,sí_a_fecha_fuente,vigencia_no_verificada,https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf,2015,v2,"El padrón oficial acredita existencia histórica, no atención al corte."
Flores · Avellaneda y Pasaje Ruperto Godoy,Productos Cohen,Cuenca 180,sí_a_fecha_fuente,vigencia_no_verificada,https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf,2015,v2,"El padrón oficial acredita existencia histórica, no atención al corte."
Flores · Avellaneda y Pasaje Ruperto Godoy,Soultani,Cuenca 515,sí_a_fecha_fuente,vigencia_no_verificada,https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf,2015,v2,"El padrón oficial acredita existencia histórica, no atención al corte."
Flores · Avellaneda y Pasaje Ruperto Godoy,Registro kosher no individualizado 11,,no_determinable,no_verificable,https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf,2015,v1,"El texto del atlas afirma doce, pero el padrón público permite identificar diez en Flores."
Flores · Avellaneda y Pasaje Ruperto Godoy,Registro kosher no individualizado 12,,no_determinable,no_verificable,https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf,2015,v1,"El texto del atlas afirma doce, pero el padrón público permite identificar diez en Flores."
Parque Avellaneda,La Barra del Parque,Lacarra 836,sí,conflicto_de_vigencia,https://www.timeout.com/es/buenos-aires/que-hacer-parque-avellaneda-viejo-mercado-yiyo-el-zeneize-olivera | https://es.restaurantguru.com/La-Barra-Del-Parque-Buenos-Aires,2025 / 2026-01-19,v2,La nota describe atención y el agregador luego marca cierre; el rótulo del agregador no basta para resolverlo.
Parque Avellaneda,De Flores Café,Lacarra 1500,sí,abierto_a_fecha_fuente,https://www.timeout.com/es/buenos-aires/que-hacer-parque-avellaneda-viejo-mercado-yiyo-el-zeneize-olivera,2025 (día no recuperado),v2,La nota publica propuesta y horarios; no acredita atención al corte.
Parque Avellaneda,Viejo Mercado,Av. Olivera 1557,sí,abierto_a_fecha_fuente,https://www.timeout.com/es/buenos-aires/que-hacer-parque-avellaneda-viejo-mercado-yiyo-el-zeneize-olivera,2025 (día no recuperado),v2,La nota publica propuesta y domicilio; no acredita atención al corte.
Donado–Holmberg,Cimino R,Donado 1919,sí,vigencia_no_verificada,https://www.lanacion.com.ar/la-nacion-revista/sabores-unicos-quienes-son-y-como-trabajan-los-nuevos-alquimistas-del-helado-nid19022022/,2022-02-19,v2,Se acredita la sede en 2022; los listados posteriores recuperados no traen una fecha editorial confiable.
Donado–Holmberg,Vespress,Donado 1720,sí,probablemente_abierto,https://vespress.com/locales/,consulta 2026-08-10,v1,"Sitio oficial vigente, pero sin fecha editorial; no alcanza el estándar de pieza fechada."
Donado–Holmberg,Cigaló,Holmberg 2004,sí,probablemente_abierto,https://www.mastercard.com.ar/content/dam/public/mastercardcom/lac/ar/home/consumidores/conozca-nuestras-ofertas-y-promociones/Gastronomia.pdf,2026-05,v3,Participación operativa fechada en una promoción pública.
Donado–Holmberg,Chicama,Donado 1995,sí,conflicto_de_domicilio_y_vigencia,https://www.happycow.net/reviews/chicama-buenos-aires-315812 | https://godiamo.com.ar/cafes-y-dulces/chicama/,2024-09-21 / 2026-07,v2,Una fuente informa mudanza a Echeverría 4322 y otra conserva Donado 1995; requiere constatación adicional.
Donado–Holmberg,El Bohemio,Donado 1802,sí,abierto_a_fecha_fuente,https://tn.com.ar/cocina/gastronomia/2024/12/10/el-restaurante-que-lleva-10-anos-en-una-antigua-casona-de-villa-urquiza-y-conserva-su-alma-bohemia/,2024-12-10,v2,Pieza individual fechada; no acredita atención al corte.
Villa Luro,Brest Patisserie,Acassuso 5183,sí,vigencia_no_verificada,https://www.infogastronomica.com.ar/villa-luro-los-nuevos-bares-y-restaurantes-de-un-polo-gastronomico-que-no-para-de-crecer/,2023-03-26,v2,Sin pieza pública posterior suficientemente fechada.
Villa Luro,Estación de Milanesas,Acassuso 5202,sí,vigencia_no_verificada,https://www.infogastronomica.com.ar/villa-luro-los-nuevos-bares-y-restaurantes-de-un-polo-gastronomico-que-no-para-de-crecer/,2023-03-26,v2,Sin pieza pública posterior localizada para esta sede.
Villa Luro,Casa Tónica,Av. Rivadavia 10101,sí,probablemente_abierto,https://www.restaurants10.com/AR/Buenos-Aires/109823178650922/Casa-T%C3%B3nica-Gintoner%C3%ADa,2026-06-08,v2,"Espejo público de publicaciones fechadas del canal del local; señal útil, no verificación independiente."
Villa Luro,García Restaurante,García de Cossio 5727,sí,vigencia_no_verificada,https://www.infogastronomica.com.ar/villa-luro-los-nuevos-bares-y-restaurantes-de-un-polo-gastronomico-que-no-para-de-crecer/,2023-03-26,v2,Sin pieza pública posterior localizada.
Villa Luro,Mich Bar,Basualdo 103,sí,vigencia_no_verificada,https://www.infogastronomica.com.ar/villa-luro-los-nuevos-bares-y-restaurantes-de-un-polo-gastronomico-que-no-para-de-crecer/,2023-03-26,v2,Sin pieza pública posterior; un catálogo de entrega no se usó como verificación.
Villa Luro,Alma y Fuego,Av. Rivadavia 10399,sí,probablemente_abierto,https://buenosairesconnect.com/barrio-villa-luro/,2026-05-09,v2,La pieza describe oferta actual; el artículo de 2023 sólo anunciaba una apertura futura.
