hito_id,nombre,tipo,direccion,barrio,polo_mas_cercano_id,polo_mas_cercano,distancia_m,a_250_m_o_menos,calle_de_la_puerta,la_nombra_el_perimetro_escrito,la_calle_toca_el_borde,que_haria_falta,ha_del_borde_ahora,locales_del_borde_ahora,ha_si_se_extiende,locales_si_se_extiende,tramo_a_agregar_m,piezas_si_se_extiende,categoria_del_perimetro
DIR-028,Centro Laurak Bat (Restaurante Haritz),Casa regional con comedor,Av. Belgrano 1144,Monserrat,R12,Centro y Microcentro,311.3,no,BELGRANO,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",184.12,1084,,,,,da un barrio o una referencia sin calles
ICO-008,Il Matterello,Restaurante Icónico,"RODRIGUEZ, MARTIN 517",Boca,Z52,La Boca · Almirante Brown y Necochea,321.2,no,"RODRIGUEZ, MARTIN",no,si,haría falta una calle que el perímetro escrito no nombra,16.17,21,,,,,da calles sin alturas
H021,Cafe Cortazar,Bar Notable,Jose Antonio Cabrera 3797,Palermo,Z37,Almagro,349.3,no,,,,no se puede decidir: la dirección no resuelve contra el callejero,60.9,207,,,,,da calles y alturas
H026,LA POESIA,Bar Notable,Chile 502,San Telmo,R03,San Telmo,357.9,no,CHILE,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",25.37,71,,,,,da calles sin alturas
H066,La Flor de Barracas,Bar Notable,Suarez 2095,Barracas,Z50,Barracas · Av. Montes de Oca,358.9,no,SUAREZ,no,si,haría falta una calle que el perímetro escrito no nombra,50.62,84,,,,,da calles y alturas
H056,El Viejo Buzon,Bar Notable,Neuquen 1100,Caballito,R10,Caballito,386.1,no,NEUQUEN,no,si,haría falta una calle que el perímetro escrito no nombra,225.36,508,,,,,da calles sin alturas
MG-0012,Patio Gastronomico Rodrigo Bueno,Mercado/patio,Av. Espana 2230,Boca,R04,Puerto Madero,407.3,no,ESPAÑA AV.,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",314.54,354,,,,,da un barrio o una referencia sin calles
PAT-001,Pena Los Amigos / Bar El Chino,Patrimonio normativo,Beazley 3566,Nueva Pompeya,Z40,Nueva Pompeya y Parque Patricios,423.9,no,BEAZLEY,no,si,haría falta una calle que el perímetro escrito no nombra,69.06,112,,,,,da calles sin alturas
H004,Bar Boca a Boca,Bar Notable,Av. Benito Perez Galdos 201,Boca,Z52,La Boca · Almirante Brown y Necochea,425.7,no,"PEREZ GALDOS, BENITO AV.",no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",16.17,21,,,,,da calles sin alturas
H030,Plaza Café,Bar Notable,Av. Rivadavia 4732,Caballito,R10,Caballito,453.2,no,RIVADAVIA,no,si,haría falta una calle que el perímetro escrito no nombra,225.36,508,,,,,da calles sin alturas
H024,CAFE DE LOS ANGELITOS,Bar Notable,Av. Rivadavia 2100,Balvanera,R02,Avenida Corrientes,463.9,no,RIVADAVIA,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",49.67,354,,,,,da calles sin alturas
DIR-027,Centro Asturiano de Buenos Aires,Casa regional con comedor,Solis 475,Monserrat,R12,Centro y Microcentro,487.9,no,SOLIS,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",184.12,1084,,,,,da un barrio o una referencia sin calles
H199,Yiyo el Zeneize,Restaurante/bodegón,Av. Eva Peron 4402,Parque Avellaneda,Z39,Parque Avellaneda,515.0,no,"PERON, EVA AV.",no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",75.26,11,,,,,da calles sin alturas
H048,El Estano 1880,Bar Notable,Aristobulo del Valle 1100,Boca,Z50,Barracas · Av. Montes de Oca,525.0,no,"VALLE, ARISTOBULO DEL",no,si,haría falta una calle que el perímetro escrito no nombra,50.62,84,,,,,da calles y alturas
DIR-022,Tino,Heladería histórica,Av. Diaz Velez 4520,Caballito,R08,Villa Crespo,569.9,no,DIAZ VELEZ AV.,no,si,haría falta una calle que el perímetro escrito no nombra,335.46,823,,,,,da calles sin alturas
MIC-056,Narda Comedor,MICHELIN,Mariscal Antonio José de Sucre 664,Belgrano,R07,Costanera Norte,607.3,no,,,,no se puede decidir: la dirección no resuelve contra el callejero,38.5,67,,,,,no escribe perímetro
ICO-004,El Puentecito,Restaurante Icónico,LUJAN 2101,Barracas,Z51,"Barracas · Iriarte, California y Vieytes",622.8,no,LUJAN,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",5.83,12,,,,,da calles y alturas
H028,Café Olimpo,Bar Notable,Irigoyen 1491,Monte Castro,Z28,Monte Castro,638.3,no,IRIGOYEN,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",28.73,69,,,,,da calles y alturas
DIR-015,San Carlos,Pizzería emblemática,Av. Rivadavia 4548,Caballito,Z37,Almagro,645.3,no,RIVADAVIA,si,si,extender sobre una calle que el perímetro escrito ya nombra,60.9,207,,,,,da calles y alturas
MIC-054,Kōnā,MICHELIN,Castañeda 1899,Belgrano,R07,Costanera Norte,652.5,no,CASTAÑEDA,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",38.5,67,,,,,no escribe perímetro
H036,CAFETABAC,Bar Notable,Av. del Libertador 2300,Palermo,R06,Recoleta,654.9,no,DEL LIBERTADOR AV.,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",140.52,714,,,,,no escribe perímetro
DIR-024,Saverio Helados,Heladería histórica,Av. San Juan 2809,San Cristobal,R14,Avenida Boedo,665.4,no,SAN JUAN AV.,no,si,haría falta una calle que el perímetro escrito no nombra,179.46,245,,,,,da calles sin alturas
H007,Bar del Glorias,Bar Notable,Andalgala 1982,Mataderos,Z33,Mataderos,666.8,no,ANDALGALA,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",43.99,17,,,,,da un cruce de avenidas sin extensión
DIR-011,El Cedron,Pizzería emblemática,Av. Juan B. Alberdi 6101,Mataderos,Z33,Mataderos,691.2,no,"ALBERDI, JUAN BAUTISTA AV.",si,no,el perímetro nombra la calle pero la calle no llega al borde: la extensión quedaría suelta,43.99,17,,,,,da un cruce de avenidas sin extensión
H065,LA FARMACIA,Bar Notable,Av. Directorio 2400,Flores,R10,Caballito,792.4,no,DIRECTORIO AV.,no,si,haría falta una calle que el perímetro escrito no nombra,225.36,508,,,,,da calles sin alturas
H001,9 de Julio,Bar Notable,Larrazabal 1276,Mataderos,Z33,Mataderos,887.6,no,LARRAZABAL,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",43.99,17,,,,,da un cruce de avenidas sin extensión
DIR-026,Gran Café Gardel,Café histórico sin registro oficial,ochava Av. Entre Ríos e Independencia,Balvanera,R12,Centro y Microcentro,902.7,no,,,,no se puede decidir: la dirección no resuelve contra el callejero,184.12,1084,,,,,da un barrio o una referencia sin calles
MIC-052,Casa Palanti,MICHELIN,Ortiz de Ocampo 2901,Palermo,R06,Recoleta,903.9,no,ORTIZ DE OCAMPO,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",140.52,714,,,,,no escribe perímetro
DIR-025,Napoli,Heladería histórica,Av. Entre Rios 1167,San Cristobal,R11,Boulevard Caseros,1076.0,no,ENTRE RIOS AV.,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",50.03,60,,,,,da calles sin alturas
MIC-058,Casa Cavia,MICHELIN,Cavia 2985,Palermo,R07,Costanera Norte,1094.5,no,CAVIA,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",38.5,67,,,,,no escribe perímetro
ICO-012,Miramar,Restaurante Icónico,SAN JUAN AV. 1999,San Cristobal,R11,Boulevard Caseros,1153.9,no,SAN JUAN AV.,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",50.03,60,,,,,da calles sin alturas
H078,Miramar,Bar Notable,Sarandi 1190,San Cristobal,R11,Boulevard Caseros,1169.4,no,SARANDI,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",50.03,60,,,,,da calles sin alturas
H158,Mishiguene,Ranking internacional,Lafinur 3368,Palermo,R01,Palermo,1193.3,no,LAFINUR,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",385.51,1916,,,,,da un barrio o una referencia sin calles
MIC-037,Mishiguene,MICHELIN,Lafinur 3368,Palermo,R01,Palermo,1193.3,no,LAFINUR,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",385.51,1916,,,,,da un barrio o una referencia sin calles
H005,Bar de Cao,Bar Notable,Av. Independencia 2400,San Cristobal,R14,Avenida Boedo,1203.8,no,INDEPENDENCIA AV.,no,si,haría falta una calle que el perímetro escrito no nombra,179.46,245,,,,,da calles sin alturas
