polo,texto_del_perimetro,calles_nombradas,tiene_alturas,categoria,reconstruible_desde_el_texto,polo_id,n_calles_nombradas,calles_que_tocan_el_borde,alturas_que_escribe,por_que,referencias_que_no_son_calles,ha_del_borde,locales_del_borde,calles_en_el_callejero
R11 · Boulevard Caseros,"**Dónde está.** Av. Caseros entre Defensa y Bolívar. Una cuadra, como máximo hasta Perú. No llega a Av. Montes de Oca. > Es una corrección ya aplicada y conviene que quede escrita. Una versión anterior de este > trabajo extendía el corredor de Defensa hasta Av. Montes de Oca. **Ninguna fuente lo sostiene: > son una o dos cuadras.** El error hacía que el polo pareciera diez veces más largo de lo que > ninguna evidencia respalda, y lo detectó ir a buscar la fuente de cada extremo.",Av. Caseros; Defensa; Bolívar; Perú; Av. Montes de Oca,no,da calles sin alturas,si,R11,5,5,,"eje, los dos extremos y el tope máximo escritos: «Av. Caseros entre Defensa y Bolívar, una cuadra, como máximo hasta Perú», y dice hasta dónde NO llega",,50.03,60,CASEROS AV.; DEFENSA; BOLIVAR; PERU; MONTES DE OCA MANUEL AV
R12 · Centro y Microcentro,"**Dónde está.** Perímetro vigente. **Se pisa con Monserrat**, que en este relevamiento entra por sí sola como zona, y el reparto de la superposición está sin decidir.",,no,da un barrio o una referencia sin calles,no,R12,0,0,,«perímetro vigente» y el aviso de que se pisa con Monserrat. Ninguna calle,Monserrat,184.12,1084,
R13 · Abasto,**Dónde está.** Perímetro vigente. Contiene el enclave **Corredor Peruano**.,,no,da un barrio o una referencia sin calles,no,R13,0,0,,«perímetro vigente» más el enclave que contiene. Ninguna calle,el enclave Corredor Peruano,109.0,373,
R14 · Avenida Boedo,"**Dónde está.** El eje de Av. Boedo, con el contorno vigente.",Av. Boedo,no,da calles sin alturas,no,R14,1,1,,"«el eje de Av. Boedo, con el contorno vigente»: el eje sin extensión y el contorno remitido",,179.46,245,BOEDO AV.
R15 · Devoto,"**Dónde está.** Perímetro vigente, con núcleo en **Plaza Arenales**.",,no,da un barrio o una referencia sin calles,no,R15,0,0,,«perímetro vigente» más el núcleo en una plaza. Ninguna calle,Plaza Arenales,478.74,422,
R16 · Donado-Holmberg,**Dónde está.** Donado y Holmberg entre Echeverría y La Pampa.,Donado; Holmberg; Echeverría; La Pampa,no,da calles sin alturas,si,R16,4,4,,dos ejes paralelos con los dos extremos escritos: «Donado y Holmberg entre Echeverría y La Pampa»,,119.0,121,DONADO; HOLMBERG; ECHEVERRIA; LA PAMPA
R17 · Villa Urquiza,"**Dónde está.** Av. Triunvirato, Av. Monroe y Plaza Echeverría.",Av. Triunvirato; Av. Monroe,no,da calles sin alturas,no,R17,2,2,,"dos avenidas y una plaza enumeradas, sin ninguna extensión, para un borde de 446 ha",Plaza Echeverría,446.62,528,TRIUNVIRATO AV.; MONROE AV.
R19 · Federico Lacroze,"**Dónde está.** Se amplía al entorno de Fraga, Dorrego, Charlone, Jorge Newbery y Plaza Los Andes. El perímetro nuevo tiene que contener al viejo, y esa contención se verifica midiendo superficie perdida, no con un predicado.",Fraga; Dorrego; Charlone; Jorge Newbery,no,da calles sin alturas,no,R19,4,4,,«se amplía al entorno de» cuatro calles y una plaza: «entorno» no es una extensión,Plaza Los Andes,303.28,532,"FRAGA; DORREGO AV.; CHARLONE; NEWBERY, JORGE AV."
R20 · Garcia del Rio,"**Dónde está.** El boulevard de Av. García del Río, de Av. Cabildo a Av. Balbín. El tramo verificado mide **1.483 metros, unas quince cuadras.** > Y el corte anterior estaba mal por un bicho del callejero. El corredor figura en el nomenclador de calles > oficial bajo dos nombres —«García del Río» y «García del Río Av.»— que se empalman en Pinto. Una > medición anterior buscó sólo el primero, le pidió el cruce con Av. Cabildo, que está en la otra > mitad, y devolvió un tramo de 974 metros sin avisar que el corte no tocaba el eje. Ese tramo > no era Cabildo–Balbín: era Pinto–Balbín, y le faltaba el corredor entero al oeste.",Av. García del Río; Av. Cabildo; Av. Balbín; Pinto,no,da calles sin alturas,si,R20,4,4,,"eje, los dos extremos y el largo verificado: «de Av. Cabildo a Av. Balbín, 1.483 metros, unas quince cuadras»",,61.0,102,GARCIA DEL RIO AV.; CABILDO AV.; BALBIN RICARDO DR AV; PINTO
R21 · La Paternal,"**Dónde está.** Se amplía hacia Belaustegui, Remedios de Escalada de San Martín, Paz Soldán, Rojas, Ávalos, Espinosa y Terrero, hasta el límite con Villa Crespo.",Belaustegui; Remedios de Escalada de San Martín; Paz Soldán; Rojas; Ávalos; Espinosa; Terrero,no,da calles sin alturas,no,R21,7,7,,"«se amplía hacia» siete calles: es una dirección de crecimiento, no un contorno, y el único límite escrito es el del barrio vecino",el límite con Villa Crespo,385.34,307,BELAUSTEGUI LUIS DR; ESCALADA DE SAN MARTIN R; PAZ SOLDAN; ROJAS; AVALOS; ESPINOSA; TERRERO
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,"**Dónde está.** Tres piezas: el corredor de Av. Avellaneda entre Nazca y Cuenca/Bahía Blanca, el núcleo peatonal del Pasaje Ruperto Godoy 700-800, y un **racimo en Felipe Vallese 3100**.",Av. Avellaneda; Nazca; Cuenca; Bahía Blanca; Pasaje Ruperto Godoy; Felipe Vallese,si,da calles y alturas,si,Z24,6,5,Pasaje Ruperto Godoy 700-800; Felipe Vallese 3100,"las tres piezas con su extensión: el corredor entre dos cortes, el pasaje por altura y el racimo por altura",,39.51,107,"AVELLANEDA AV.; NAZCA AV.; CUENCA; BAHIA BLANCA; GODOY RUPERTO; VALLESE, FELIPE"
Z27 · Villa Santa Rita,"**Dónde está.** Puntos dispersos con anclaje en **Av. Álvarez Jonte**, que es el límite sur y oeste del barrio **y no su columna interior**. La página lo dice porque la diferencia importa: el polo se apoya en un borde.",Av. Álvarez Jonte,no,da calles sin alturas,no,Z27,1,1,,«puntos dispersos con anclaje» en una avenida que la propia página dice que es el límite del barrio y no su columna interior. No hay trazado: publica el barrio,,215.46,182,ALVAREZ JONTE AV.
Z28 · Monte Castro,"**Dónde está.** Av. Álvarez Jonte, aproximadamente entre el 4400 y el 5299, con nodo en el cruce con Av. Lope de Vega.",Av. Álvarez Jonte; Av. Lope de Vega,si,da calles y alturas,si,Z28,2,2,Av. Álvarez Jonte 4400-5299,"eje con rango de alturas y el nodo del cruce. La página escribe «aproximadamente», y esa es toda la holgura",,28.73,69,ALVAREZ JONTE AV.; LOPE DE VEGA AV.
Z31 · Villa Luro,"**Dónde está.** Bulevar Ramón L. Falcón 5400-5800, más Av. Rivadavia 10100-10400. Fijado con numeración por prensa nacional. > Esta página decía «5400-5800, entre Albariños y Escalada» y llamaba a eso «la delimitación más > nítida del oeste». Es la misma pieza escrita de dos maneras, y las dos no coinciden. Medido: > por alturas, el tramo mide 1.028 metros; por calles de corte, de Albariño a Escalada, mide > 1.284 — 256 metros más, unas dos cuadras y media, un 25 %. > > Un perímetro escrito dos veces en el mismo renglón tiene que dar lo mismo por los dos caminos. > Se adopta el rango de alturas, porque es lo que la propia página declara como fijado por la fuente; > las calles de corte llegan más lejos que lo que la fuente dice. La cifra publicada —13,70 > hectáreas y 41 locales entre las dos piezas— usa las alturas.",Bulevar Ramón L. Falcón; Av. Rivadavia; Albariños; Escalada,si,da calles y alturas,si,Z31,4,4,Ramón L. Falcón 5400-5800; Av. Rivadavia 10100-10400,"las dos piezas por altura, y además la página documenta que el perímetro estaba escrito dos veces —por alturas y por calles de corte—, que las dos lecturas diferían en 256 m y cuál adoptó. Es el bloque mejor escrito de las 41",,13.7,41,"FALCON, RAMON L.,CNEL.; RIVADAVIA AV.; ALBARINO; ESCALADA AV"
Z32 · Liniers · Mercado Andino,"**Dónde está.** El eje de José León Suárez entre Ramón Falcón y Ventura Bosch, 285 metros medidos, con transversales sobre Ramón Falcón, Ibarrola y Ventura Bosch. **No es un cuadrante: es un eje con transversales.**",José León Suárez; Ramón Falcón; Ventura Bosch; Ibarrola,no,da calles sin alturas,en parte,Z32,4,4,,el eje tiene los dos extremos y el largo medido —285 m—; las tres transversales están nombradas y no dice hasta dónde llegan,,7.0,63,"SUAREZ, JOSE LEON; FALCON, RAMON L.,CNEL.; BOSCH, VENTURA; IBARROLA"
Z33 · Mataderos,"**Dónde está.** Dos piezas separadas por más de un kilómetro: la **Feria y el Mercado de Hacienda**, en Av. Lisandro de la Torre y Av. de los Corrales, y un conjunto de lugares históricos dispersos. El eje comercial que releva la Ciudad es Av. Alberdi 5501-6299. **Borde dibujado en esta edición a modo de primera aproximación: 43,99 hectáreas y 17 locales.** Es el entorno mínimo del cruce de las dos avenidas que cierra una figura sobre el callejero. **No es un borde cerrado**: el perímetro escrito de esta página nombra el cruce y no dice hasta dónde llega, y el dato que lo cerraría —hasta dónde ocupa la Feria— es administrativo y este trabajo no lo tiene. Se publica para que la página deje de ser la única sin ninguna cifra, y se marca como transitorio para que nadie lo tome por definitivo. > Y hay que decir cómo está hecha esa cifra, porque la forma engaña: **40,70 de las 43,99 hectáreas > son una sola manzana**, la del Mercado de Hacienda. De los cuatro establecimientos que la página > nombra, el contorno contiene uno. Se midió también qué costaría contener a los otros tres y no > alcanza: ninguno está sobre las dos avenidas del perímetro escrito, y estirarlo hasta ellos daría > 92,18 hectáreas —el doble— y aun así dejaría al Bar del Glorias afuera. Por eso el borde se queda > donde está y se declara transitorio en vez de forzarlo.",Av. Lisandro de la Torre; Av. de los Corrales; Av. Alberdi,si,da un cruce de avenidas sin extensión,no,Z33,3,2,Av. Alberdi 5501-6299,"para el polo da un cruce de dos avenidas y no dice hasta dónde llega —la propia página lo declara y por eso su borde es transitorio—. El único rango de alturas que escribe es el del eje comercial, que la página dice que es otro objeto",la Feria y el Mercado de Hacienda,43.99,17,"DE LA TORRE, LISANDRO AV.; DE LOS CORRALES AV; ALBERDI, JUAN BAUTISTA AV."
Z35 · Balvanera · Once,"**Dónde está.** El **enclave de Tucumán**, entre el 2379 y el 2755, con la transversal de Paso al 700, más el tramo de **Av. Rivadavia entre el 2001 y el 2200** que lo conecta por Pasteur.",Tucumán; Paso; Av. Rivadavia; Pasteur,si,da calles y alturas,en parte,Z35,4,3,Tucumán 2379-2755; Paso 700; Av. Rivadavia 2001-2200,"el enclave y la transversal están por altura; el tramo de Av. Rivadavia también, y es el que el borde dibujado no tiene: el texto escribe más perímetro del que la geometría publica",,19.18,74,TUCUMAN; PASO; RIVADAVIA AV.; PASTEUR
Z37 · Almagro,"**Dónde está.** Tres piezas: el **núcleo de Guardia Vieja y Bulnes**, el **corredor de Av. Corrientes entre el 3500 y el 4200**, y el **nodo de Rivadavia y Medrano**. En Guardia Vieja hay cuatro locales en tres cuadras, dos de ellos enfrentados en la misma esquina — el 3601 y el 3602.",Guardia Vieja; Bulnes; Av. Corrientes; Rivadavia; Medrano,si,da calles y alturas,en parte,Z37,5,5,Av. Corrientes 3500-4200; Guardia Vieja 3601 y 3602,el corredor de Av. Corrientes tiene rango de alturas; «el núcleo de Guardia Vieja y Bulnes» y «el nodo de Rivadavia y Medrano» son dos cruces sin extensión,,60.9,207,GUARDIA VIEJA; BULNES; CORRIENTES AV.; RIVADAVIA AV.; MEDRANO AV.
Z39 · Parque Avellaneda,"**Dónde está.** El **anillo del Parque Avellaneda**, sobre Av. Olivera y Av. Lacarra.",Av. Olivera; Av. Lacarra,no,da calles sin alturas,no,Z39,2,2,,"el anillo de un parque se podría reconstruir por las caras del parque, pero está medido que Av. Olivera tiene 0 m de frente sobre la cara del parque: una de las dos avenidas que lo nombran no lo toca",el anillo del Parque Avellaneda,75.26,11,OLIVERA AV.; LACARRA AV.
Z39b · Baek-ku · Barrio Coreano,"**Dónde está.** Av. Carabobo entre Av. Castañares y Av. Eva Perón: siete cuadras. Al sur de Flores, en el límite con Parque Chacabuco.",Av. Carabobo; Av. Castañares; Av. Eva Perón,no,da calles sin alturas,si,Z39b,3,3,,eje con los dos extremos y el largo en cuadras: «Av. Carabobo entre Av. Castañares y Av. Eva Perón: siete cuadras»,Flores; el límite con Parque Chacabuco,34.86,38,CARABOBO AV.; CASTANARES AV.; PERON EVA AV
Z40 · Nueva Pompeya y Parque Patricios,"**Dónde está.** Tres piezas: Av. Caseros y el Distrito Tecnológico, **Av. Sáenz y el Mercado de Pompeya**, y el **Barrio Charrúa**.",Av. Caseros; Av. Sáenz,no,da calles sin alturas,no,Z40,2,2,,"tres piezas y ninguna con extensión; la tercera no tiene ni siquiera una calle, y está medido que no cierra sobre el callejero",el Distrito Tecnológico; el Mercado de Pompeya; el Barrio Charrúa,69.06,112,CASEROS AV.; SAENZ AV.
Z41 · Nunez,"**Dónde está.** Tres piezas: el corredor de Crisólogo Larralde entre Av. del Libertador y Av. Cabildo, el **corredor bajo el viaducto Mitre**, y un **núcleo disperso de bistrós** en Campos Salles, O'Higgins y Grecia. Núñez propiamente dicho empieza al norte de Av. Congreso.",Crisólogo Larralde; Av. del Libertador; Av. Cabildo; Campos Salles; O'Higgins; Grecia; Av. Congreso,no,da calles sin alturas,en parte,Z41,7,7,,"la primera pieza tiene eje y los dos extremos; el corredor del viaducto y el núcleo disperso de tres calles no tienen extensión. La página publica el polígono del barrio, no esto",el viaducto Mitre,442.64,494,"LARRALDE, CRISOLOGO AV.; DEL LIBERTADOR AV; CABILDO AV.; CAMPOS SALLES; O HIGGINS; GRECIA; CONGRESO AV."
Z43 · Colegiales,"**Dónde está.** **En revisión.** Lo que se propone es el eje Concepción Arenal–Zapiola, el Polo Concepción y el Mercado de Pulgas — o sea, **lo que queda propio y afuera** de las dos polos vecinas que comparten el corredor.",Concepción Arenal; Zapiola,no,da calles sin alturas,no,Z43,2,2,,"la página abre diciendo «En revisión» y lo que escribe es una propuesta. Medido, su borde es el polígono del barrio",el Polo Concepción; el Mercado de Pulgas,229.08,441,ARENAL CONCEPCION; ZAPIOLA
Z44 · Villa Ortuzar,"**Dónde está.** **Av. Álvarez Thomas, tramo 600-1700**, con núcleo secundario en Plaza 25 de Agosto — Giribone, 14 de Julio, Charlone y Bauness. **Borde cerrado en esta edición: 34,39 hectáreas y 69 locales**, leyendo las dos aceras de la avenida — veintitrés manzanas.",Av. Álvarez Thomas; Giribone; 14 de Julio; Charlone; Bauness,si,da calles y alturas,si,Z44,5,3,Av. Álvarez Thomas 600-1700,"eje por altura y, además, la página declara la regla con la que se trazó: «las dos aceras de la avenida — veintitrés manzanas»",Plaza 25 de Agosto,34.39,69,ALVAREZ THOMAS AV.; GIRIBONE; 14 DE JULIO; CHARLONE; BAUNESS
Z46 · Retiro,"**Dónde está.** Tres piezas: el **núcleo institucional** de Plaza San Martín y Florida; el **corredor Arroyo**, de Juncal y Esmeralda a Plaza Carlos Pellegrini; y un **núcleo coreano y asiático** sobre Maipú, Esmeralda, Paraguay y M. T. de Alvear, alturas 800 a 990, entre Plaza San Martín y Av. Córdoba. > Por qué absorbe al polo anterior en vez de convivir con ella. El núcleo coreano cae > exactamente sobre el punto que el polo anterior marcaba —Esmeralda y Paraguay— y ese > contorno era cuatro veces más grande que el núcleo. Delimitar por el núcleo describe > el objeto; delimitar por el polo anterior describía un cuadrante.",Florida; Juncal; Esmeralda; Maipú; Paraguay; M. T. de Alvear; Av. Córdoba,si,da calles y alturas,en parte,Z46,7,7,"Maipú, Esmeralda, Paraguay y M. T. de Alvear 800-990","la tercera pieza tiene calles, alturas y los dos extremos; el núcleo institucional y el corredor Arroyo van por plazas y no tienen extensión. La página publica el polígono del barrio, no esto",Plaza San Martín; el corredor Arroyo; Plaza Carlos Pellegrini,467.14,715,FLORIDA; JUNCAL; ESMERALDA; MAIPU; PARAGUAY; ALVEAR MARCELO T DE; CORDOBA AV.
Z47 · Monserrat y Congreso,"**Dónde está.** El eje **Av. de Mayo–Callao**: Av. de Mayo de Perú/Bolívar a Lima/Salta, alturas 500 a 1300, **ambas aceras**, con frentes sobre H. Yrigoyen 1199-1201. Remates en Alsina 420, Perú 86 y 302, Av. Belgrano 599 y 1144, Defensa 695, Solís 475, la ochava de Entre Ríos e Independencia, y Av. Callao 248 y 368.",Av. de Mayo; Callao; Perú; Bolívar; Lima; Salta; H. Yrigoyen; Alsina; Av. Belgrano; Defensa; Solís; Entre Ríos; Independencia,si,da calles y alturas,si,Z47,13,6,Av. de Mayo 500-1300; H. Yrigoyen 1199-1201; Alsina 420; Perú 86 y 302; Av. Belgrano 599 y 1144; Defensa 695; Solís 475; Av. Callao 248 y 368,"eje con los dos cortes, rango de alturas, «ambas aceras» y los remates uno por uno con su puerta. Es el perímetro escrito más preciso de las 41",,13.77,133,"DE MAYO AV.; CALLAO AV.; PERU; BOLIVAR; LIMA; SALTA; YRIGOYEN, HIPOLITO; ALSINA ADOLFO; BELGRANO AV.; DEFENSA; SOLIS; ENTRE RIOS AV.; INDEPENDENCIA AV."
Z50 · Barracas · Av. Montes de Oca,"**Dónde está.** — y acá hay dos objetos que la primera versión de esta página confundía, medidos ahora por separado. **El corredor documentado** va de Av. Montes de Oca **280 a 1702**, y sale de direcciones sueltas en fuentes de prensa y turismo. Adentro funciona el **Centro Comercial a Cielo Abierto**, entre Benito Quinquela Martín y Av. Martín García. **El contorno medido** es otra cosa y es más chico: **18,02 hectáreas y 62 locales**, sobre el tramo **301 a 999** — 761 metros de avenida. El extremo 280 queda 63 metros afuera y el 1702, a 771 metros. > Esta página publica el contorno y describe el corredor, y no los mezcla. Cuando se cite una > cifra de escala, es la del contorno; cuando se hable del rango 280-1702, es lo que las fuentes > documentan y el contorno todavía no cubre. Decidir si el contorno se amplía al corredor entero > es una decisión de delimitación que no está tomada.",Av. Montes de Oca; Benito Quinquela Martín; Av. Martín García,si,da calles y alturas,si,Z50,3,3,Av. Montes de Oca 280-1702 (el corredor documentado); 301-999 (el contorno),"separa el corredor documentado del contorno medido y da la altura de los dos. La cifra que le pone al contorno no es la del borde publicado, y eso va aparte",el Centro Comercial a Cielo Abierto,50.62,84,"MONTES DE OCA MANUEL AV; QUINQUELA MARTIN, BENITO; GARCIA, MARTIN AV."
"Z51 · Barracas · Iriarte, California y Vieytes","**Dónde está.** Sobre **Av. Iriarte 2100–2300**, con extensión a Vieytes y California. **Sin borde dibujado todavía**: la superficie y la cantidad de locales se publican cuando se cierre.",Av. Iriarte; Vieytes; California,si,da calles y alturas,en parte,Z51,3,3,Av. Iriarte 2100-2300,el tramo de Av. Iriarte va por altura; «con extensión a Vieytes y California» no dice hasta dónde. Y el bloque declara que no hay borde dibujado cuando sí lo hay,,5.83,12,IRIARTE GRAL AV; VIEYTES; CALIFORNIA
Z52 · La Boca · Almirante Brown y Necochea,"**Dónde está.** — y es el más preciso de todo el sur, porque no lo dibujó este atlas. Sale, literal, de una obra pública en curso de **enero de 2026**: > *«el tramo de la calle Necochea y sus intersecciones con la avenida Suárez y la calle Olavarría… > aproximadamente **340 metros lineales**… desde la avenida Suárez y la calle Olavarría, > extendiéndose hasta la avenida Almirante Brown»*",Necochea; Av. Suárez; Olavarría; Av. Almirante Brown,no,da calles sin alturas,en parte,Z52,4,4,,"la cita de la obra pública da el eje, los dos extremos y el largo —340 m—, y con eso se reconstruye el tramo. No el borde adoptado en esta edición, que se extiende sobre Av. Suárez y Olavarría: el bloque nombra las dos calles y no dice hasta dónde va sobre ellas",,16.17,21,"NECOCHEA; SUAREZ; OLAVARRIA; BROWN, ALTE. AV."
Z53 · La Boca · Caminito y Vuelta de Rocha,"**Dónde está.** Entorno de **Caminito y la Vuelta de Rocha**, sobre Av. Don Pedro de Mendoza.",Av. Don Pedro de Mendoza,no,da calles sin alturas,no,Z53,1,1,,"«entorno de» dos referencias, sobre una avenida sin extensión",Caminito; la Vuelta de Rocha,4.15,37,DON PEDRO DE MENDOZA AV.
Z54 · Nueva Pompeya · eje Av. Saenz,"**Dónde está.** Eje **Av. Sáenz**, con núcleo en el **Mercado de Pompeya**, Av. Sáenz 790. **Borde cerrado en esta edición: 39,39 hectáreas y 52 locales**, sobre Av. Sáenz entre el 790 y el 1399. > Y el reparto con Nueva Pompeya y Parque Patricios quedó resuelto midiendo: es exactamente la > segunda pieza de aquel polo, el mismo eje y el mismo objeto. Tiene página propia porque el mercado > la merece, y **su superficie y sus locales no se suman a los de aquél**: ya están contados ahí.",Av. Sáenz,si,da calles y alturas,si,Z54,1,1,Av. Sáenz 790; 790-1399,"eje por altura, con el núcleo en una puerta concreta: «Av. Sáenz entre el 790 y el 1399»",el Mercado de Pompeya,39.39,52,SAENZ AV.
