id_fuente,nombre_mercado_o_evento,categoria,tipo_fuente,titulo_fuente,organismo_o_medio,url_o_estado_url,fecha_publicacion,fecha_consulta,afirmacion_sostenida,campo_que_respalda,nivel_confianza,observacion
FPER-014,Mercado Belgrano,mercado_barrial_alimentario,prensa_con_fecha,Nota sobre Mercado de Belgrano,Clarín,url_no_visible_en_export,2024-10-28,2026-06-24,Apoya la cifra de 37 locales y la oferta de frescos/gastronomía.,cantidad_de_puestos;oferta,C3_prensa_confiable_con_fecha,Cita de apoyo; no reemplaza fuente oficial si aparece.
FPER-015,Mercado San Nicolás,mercado_gastronomico_historico,oficial_gcba,Mercados de la Ciudad,GCBA,url_no_visible_en_export,sin_fecha_visible,2026-06-24,"Horarios: lunes a sábados, 8 a 18 h. Oferta: rotiserías, queserías, carnicerías, pollerías, pescaderías, verdulerías, pulperías y locales de comida.",horarios;oferta,C1_oficial_GCBA_TurismoBA,Perplexity indica coincidencia con ficha oficial de Turismo BA sobre el espacio renovado.
FPER-016,Mercado San Nicolás,mercado_gastronomico_historico,prensa_con_fecha,Nota sobre Mercado de San Nicolás,Cronista,url_no_visible_en_export,2022_aprox,2026-06-24,"Menciona 18 locales/puestos y rubros como verdulería, carnicería, fiambrería, pizzería y cafetería.",cantidad_de_puestos;oferta,C3_prensa_confiable_con_fecha,No se recuperó ficha oficial con ese nivel de desagregación.
FPER-017,Mercado del Progreso,mercado_barrial_alimentario,oficial_turismo,Mercado del Progreso,Turismo BA,url_no_visible_en_export,2013-02-13,2026-06-24,"Menciona 17 negocios a la calle y 174 puestos interiores; oferta: bares, pizzerías, vinotecas, carnicerías, panaderías, pescaderías y otros rubros.",cantidad_de_puestos;oferta,C1_oficial_GCBA_TurismoBA,"Fuente fuerte para cantidad/oferta, pero hay divergencia horaria."
FPER-018,Mercado del Progreso,mercado_barrial_alimentario,oficial_turismo,Mercado del Progreso,Turismo BA,url_no_visible_en_export,sin_fecha_visible_en_extracto,2026-06-24,"Horarios indicados como lunes a sábados, 8 a 14 h, aunque en la misma respuesta se menciona que otra ficha general lo muestra 8 a 18 h.",horarios,C1_oficial_GCBA_TurismoBA,Campo en conflicto: requiere decisión de fuente preferida o dejar divergencia.
FPER-019,Mercado de San Telmo,mercado_gastronomico_historico,sitio_oficial_mercado,Mercado San Telmo - sitio propio,mercadodesantelmo.com.ar,sitio_mencionado_sin_url_completa,sin_fecha_visible,2026-06-24,"Horario del sitio propio: lunes a domingo, 9 a 20 h.",horarios,C2_sitio_oficial_mercado,Diverge con Turismo BA en inglés; priorizable por ser sitio propio pero revisar vigencia.
FPER-020,Mercado de San Telmo,mercado_gastronomico_historico,oficial_turismo,San Telmo market,Turismo BA,url_no_visible_en_export,sin_fecha_visible,2026-06-24,"Turismo BA en inglés publica martes a viernes 10:30 a 19:30 y sábados, domingos y feriados 9 a 20 h.",horarios,C1_oficial_GCBA_TurismoBA,Divergencia con sitio propio.
FPER-021,Feria de San Telmo,fuera_de_alcance_no_gastronomico,fuente_auxiliar,Feria de San Telmo / Feria de San Pedro Telmo,BA-H / Feria de San Pedro Telmo,url_no_visible_en_export,2026-05-02_en_una_fuente,2026-06-24,Se menciona 270 puestos vinculados a antigüedades y objetos de colección; Perplexity aclara que no debe entrar como mercado gastronómico.,exclusion,X_fuera_de_alcance,Sirve para evitar confusión entre Mercado de San Telmo y feria de antigüedades.
FPER-022,Mercat Caballito,food_hall,prensa_con_fecha,Referencia de apertura y horarios,medio_no_especificado_en_export,url_no_visible_en_export,2022-04-05,2026-06-24,"Mención útil sobre apertura/horarios; el caso ya está en la lista, no es omitido.",horarios;antecedente,C3_prensa_confiable_con_fecha,Requiere recuperar título/medio/URL completos antes de usar en informe.
FPER-023,Food Fest 2026,evento_gastronomico_no_mercado,prensa_o_fuente_no_completa,Food Fest 2026,medio_no_especificado_en_export,url_no_visible_en_export,2026-05-13,2026-06-24,"Se presenta como feria gastronómica con puestos y sabores en La Rural, Palermo.",posible_omitido;clasificacion,C3_prensa_confiable_con_fecha,"Es evento/festival temporal, no mercado permanente ni food hall estable. Acción: Mantener como evento gastronómico; no sumar al conteo de mercados activos."
FPER-024,Festival del Sándwich,evento_gastronomico_no_mercado,prensa_o_fuente_no_completa,Festival del Sándwich,medio_no_especificado_en_export,url_no_visible_en_export,2025-06-18,2026-06-24,Más de 300 variedades en 30 puestos en Hipódromo de Palermo.,posible_omitido;clasificacion,C3_prensa_confiable_con_fecha,"Parece festival puntual, no mercado permanente. Acción: Registrar como evento gastronómico si interesa agenda, no mercado."
FPER-025,Sabor a Buenos Aires,evento_gastronomico_no_mercado,prensa_o_fuente_no_completa,Sabor a Buenos Aires,medio_no_especificado_en_export,url_no_visible_en_export,2025-03-27,2026-06-24,Feria gastronómica con más de 50 opciones en Parque Thays / Recoleta.,posible_omitido;clasificacion,C3_prensa_confiable_con_fecha,"Parece feria/evento temporal del calendario, no mercado permanente. Acción: Cruzar con F04/eventos, no sumar como mercado activo."
FPER-026,Mercat Caballito,ya_en_base_no_omitido,prensa_o_fuente_no_completa,Mercat Caballito,medio_no_especificado_en_export,url_no_visible_en_export,2022-04-05,2026-06-24,"Nota sobre segundo piso del shopping de Caballito, apertura y horarios.",posible_omitido;clasificacion,C4_fuente_auxiliar,Ya está en la lista base V1.2; no es omitido. Acción: Usar solo para enriquecer ficha de Mercat Caballito si se recupera fuente completa.
FPER-027,Gourmand Food Hall,posible_food_hall,prensa_o_fuente_no_completa,Gourmand Food Hall,medio_no_especificado_en_export,url_no_visible_en_export,2025-12-13,2026-06-24,"Food hall en Patio Bullrich, Recoleta, con múltiples cocinas.",posible_omitido;clasificacion,C5_pendiente_revision,Está dentro de centro comercial; hay que evaluar si la gastronomía es eje central y si corresponde al alcance. Acción: Prioridad alta de revisión documental y Google; posible omitido pendiente.
FPER-028,Food Fest BA,evento_gastronomico_no_mercado,prensa_o_fuente_no_completa,Food Fest BA,medio_no_especificado_en_export,url_no_visible_en_export,2025-09-13,2026-06-24,Festival de nuevas tendencias gastronómicas en La Rural.,posible_omitido;clasificacion,C3_prensa_confiable_con_fecha,Evento temporal; no mercado estable. Acción: No sumar; cruzar como evento si corresponde.
FPER-029,Mercado Fusión,dudoso_pendiente_revision,prensa_o_fuente_no_completa,Mercado Fusión,medio_no_especificado_en_export,url_no_visible_en_export,2025-04-30,2026-06-24,"Encuentro gastronómico al aire libre en Plaza de las Naciones Unidas, Recoleta.",posible_omitido;clasificacion,C5_pendiente_revision,"Podría ser feria temporal/evento, no mercado permanente; falta verificar continuidad, organización y frecuencia. Acción: Prioridad media-alta de revisión; posible feria/encuentro gastronómico, no sumar todavía."
