polo,evidencia_id,afirmacion,subzona,fuente,organismo,fecha,url,cita_breve,tipo_fuente,fortaleza,uso_permitido,contradiccion,observaciones
Recoleta,REC-R01,Recoleta es el primero y el mas viejo de los polos gastronomicos de Buenos Aires,Recoleta general,Polos gastronomicos,Turismo BA (GCBA),s/d,https://turismo.buenosaires.gob.ar/es/article/polos-gastron%C3%B3micos,Recoleta es el primero y el mas viejo de los polos gastronomicos de Buenos Aires.,institucional_publico,ALTA,existencia_polo_denominacion,No define subzonas,Base institucional central
Recoleta,REC-R02,Unos 150 restaurantes en Recoleta (afirmacion preliminar errada),Recoleta general,Polos gastronomicos,Turismo BA (GCBA),s/d,https://turismo.buenosaires.gob.ar/es/article/polos-gastron%C3%B3micos,Actualmente hay unos 150 restaurantes (parrafo de San Telmo no Recoleta),institucional_publico,N/A,NO_USAR_publicable,CONTENIDO_NO_COINCIDE,ERROR DE ATRIBUCION: la cifra es de San Telmo. Eliminar de textos publicos de Recoleta
Recoleta,REC-R03,Recoleta barrio distinguido con circuito cultural y movida; suma polo gastronomico,Recoleta general,Recoleta: paso a paso las mejores opciones gastronomicas para conocer,La Nacion / Content LAB Recoleta Urban Mall,2019-12-19,https://www.lanacion.com.ar/buenos-aires/recoleta-paso-paso-mejores-opciones-gastronomicas-conocer-nid2311013/,Es el barrio mas distinguido sin dejar por eso de ser trendy,periodistico_comercial_branded,MEDIA_BAJA,caracterizacion_con_advertencia,Independencia baja,No usar como unica fuente de subzona
Recoleta,REC-R04,Polo o epicentro en interseccion Vicente Lopez y Junin,Junin-Vicente Lopez,Recoleta: paso a paso las mejores opciones gastronomicas para conocer,La Nacion / Content LAB,2019-12-19,https://www.lanacion.com.ar/buenos-aires/recoleta-paso-paso-mejores-opciones-gastronomicas-conocer-nid2311013/,ese polo bulle desde la interseccion de Vicente Lopez y Junin,periodistico_comercial_branded,MEDIA,subzona1_nodo_principal,Puede ser mas nodo que subzona amplia,FUENTE_DUPLICADA con R03 R05 R12
Recoleta,REC-R05,Epicentro foodie con cine comercios y estacionamiento en el mall,Recoleta Urban Mall / Junin-Vicente Lopez,Recoleta: paso a paso las mejores opciones gastronomicas para conocer,La Nacion / Content LAB,2019-12-19,https://www.lanacion.com.ar/buenos-aires/recoleta-paso-paso-mejores-opciones-gastronomicas-conocer-nid2311013/,verdadero epicentro foodie se completa con diez salas de cine,periodistico_comercial_branded,MEDIA,caracterizacion_nodo,No confundir mall con barrio completo,Nombre comercial solo como referencia
Recoleta,REC-R06,Corredor gourmet de Recoleta hasta Retiro,Recoleta / borde Retiro,Con 44 propuestas resurge el polo gastronomico de Recoleta,Clarin,2011-06-21,https://www.clarin.com/ciudades/propuestas-resurge-polo-gastronomico-Recoleta_0_ryRu4px6w7e.html,Ya forman un corredor gourmet hasta Retiro.,periodistico,MEDIA,corredor_subzona2_relacion_sectores,Nota antigua 2011; fecha original 2016 incorrecta,Corredor no implica fusion de barrios
Recoleta,REC-R07,Oferta apoyada en lujo hoteles boutique y gastronomia de alta gama,Corredor hotelero,Con 44 propuestas resurge el polo gastronomico de Recoleta,Clarin,2011-06-21,https://www.clarin.com/ciudades/propuestas-resurge-polo-gastronomico-Recoleta_0_ryRu4px6w7e.html,Restaurantes en hoteles boutique lujo cocina de autor,periodistico,MEDIA,caracterizacion_corredor,Puede invisibilizar oferta cotidiana,Misma fuente R06
Recoleta,REC-R08,Desde Callao hacia 9 de Julio se armo un polo con hoteleria restaurantes y cafes,Callao-9 de Julio,Con 44 propuestas resurge el polo gastronomico de Recoleta,Clarin,2011-06-21,https://www.clarin.com/ciudades/propuestas-resurge-polo-gastronomico-Recoleta_0_ryRu4px6w7e.html,desde 2003 hubo un cambio en la zona de Callao hacia la 9 de Julio,periodistico,MEDIA,transicion_no_subzona,Cita de chef; no subpolo formal,Tratar como borde o contexto
Recoleta,REC-R09,Bellas Artes Bar presentado como nuevo polo gastronomico en Recoleta,Bellas Artes / Facultad de Derecho,De Modena a Mercedes Haus: asi es el nuevo polo gastronomico de Recoleta,El Cronista,2021-11-01,https://www.cronista.com/clase/gourmet/de-modena-a-mercedes-haus-asi-es-el-nuevo-polo-gastronomico-de-recoleta/,La Ciudad de Buenos Aires suma un nuevo polo gastronomico en el barrio de Recoleta.,periodistico_comercial,MEDIA_BAJA,nodo_no_subzona,Riesgo de sobredimensionar un predio,Fecha original 02 incorrecta; parcial paywall
Recoleta,REC-R10,Complejo con tres espacios: bar take away y cafeteria,Bellas Artes Bar,De Modena a Mercedes Haus: asi es el nuevo polo gastronomico de Recoleta,El Cronista,2021-11-01,https://www.cronista.com/clase/gourmet/de-modena-a-mercedes-haus-asi-es-el-nuevo-polo-gastronomico-de-recoleta/,La Ferneteria Bar Trapizzino Shop y Colette Caffetteria,periodistico_comercial,BAJA_territorial,caracterizacion_nodo,Mas comercial que territorial,No usar como nombre institucional de subzona
Recoleta,REC-R11,Corredor se extiende hasta la Recova de la calle Posadas,Alvear-Posadas,Con 44 propuestas resurge el polo gastronomico de Recoleta,Clarin,2011-06-21,https://www.clarin.com/ciudades/propuestas-resurge-polo-gastronomico-Recoleta_0_ryRu4px6w7e.html,corredor que se extiende hasta la Recova de la calle Posadas,periodistico,MEDIA,subzona2_referencia,Patio Bullrich no citado explicitamente en cuerpo verificado,Usar Posadas como ancla descriptiva
Recoleta,REC-R12,Recoleta deslumbra a cualquier hora del dia,Recoleta general,Recoleta: paso a paso las mejores opciones gastronomicas para conocer,La Nacion / Content LAB,2019-12-19,https://www.lanacion.com.ar/buenos-aires/recoleta-paso-paso-mejores-opciones-gastronomicas-conocer-nid2311013/,La Recoleta deslumbra a cualquier hora del dia,periodistico_comercial_branded,BAJA_MEDIA,narrativa_amplia,Sin precision espacial fina,FUENTE_DUPLICADA R03
Costanera Norte,CN-01,Costanera Norte concentra restaurantes clasicos y carritos frente al rio,Polo general,Costanera Norte,Turismo BA,s/d,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/costanera-norte,imposible perderse de comer en los carritos de la costanera,institucional_publico,ALTA,existencia_polo_identidad,No fija poligono fino,Aeroparque a medio camino del relato
Costanera Norte,CN-02,Patio Costanera Norte con puestos containers y oferta gastronomica,Patio containers,Patio Costanera Norte,Turismo BA,s/d,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/patio-costanera-norte,cinco puestos/containers que ofrecen una amplia oferta gastronomica,institucional_publico,ALTA,componente3_nodo,Hito puntual no corredor completo,Direccion Obligado 7010 en ficha
Costanera Norte,CN-03,GCBA reconoce patio gastronomico en Costanera Norte,Patio containers,Patio Costanera Norte,GCBA Desarrollo Gastronomico,s/d,https://buenosaires.gob.ar/gcaba_historico/desarrolloeconomico/gastronomia/patio-costanera-norte,Ficha institucional de patio gastronomico a metros del rio,institucional_publico,ALTA,componente3_denominacion,CMS puede variar,Cruzar con Turismo BA
Costanera Norte,CN-04,Ley 5961 crea Distrito Joven Costanera Norte y autoriza concesiones hasta 10 anos,Distrito Joven / componente1,Ley 5961,Legislatura CABA / Boletin Oficial,2018-05-17,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/413838,otorgar en concesion el uso y la explotacion por un plazo de hasta diez anos,institucional_legal,ALTA,marco_multipartes_concesiones,No es ley de polo gastronomico per se,Anexos: https://documentosboletinoficial.buenosaires.gob.ar/publico/PL-LEY-LCABA-LCBA-5961-18-ANX.pdf
Costanera Norte,CN-05,Integracion paisajistica con Parque de la Memoria y Parque Natural Ciudad Universitaria,Vacios / transicion,Ley 5961 art.5,Legislatura CABA,2018-05-17,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/413838,integracion paisajistica con el Parque de la Memoria y el Parque Natural de Ciudad Universitaria,institucional_legal,ALTA,explicacion_vacios,Parques no son gastronomia densa,Parte estructural de discontinuidad
Costanera Norte,CN-06,Autoriza modificacion de traza Obligado por cabecera norte Aeroparque,Aeroparque / vacios,Ley 5961 art.11,Legislatura CABA,2018-05-17,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/413838,ampliacion de la cabecera Norte del Aeroparque Jorge Newbery,institucional_legal,ALTA,explicacion_vacios_infraestructura,Fragmenta la franja costera,No afirmar impacto gastronomico cuantitativo sin espacial
Costanera Norte,CN-07,Regularizacion de carritos en Costanera Norte; comodato; acto frente Aeroparque,Carritos / componente2,Macri presento 13 nuevos carritos e inauguro un paseo en Costanera Norte,Infobae / GCBA,2013-08-26,https://www.infobae.com/2013/08/26/1504482-macri-presento-13-nuevos-carritos-e-inauguro-un-paseo-costanera-norte/,Hemos regularizado todos los carritos; canon por la explotacion,periodistico_institucional,ALTA,componente2_regularizacion,13 carritos es hito 2013 no censo actual,Parrilla a gas; impuestos y canon
Costanera Norte,CN-08,Carritos Norte y Sur regularizados; pertenecen al GCBA; comodato 5 anos; gas,Carritos CN,De los carritos a los foodtrucks,Clarin / AGC,2017-06-30,https://www.clarin.com/ciudades/carritos-foodtrucks-evolucion-comida-vende-calle_0_BygTJBV4-.html,Los carritos pertenecen al Gobierno de la Ciudad que los cede en comodato por cinco anos,periodistico,ALTA,tipologia_administrativa_subregistro,Distingue carrito fijo de foodtruck movil,Clave metodologica para padrones
Costanera Norte,CN-09,Origen historico: carritos en Madero y Costanera Sur; luego Costanera Norte,Historia,Los tentadores carritos de la Costanera,Tango y Milonga,2016-05-18,https://www.tangoymilonga.com.ar/noticias2016/carritos_de_la_costanera.html,Anos despues los vendedores moviles se instalaron en la Costanera Norte,divulgacion_historica,MEDIA,historia_carritos,No es fuente academica primaria,Encoding antiguo en pagina
Costanera Norte,CN-10,Postergan desalojos de carritos en Costanera Norte,Carritos,Postergan desalojos en los carritos de la Costanera Norte,La Nacion,1997-10-08,https://www.lanacion.com.ar/sociedad/postergan-desalojos-en-los-carritos-de-la-costanera-norte-nid78338/,Titulo: postergan desalojos en los carritos de la Costanera Norte,periodistico,MEDIA,historia_permanencia,Paywall probable cuerpo,Conflicto por espacio publico
Costanera Norte,CN-11,Transformacion reciente: pocos carritos; nuevas concesiones y salones en Sector 1,Componente1 Distrito Joven,La nueva Costanera Norte: quienes son los nuevos duenos de los restaurantes,Clarin,2026-01-04,https://www.clarin.com/ciudades/nueva-costanera-norte-nuevos-duenos-restaurantes-zona-polemicas-historicas-concesiones_0_DZJOpwemv1.html,quedan pocos puestos de choripan; se lleno de nuevas concesiones,periodistico,ALTA,componente1_transformacion,Nombres comerciales solo ancla no denominacion,Autor Malena Nazareth Martos
Costanera Norte,CN-12,Sector 1 destinado a aspecto gastronomico recreativo cultural y de esparcimiento,Componente1,La nueva Costanera Norte,Clarin,2026-01-04,https://www.clarin.com/ciudades/nueva-costanera-norte-nuevos-duenos-restaurantes-zona-polemicas-historicas-concesiones_0_DZJOpwemv1.html,primer sector se destino al aspecto gastronomico recreativo cultural y de esparcimiento,periodistico,MEDIA_ALTA,caracterizacion_sector,No sustituye anexos legales de sectores,Cruzar con Ley 5961 anexos
Costanera Norte,CN-13,Masterplan Distrito Joven: esparcimiento deportes cultura y gastronomia; ha a concesionar,Distrito Joven,Como es el proyecto Distrito Joven,Observatorio AMBA / El Auditor,2022-03,https://observatorioamba.org/noticias-y-agenda/noticia/cmo-es-el-proyecto-distrito-joven,lugares de esparcimiento deportes actividades culturales y gastronomicas,secundaria_seguimiento,MEDIA,escala_distrito,No es Boletin Oficial,Util para contexto
Costanera Norte,CN-14,Costa Salguero: pliego contempla locales gastronomicos entre usos,Componente4 Costa Salguero,Dos importantes grupos se disputan la concesion del centro Costa Salguero,iProfesional,2025-11-03,https://www.iprofesional.com/negocios/441019-dos-importantes-grupos-se-disputan-la-concesion-del-centro-costa-salguero,locales gastronomicos como restaurantes pizzerias grill bares cafes,periodistico,MEDIA,componente4_potencial,Potencial no igual a oferta permanente densa,Predio de eventos y usos mixtos
Costanera Norte,CN-15,Registro fotografico historico de carrito en la Costanera,Historia visual,Carrito Odulio en la Costanera,Buenos Aires Historia,s/d,https://buenosaireshistoria.org/fotografias/carrito-odulio-en-la-costanera/,Imagen historica de carrito de Costanera,archivo_historico,MEDIA,memoria_material,No delimita subzona,Asociacion Civil Rumbo Sur
Costanera Norte,CN-16,Costanera Sur regulariza puestos a gas; proceso paralelo al Norte,Comparacion Costanera Sur,En Costanera Sur ahora el choripan se hace en parrillas a gas,Clarin,2014-08-15,https://www.clarin.com/ciudades/carritos-costanera-sur-gas_0_Byse6v9qPXe.html,como sucedio el ano pasado en Costanera Norte,periodistico,MEDIA,diferenciacion_Norte_Sur,No fusionar polos,Sur = Reserva / Puerto Madero
