polo_id,nombre_propuesto,nombre_en_ficha,nombre_mapa,nivel_del_nombre,fuente_del_nombre,marca_ficha,verificar_contenencia_normativa,nota,n_locales,barrios,comunas,calles_dominantes
P106,Barrio Norte · Av. Pueyrredón y Av. Santa Fe,Barrio Norte · Av. Pueyrredón y Av. Santa Fe,Barrio Norte,3,uso corriente muy establecido; no es barrio oficial,,no,,198,Recoleta (145); Balvanera (53),2; 3,Pueyrredon (30); Santa Fe (12); Paso (7); Cordoba (7); Ecuador (6); Larrea (5)
P053,Av. La Plata y Av. Pedro Goyena,Av. La Plata y Av. Pedro Goyena°,,4,denominacion de trabajo,°,no,,196,Caballito (119); Boedo (58); Parque Chacabuco (17); Almagro (2),5; 6; 7,La Plata (19); Pedro Goyena (19); Directorio (11); Carlos Calvo (6); San Juan (5); Doblas (5)
P027,Distrito Tecnológico (Parque Patricios),Distrito Tecnológico (Parque Patricios),Distrito Tecnológico,1,"Ley 2972/2008, prorrogada por Ley 6392/2020",,si,Av. Chiclana esta en el perimetro y Av. Caseros es el eje comercial interno. VERIFICAR contenencia punto a poligono antes de fijar el nombre.,189,Parque Patricios (130); Nueva Pompeya (37); Boedo (22),4; 5,Caseros (31); Chiclana (8); La Rioja (7); Almafuerte (6); Zavaleta (4); Patagones (4)
P116,Microcentro,Microcentro,Microcentro,3,uso corriente,,no,"NO confundir con 'Area Centrica', que es la Ley 6.508/2022 y tiene otro perimetro, mas grande.",187,San Nicolas (187),1,Sarmiento (21); Corrientes (16); Suipacha (12); Carlos Pellegrini (12); Esmeralda (11); Tucuman (7)
P063,Av. Gaona y Ángel Gallardo (Caballito y Villa Crespo),Av. Gaona y Ángel Gallardo (Caballito y Villa Crespo)°,,4,denominacion de trabajo,°,no,,182,Caballito (123); Villa Crespo (59),6; 15,San Martin (13); Gaona (12); Angel Gallardo (11); Diaz Velez (10); Leopoldo Marechal (7); Honorio Pueyrredon (6)
P048,Colegiales · Av. Álvarez Thomas y Elcano,Colegiales · Av. Álvarez Thomas y Elcano°,,4,denominacion de trabajo,°,no,,171,Colegiales (134); Villa Ortuzar (28); Chacarita (9),13; 15,Elcano (19); Capitan Ramon Freire (12); Alvarez Thomas (11); Zapiola (7); Virrey Aviles (4)
P111,Avenida de Mayo · tramo Plaza de Mayo,Avenida de Mayo · tramo Plaza de Mayo,Avenida de Mayo,3,la avenida es oficial; el entorno esta bajo Area de Proteccion Historica,,no,"Cafe Tortoni, London City y Los 36 Billares.",170,Monserrat (154); San Nicolas (16),1,De Mayo (21); Hipolito Yrigoyen (9); Rivadavia (8); Bolivar (4); Piedras (3); Peru (3)
P093,Abasto,Abasto,Abasto,2,programa oficial del Ministerio de Cultura (Abasto Barrio Cultural) y circuito de Turismo BA,,no,"Av. Corrientes, Jean Jaures (Casa Carlos Gardel) y Agüero.",169,Balvanera (169),3,Corrientes (20); Aguero (7); Jean Jaures (7); Lavalle (6); Pueyrredon (6); Sarmiento (5)
P043,La Isla (La Paternal),La Isla (La Paternal),La Isla,3,uso corriente en alza,,no,"Triangulo Av. Warnes, Av. San Martín y Av. Juan B. Justo. DESAMBIGUAR de La Isla de Recoleta. Parcialmente dentro del Distrito Audiovisual.",161,Villa Gral. Mitre (61); Villa Crespo (47); Paternal (37); Caballito (16),6; 11; 15,San Martin (20); Juan B Justo (11); Donato Alvarez (6); Juan Bautista Justo (5); Camarones (4); Darwin (4)
P082,Abasto · Humahuaca y Guardia Vieja,Abasto · Humahuaca y Guardia Vieja,,2,tramos definidos por el programa Abasto Barrio Cultural,,no,"Humahuaca entre Agüero y Billinghurst, y Guardia Vieja entre Bustamante y Bulnes: coincide.",160,Almagro (160),5,Corrientes (16); Guardia Vieja (9); Lavalle (8); Billinghurst (7); Humahuaca (6); Medrano (5)
P068,Polo gastronómico Chacarita,Polo gastronómico Chacarita,Chacarita,2,ficha propia en Turismo BA,,no,Av. Jorge Newbery es el epicentro que citan las fuentes; Santos Dumont y Federico Lacroze la expansion. NO usar 'Bajo Chacarita': no esta atestiguado.,156,Chacarita (136); Colegiales (20),13; 15,Federico Lacroze (16); Jorge Newbery (13); Olleros (8); Santos Dumont (6); Alvarez Thomas (6); Cordoba (6)
P076,Palermo · Bustamante y Mario Bravo,Palermo · Bustamante y Mario Bravo°,,4,denominacion de trabajo,°,no,,156,Recoleta (81); Palermo (72); Almagro (3),2; 5; 14,Sanchez De Bustamante (9); Mario Bravo (9); Billinghurst (8); Diaz (8); Paraguay (6); Guise (6)
P045,DoHo (Donado-Holmberg) · tramo sur,DoHo (Donado-Holmberg) · tramo sur,DoHo,3,uso corriente; el barrio-parque si es un proyecto normado sobre la traza de la ex AU3,,no,Donado de Echeverría a La Pampa.,147,Villa Ortuzar (78); Parque Chas (39); Villa Urquiza (30),12; 15,Donado (13); De Los Incas (13); Alvarez Thomas (9); Triunvirato (9); Holmberg (6); La Pampa (3)
P072-6,Barrio Chino,Barrio Chino,Barrio Chino,2,"obra publica del GCBA, arco de acceso y ficha en Turismo BA",,no,"Arribeños entre Juramento y Olazabal, y Mendoza entre Montañeses y las vias: coincide con el perimetro de la obra.",146,Belgrano (146),13,Arribenos (10); Olazabal (6); Mendoza (4); 11 De Septiembre (3); Montaneses (2); Monroe (2)
P037,Centro comercial de Av. Cuenca (Villa del Parque),Centro comercial de Av. Cuenca (Villa del Parque),Av. Cuenca,3,uso corriente,,no,Cuenca entre Simbron y Tinogasta; shopping de Cuenca con patio gastronómico.,142,Villa Del Parque (142),11,Nogoya (11); Cuenca (9); Tinogasta (8); Nazca (8); Marcos Sastre (7); Melincue (6)
P004,Av. Eva Perón entre Escalada y Castañares,Av. Eva Perón entre Escalada y Castañares°,,4,denominacion de trabajo,°,no,"Cruza Villa Lugano, Parque Avellaneda y Mataderos: es un corredor, no un polo compacto.",141,Villa Lugano (64); Parque Avellaneda (58); Mataderos (19),8; 9,Eva Peron (28); Escalada (7); San Juan (6); Castanares (5); Miralla (4); Olivera (3)
P118,Retiro · Esmeralda y Paraguay,Retiro · Esmeralda y Paraguay°,,4,denominacion de trabajo,°,no,"Denominacion descriptiva de dos calles: ninguna fuente usa 'Esmeralda-Paraguay' como microzona. Se declara como denominacion de trabajo, no como nombre de uso corriente.",136,Retiro (114); San Nicolas (22),1,Suipacha (12); Esmeralda (11); Marcelo T De Alvear (10); Paraguay (9); Cordoba (5); Florida (4)
P117,Microcentro · Florida y Galerías Pacífico,Microcentro · Florida y Galerías Pacífico,Florida,3,uso corriente,,no,,131,San Nicolas (131),1,Lavalle (15); Viamonte (13); Maipu (12); San Martin (8); Galerias Pacifico (8); Reconquista (5)
P101+P099,Congreso,Congreso,Congreso,3,uso corriente,,no,"Entorno de Plaza del Congreso: Rivadavia, Entre Ríos e Hipolito Yrigoyen.",130,Balvanera (100); Monserrat (30),1; 3,Rivadavia (21); Entre Rios (8); Hipolito Yrigoyen (7); Belgrano (5); Solis (5); Combate De Los Pozos (5)
P062,San Juan y Boedo,San Juan y Boedo,San Juan y Boedo,2,"Esquina Homero Manzi declarada Sitio Histórico Nacional; el GCBA promociona 'Boedo, barrio de tango'",,no,Av. Boedo entre Independencia y Caseros. Cafe Margot (notable) en Av. Boedo 857.,129,Boedo (77); Almagro (47); Balvanera (5),3; 5,Boedo (16); Belgrano (10); Colombres (7); San Juan (6); Carlos Calvo (5); Maza (5)
P108,Monserrat · Av. Belgrano y Perú,Monserrat · Av. Belgrano y Perú°,,4,denominacion de trabajo,°,no,,129,Monserrat (129),1,Belgrano (14); Jose Maria Moreno (11); Moreno (9); Balcarce (4); Julio A Roca (4); Peru (4)
P052,Villa Santa Rita · Av. Cuenca y Morón,Villa Santa Rita · Av. Cuenca y Morón°,,4,denominacion de trabajo,°,no,,124,Floresta (61); Flores (56); Villa Santa Rita (7),7; 10; 11,Moron (14); Felipe Vallese (6); Cuenca (5); Ruperto Godoy (4); San Nicolas (4); Campana (4)
P051,Constitución,Constitución°,,4,denominacion de trabajo,°,no,Constitución no tiene ninguna microzona gastronomica con nombre de uso corriente.,123,Constitucion (123),1,Salta (14); Constitucion (9); Lima (8); Juan De Garay (8); Brasil (7); O'Brien (5)
P104,Alto Palermo,Alto Palermo,Alto Palermo,3,uso corriente,,no,"Entorno del shopping sobre Santa Fe, entre Coronel Díaz, Bulnes y Charcas.",121,Recoleta (93); Palermo (28),2; 14,Billinghurst (9); Juncal (7); French (6); Alto Palermo Shopping (6); Sanchez De Bustamante (5); Diaz (4)
P084,Almagro · Av. Rivadavia y Medrano,Almagro · Av. Rivadavia y Medrano°,,4,denominacion de trabajo,°,no,,119,Balvanera (64); Almagro (55),3; 5,Rivadavia (35); Hipolito Yrigoyen (7); La Rioja (3); 24 De Noviembre (3); Medrano (2); Urquiza (2)
P030,Puerto Madero · diques 2 y 3,Puerto Madero · diques 2 y 3,Puerto Madero,2,la numeracion de diques es portuaria oficial y la usa Turismo BA,,no,"Olga Cossettini (dique 3) y Rosario Vera Peñaloza (dique 2). El Mercado (Faena), 50 Best #27.",117,Puerto Madero (117),1,Olga Cossettini (16); Juana Manso (11); Pierina Dealessi (6); Boulevard Rosario Vera Penaloza (5); Aime Paine (4); Petrona Eyle (3)
P100,Avenida de Mayo · tramo Congreso,Avenida de Mayo · tramo Congreso,,3,idem,,no,,116,Monserrat (92); San Nicolas (24),1,De Mayo (12); Rivadavia (7); Hipolito Yrigoyen (7); San Jose (6); Luis Saenz Pena (5); Salta (5)
P098,Recoleta · Plaza Francia,Recoleta · Plaza Francia,Recoleta,3,uso corriente,,no,"Junín, Azcuenaga, Vicente Lopez y Las Heras: entorno del Cementerio y Plaza Francia.",115,Recoleta (115),2,Azcuenaga (10); Vicente Lopez (10); Uriburu Jose E (4); Las Heras (4); Guido (3); Junin (3)
P110,Barrio Norte · Av. Santa Fe y Av. Callao,Barrio Norte · Av. Santa Fe y Av. Callao,,3,idem,,no,,112,Recoleta (112),2,Rodriguez Pena (13); Riobamba (11); Santa Fe (8); Marcelo T De Alvear (7); Arenales (6); Juncal (4)
P017,Av. Emilio Castro (Liniers y Mataderos),Av. Emilio Castro (Liniers y Mataderos)°,,4,denominacion de trabajo,°,no,,108,Liniers (74); Mataderos (34),9,Emilio Castro (18); Lisandro De La Torre (7); Montiel (4); Acassuso (3); Palmar (2); Timoteo Gordillo (2)
P016,Plaza Arenales (Devoto gastronómico),Plaza Arenales (Devoto gastronómico),Plaza Arenales,3,uso corriente fuerte,,si,"Fernández de Enciso, Nueva York y Chivilcoy: coincide. Se superpone parcialmente con el Distrito del Vino (Ley 6447): VERIFICAR.",105,Villa Devoto (105),11,Chivilcoy (9); Nueva York (8); Mercedes (6); Fernandez De Enciso (5); Asuncion (4); Lincoln (3)
P057,Caballito · Av. La Plata y Av. Rivadavia,Caballito · Av. La Plata y Av. Rivadavia°,,4,denominacion de trabajo,°,no,,105,Caballito (77); Almagro (28),5; 6,La Plata (19); Rivadavia (17); Guayaquil (5); Rosario (5); Doblas (3); Otamendi (1)
P032,Caminito y Vuelta de Rocha,Caminito y Vuelta de Rocha,Caminito,2,'calle museo' de facto; fichas propias en Turismo BA; Lugar Histórico Nacional,,si,"Garibaldi, Magallanes y Del Valle Iberlucea. Cae dentro del Distrito de las Artes (Ley 4353): verificar.",105,La Boca (105),4,Gregorio Araoz De Lamadrid (9); Brandsen (6); Valle Iberlucea (5); Olavarria (4); Garibaldi (4); Magallanes (3)
P090+P089,Palermo · eje Av. Santa Fe,Palermo · eje Av. Santa Fe°,,4,denominacion de trabajo,°,no,Franja NE de Palermo Viejo entre Guatemala y Santa Fe. Thames y Borges llegan hasta aca pero el nucleo de Soho es P091.,104,Palermo (104),14,Thames (8); Paraguay (7); Charcas (6); Jorge Luis Borges (6); Soler (6); Santa Fe (6)
P024,Av. Sáenz (Nueva Pompeya),Av. Sáenz (Nueva Pompeya),Av. Sáenz,3,uso corriente debil: la gente dice 'Sáenz' o 'Pompeya',,no,No existe nombre propio de microzona gastronomica en Pompeya. Dos toponimos vivos de esquina: La Blanqueada (Sáenz y Rabanal) y Esquina de los Poetas (Centenera y Tabare).,103,Nueva Pompeya (103),4,Saenz (31); Beazley (6); Almafuerte (4); Echauri (3); Ventura De La Vega (2); Lynch (2)
P005,Av. Larrazábal y Av. Riestra (Villa Lugano),Av. Larrazábal y Av. Riestra (Villa Lugano),Lugano,3,"uso corriente debil: 'Larrazábal' o 'el centro de Lugano' son nombres de calle, no de zona",,si,Candidato a Distrito del Deporte (Ley 5235). VERIFICAR.,100,Villa Lugano (100),8,Murguiondo (10); Riestra (6); Argentina (5); Larrazabal (4); Somellera (3); Delfin Gallo (3)
P038,Av. San Martín (Villa del Parque y Devoto),Av. San Martín (Villa del Parque y Devoto)°,,4,denominacion de trabajo,°,si,Candidato a Distrito del Vino. VERIFICAR.,96,Villa Devoto (40); Agronomia (22); Villa Del Parque (19); Villa Pueyrredon (15),11; 12; 15,San Martin (21); Cuenca (6); Francisco Beiro (4); Helguera (4); Salvador Maria Del Carril (4); Pareja (2)
P020,Polo gastronómico de Villa Luro,Polo gastronómico de Villa Luro,Villa Luro,3,uso corriente,,no,"Entorno de Plaza Ejercito de los Andes (Rivadavia, Corvalan) y Ramón L. Falcón.",94,Villa Luro (93); Liniers (1),9; 10,Rivadavia (22); Corvalan (4); Ramon L Falcon (4); Lope De Vega (3); Basualdo (3); Guardia Nacional (2)
P022,Saavedra · Av. Ricardo Balbín,Saavedra · Av. Ricardo Balbín°,,4,denominacion de trabajo,°,no,,93,Saavedra (83); Coghlan (10),12,Ricardo Balbin (8); Doctor Ricardo Balbin (6); Nunez (3); Melian (3); Crisologo Larralde (3); Washington (3)
P003,Villa Riachuelo · Av. Gral. Paz y Chilavert,Villa Riachuelo · Av. Gral. Paz y Chilavert°,,4,denominacion de trabajo,°,si,Candidato a Distrito del Deporte (Ley 5235). VERIFICAR.,91,Villa Riachuelo (87); Villa Lugano (4),8,Martiniano Chilavert (15); Guamini (8); F Fernandez De La Cruz (5); Canada De Gomez (5); Montiel (3); Lisandro De La Torre (2)
P012,Mataderos · Av. Juan B. Alberdi,Mataderos · Av. Juan B. Alberdi°,,4,denominacion de trabajo,°,no,,90,Mataderos (90),9,Juan Bautista Alberdi (25); Larrazabal (5); Bragado (3); Pieres (3); Lisandro De La Torre (2); Martiniano Leguizamon (2)
P107,Balvanera · Junín y Pasteur,Balvanera · Junín y Pasteur°,,4,denominacion de trabajo,°,no,,86,Balvanera (67); Recoleta (19),2; 3,Cordoba (16); Junin (9); Pasteur (5); Viamonte (5); Tucuman (4); Azcuenaga (1)
P092,Villa Freud,Villa Freud,Villa Freud,3,uso corriente · Turismo BA lo menciona,,no,"Bulevar Charcas entre Coronel Díaz y Salguero, entorno de Plaza Güemes.",79,Palermo (79),14,Charcas (8); Paraguay (7); Araoz (7); Medrano (3); Raul Scalabrini Ortiz (3); Jeronimo Salguero (2)
P088,Palermo · Gascón y Honduras,Palermo · Gascón y Honduras°,,4,denominacion de trabajo,°,no,"Al sur de Scalabrini Ortiz, fuera de Palermo Viejo. NO usar 'Palermo Queens': ese nombre es un invento inmobiliario y ademas cae en Villa Crespo.",76,Palermo (76),14,Gascon (7); Honduras (7); Gorriti (7); Lavalleja (4); Julian Alvarez (4); Jose A Cabrera (3)
P081,Villa Crespo · Aguirre y Scalabrini Ortiz,Villa Crespo · Aguirre y Scalabrini Ortiz°,,4,denominacion de trabajo,°,no,,74,Villa Crespo (74),15,Aguirre (10); Raul Scalabrini Ortiz (9); Juan Ramirez De Velasco (8); Malabia (6); Acevedo (1)
P018-2,Villa Real · Av. Francisco Beiró y Lope de Vega,Villa Real · Av. Francisco Beiró y Lope de Vega°,,4,denominacion de trabajo,°,no,,73,Villa Real (50); Villa Devoto (23),10; 11,Francisco Beiro (16); Lope De Vega (6); Ramon Lista (3); Virgilio (3); Cortina (1); Rivera Y Martin Ugarte (1)
P072-7,Barrancas de Belgrano,Barrancas de Belgrano,Barrancas de Belgrano,3,uso corriente; la plaza es oficial,,no,"11 de Septiembre, Virrey Vertiz, Juramento y La Pampa.",68,Belgrano (68),13,Echeverria (6); Montaneses (5); Juramento (2); Virrey Vertiz (2); Del Libertador (1)
P002,Villa Soldati · Av. Fernández de la Cruz y Mariano Acosta,Villa Soldati · Av. Fernández de la Cruz y Mariano Acosta°,,4,denominacion de trabajo,°,si,Candidato a Distrito del Deporte (Ley 5235): Av. Fernández de la Cruz esta en el perimetro. VERIFICAR.,68,Villa Soldati (68),8,Lafuente (6); Francisco Fernandez De La Cruz (6); Mariano Acosta (4); Francisco Rabanal (3); Pedro I Rivera (2)
P026,Av. Caseros · tramo Parque Patricios,Av. Caseros · tramo Parque Patricios°,,4,denominacion de trabajo,°,si,Puede caer dentro del Distrito Tecnológico: verificar.,67,Parque Patricios (31); Constitucion (20); Barracas (15); San Cristobal (1),1; 3; 4,Entre Rios (8); Caseros (7); Perdriel (5); Solis (4); Finochietto Enrique (2); Combate De Los Pozos (2)
P079,Villa Crespo · Estado de Israel y Ángel Gallardo,Villa Crespo · Estado de Israel y Ángel Gallardo°,,4,denominacion de trabajo,°,no,,66,Villa Crespo (43); Almagro (14); Caballito (9),5; 6; 15,Estado De Israel (9); Angel Gallardo (8); Corrientes (6); Juan Ramirez De Velasco (4); Ramos Mejia (2); Aguirre (2)
P112,San Nicolás · Uruguay y Paraná,San Nicolás · Uruguay y Paraná°,,4,denominacion de trabajo,°,no,,66,San Nicolas (53); Recoleta (8); Retiro (5),1; 2,Parana (11); Uruguay (9); Viamonte (6); Tucuman (6); Cordoba (2); Paraguay (2)
P115,Retiro · Reconquista y San Martín,Retiro · Reconquista y San Martín°,,4,denominacion de trabajo,°,no,Es el clúster real de Retiro y NO tiene nombre consensuado en ninguna fuente.,65,Retiro (65),1,Reconquista (12); Marcelo T De Alvear (7); Paraguay (3); Tres Sargentos (3); San Martin (3); Leandro N Alem (1)
P066,Av. Montes de Oca,Av. Montes de Oca,Av. Montes de Oca,3,uso corriente como corredor comercial,,no,El Progreso (bar notable) en Montes de Oca 1700.,65,Barracas (65),4,Suarez (11); Montes De Oca (11); Uspallata (2); Aristobulo Del Valle (2); Martin Garcia (2)
P014,Bajo Flores · Av. Eva Perón y Varela,Bajo Flores · Av. Eva Perón y Varela,Bajo Flores,3,uso corriente muy consolidado,,no,"Comercios y comedores bolivianos, peruanos y paraguayos.",64,Flores (49); Parque Avellaneda (15),7; 9,Eva Peron (15); Varela (12); Enrique Martinez (1); Martinez Castro (1); Portela (1); San Pedrito (1)
P114,Tribunales,Tribunales,Tribunales,3,uso corriente,,no,"Libertad, Talcahuano, Lavalle y Cerrito, entorno de Plaza Lavalle y el Teatro Colon.",64,San Nicolas (64),1,Corrientes (5); Cerrito (4); Roque Saenz Pena (4); Lavalle (3); Talcahuano (3); Libertad (2)
P072-2,Colegiales · Av. Cabildo y Federico Lacroze,Colegiales · Av. Cabildo y Federico Lacroze°,,4,denominacion de trabajo,°,no,,63,Colegiales (38); Palermo (25),13; 14,Federico Lacroze (16); Cabildo (6); Amenabar (4); 3 De Febrero (3); Zapata (1); Ciudad De La Paz (1)
P018-1,Villa Devoto · Av. Francisco Beiró,Villa Devoto · Av. Francisco Beiró°,,4,denominacion de trabajo,°,si,Candidato a Distrito del Vino. VERIFICAR.,62,Villa Devoto (62),11,Francisco Beiro (11); Jose Pedro Varela (6); Quevedo (2); Simbron (2); Desaguadero (1); Ramon Lista (1)
P044,San Cristóbal · Av. San Juan,San Cristóbal · Av. San Juan°,,4,denominacion de trabajo,°,no,'Barrio de los Turcos' aparece en una sola fuente barrial debil: no usar sin verificar.,62,San Cristobal (62),3,San Juan (21); Urquiza (3); La Rioja (3); Entre Rios (1); Dean Funes (1); Alberti (1)
P075,Chacarita · Av. Dorrego y Bonpland,Chacarita · Av. Dorrego y Bonpland°,,4,denominacion de trabajo,°,no,,61,Chacarita (59); Villa Crespo (2),15,Dorrego (10); Bonpland (9); Corrientes (3); Juan Ramirez De Velasco (3); Aguirre (2); Fraga (2)
P042,Floresta · Av. Rivadavia y Segurola,Floresta · Av. Rivadavia y Segurola°,,4,denominacion de trabajo,°,no,,61,Velez Sarsfield (53); Floresta (8),10,Rivadavia (20); Segurola (3); Carrasco (2); Dip Nac Osvaldo E Benedetti (1); Olivera (1); Bolanos (1)
P028,Villa Pueyrredón · Av. Mosconi y Av. Nazca,Villa Pueyrredón · Av. Mosconi y Av. Nazca°,,4,denominacion de trabajo,°,no,,60,Villa Pueyrredon (60),12,Mosconi (18); E Mosconi (6); Nazca (5); Gabriela Mistral (2); Jose Gervasio Artigas (2); Jose G Artigas (1)
P041,Floresta · Av. Rivadavia y Venancio Flores,Floresta · Av. Rivadavia y Venancio Flores°,,4,denominacion de trabajo,°,no,,60,Floresta (53); Flores (7),7; 10,Rivadavia (14); Venancio Flores (4); Bacacay (2); Cuenca (2); Portela (1); Pergamino (1)
P077,Polo gastronómico Villa Crespo,Polo gastronómico Villa Crespo,Villa Crespo,2,ficha propia en Turismo BA,,no,"Thames, Gurruchaga y Ramirez de Velazco (Velasco) son los tres ejes que cita Turismo BA. Mercat Villa Crespo, Thames 747.",60,Villa Crespo (60),15,Serrano (6); Aguirre (4); Loyola (4); Thames (4); Ramirez De Velazco (4); Gurruchaga (2)
P074,Villa Crespo · eje Av. Corrientes,Villa Crespo · eje Av. Corrientes°,,4,denominacion de trabajo,°,no,,58,Villa Crespo (58),15,Corrientes (17); Serrano (3); Camargo (3); Acevedo (2); Juan B Justo (2); Gurruchaga (1)
P087,Palermo Pacífico,Palermo Pacífico,Palermo Pacífico,3,uso corriente,,no,"Godoy Cruz, Santa Fe y Juan B. Justo: entorno del Puente Pacífico y Distrito Arcos.",56,Palermo (56),14,Godoy Cruz (8); Santa Fe (3); Beruti (2); Fray Justo Santamaria De Oro (2); Fray Justo Santa Maria De Oro (2); Juan Bautista Justo (2)
P061,Flores · Av. Rivadavia y Varela,Flores · Av. Rivadavia y Varela°,,4,denominacion de trabajo,°,no,,54,Flores (54),7,Jose Gervasio Artigas (5); Yerbal (4); Varela (3); Ramon L Falcon (3); Rivadavia (3); Jose G Artigas (3)
P040,Villa Santa Rita · Av. Nazca y Álvarez Jonte,Villa Santa Rita · Av. Nazca y Álvarez Jonte°,,4,denominacion de trabajo,°,no,,54,Villa Santa Rita (36); Villa Del Parque (18),11,Nazca (19); Alvarez Jonte (3); Adolfo P Carranza (2); Abasto De Bs As (1); Elpidio Gonzalez (1); San Blas (1)
P086,Eje Av. Córdoba · Almagro y Palermo,Eje Av. Córdoba · Almagro y Palermo°,,4,denominacion de trabajo,°,no,,54,Palermo (30); Almagro (13); Villa Crespo (11),5; 14; 15,Cordoba (15); Gascon (4); Medrano (3); Francisco Acuna De Figueroa (3); Estado De Palestina (3); Lavalle (1)
P097,Recoleta · Av. Pueyrredón y Junín,Recoleta · Av. Pueyrredón y Junín°,,4,denominacion de trabajo,°,no,,53,Recoleta (53),2,Pena (6); Larrea (4); Junin (4); French (3); Azcuenaga (3); Uriburu Jose E (2)
P047,Caballito · Av. Avellaneda y Neuquén,Caballito · Av. Avellaneda y Neuquén°,,4,denominacion de trabajo,°,no,,53,Caballito (53),6,Neuquen (5); Avellaneda (5); Juan F Aranguren (2); Mendez De Andes (2); Doctor Juan F Aranguren (2); Martin De Gainza (1)
P085,Balvanera · Av. Entre Ríos e Independencia,Balvanera · Av. Entre Ríos e Independencia°,,4,denominacion de trabajo,°,no,,53,Balvanera (21); Monserrat (15); Constitucion (10); San Cristobal (7),1; 3,Entre Rios (14); Independencia (12); Solis (3); Combate De Los Pozos (3); Chile (2)
