polo_id,nombre_ficha,origen,comunas,barrios,estado,n_vias,morfologia,perimetro_textual,anclaje_normativo,via_A,via_B,via_C,via_D,via_E,via_F,via_E_texto_publicable,n_grupos_E,n_locales,ha,hitos_conocidos,alerta_de_vigencia,nota_de_delimitacion,decisiones_aplicadas,que_falta_para_la_ficha
R11,Boulevard Caseros,referencia publicada,4,Barracas / San Telmo,PUBLICADO,3,corredor,"Av. Caseros entre Defensa y Bolivar. UNA CUADRA, maximo hasta Peru. NO llega a Montes de Oca.",sin anclaje normativo gastronomico,no abre,abre,no abre,no abre,ABRE (DEBIL POR ANTIGUEDAD),abre,La Nacion (2017) y El Cronista (2021) describen la cuadra de Av. Caseros entre Defensa y Bolivar como polo gastronomico. Apertura debil por antiguedad.,2,60,50.03,Britanico (Bar Notable),"Ninguna nota zonal de prensa nacional posterior a 2021, buscado por cinco rutas.",CORRECCION MIA YA APLICADA: yo habia puesto la extension como 'Defensa a Av. Montes de Oca'. Ninguna fuente lo sostiene: son una o dos cuadras.,,"Verificar el Britanico, que es el unico hito. La via A no abre: 60 locales en 50 ha."
R12,Centro / Microcentro segmentado,referencia publicada,1,"San Nicolas, Monserrat",PUBLICADO,2,area segmentada,"Perimetro vigente. SE PISA CON Z47 MONSERRAT, que ahora entra por si solo.",APH1 en parte,abre,abre,no abre,no abre,NO ABRE,no abre,no corresponde: la via no abre,1 (e4),1084,184.12,"36 Billares (Av. de Mayo 1265/71, VERIFICADO ABIERTO v3 04/07/2026) · Cafe Tortoni (Av. de Mayo 825, VERIFICADO ABIERTO v3 26/05/2026) · Confiteria Saint Moritz · Bar Bidou · Claridge's · THE NEW BRIGHTON (Sarmiento 645) EN QUIEBRA DESDE EL 18/03/2026 · LA IDEAL (Suipacha 384)","THE NEW BRIGHTON EN QUIEBRA Y SIGUE EN EL CATALOGO, orden 88 del consolidado firmado el 03/08/2026.","LA ZONA CON MAS MASA GASTRONOMICA DE LA CIUDAD Y SIN RECONOCIMIENTO EXTERNO. La cobertura 2025-2026 es de vacancia, quiebras y reconversion. Y SE SUPERPONE CON MONSERRAT: hay que decidir el reparto.",10 (Monserrat entra),DECISION DE DELIMITACION PENDIENTE: como se reparten R12 y Z47 los notables de Av. de Mayo.
R13,Abasto,referencia publicada,3 y 5,"Balvanera, Almagro",PUBLICADO,4,nucleo compacto,Perimetro vigente. Contiene el enclave E01 Corredor Peruano.,NINGUNO. 'Corredor Peruano' NO es normativo: es una placa vecinal-consular del 02/06/2012.,abre,abre,no abre,"ABRE (E01, recien medible)",NO ABRE,abre,no corresponde: la via no abre,0,373,109.0,"El Simbolo (Av. Corrientes 3787, VERIFICADO ABIERTO v2 07/08/2026) · El Banderin (Guardia Vieja 3601, VERIFICADO ABIERTO v3 16/06/2026) · Roma del Abasto (ANCHORENA 806, no 'San Luis 3101': ese dato era mio y estaba inventado)",Los dos notables verificados esta semana.,"E01 CORREDOR PERUANO: eje primario Aguero entre Av. Corrientes y Valentin Gomez, altura 400-450; ejes secundarios Jean Jaures 600 y Pasaje Zelaya. LA CUADRA 400 ESTA EN RECAMBIO ASIATICO desde 2024: la delimitacion de 2012 y la de hoy describen realidades distintas. SOLAPE CON Z37 ALMAGRO a depurar.",,"Depurar el solape con Almagro: La Reina Kunti, Lupo, Los Trujillanitos y Roma del Abasto caen en zona de borde."
R14,Avenida Boedo,referencia publicada,5,Boedo,PUBLICADO,3,corredor,"Eje Av. Boedo. Envolvente actual: 245 locales, 179 ha.",sin anclaje normativo gastronomico,abre,abre,no abre,no abre,NO ABRE,abre,no corresponde: la via no abre,0,245,179.46,Esquina Homero Manzi (Av. San Juan 3601) EN RIESGO · Cafe Margot (Boedo 857) · San Antonio (Av. Juan de Garay 3602 esq. Av. Boedo),"ESQUINA HOMERO MANZI EN RIESGO: condena laboral de $220 millones. El administrador: 'es impagable hoy en dia'. Cubierto por Infobae, Pagina/12, La Nacion y Canal 26 en mayo de 2026. MARCAR en_riesgo CON FECHA Y REVISAR A 90 DIAS.","CORRECCION MIA: yo habia dicho que Boedo tenia 'cero senal de concentracion'. Era falso, por una sonda mal apuntada: conte locales sobre la calle Boedo (17) cuando la envolvente tiene 245.",,Verificar Cafe Margot y San Antonio.
R15,Devoto,referencia publicada,11,Villa Devoto,PUBLICADO,4,nucleo compacto,Perimetro vigente. Nucleo en Plaza Arenales.,sin anclaje normativo gastronomico,abre,abre,no abre,no abre,ABRE,abre,"La Nacion (2025), Time Out (2025) y El Cronista tratan a Villa Devoto y Plaza Arenales como polo gastronomico y distrito del vino.",3,422,478.74,"Cafe de Garcia (Av. Beiro) · Stylo Cafe (Fernandez de Enciso 3934, dentro de la Gran Galeria Devoto, contenedor OPERATIVO, nota de canal26 del 07/03/2026)",Cafe de Garcia sin reverificar.,"ES LA ZONA CON LA COBERTURA EXTERNA MAS FRESCA Y MAS INTERNACIONAL DE LAS 22, junto con la franja Chacarita-Colegiales. Time Out la ubico sexta entre los barrios mas cool de America Latina en 2025.",,Verificar Cafe de Garcia.
R16,Donado-Holmberg,referencia publicada,12,Villa Urquiza / Belgrano R,PUBLICADO,3,corredor,Donado y Holmberg entre Echeverria y La Pampa.,corredor de la ex AU3 (expedientes de adjudicacion no publicos),abre,NO ABRE,no abre,no abre,ABRE,abre,"Cuatro grupos independientes tratan al corredor Donado-Holmberg como polo gastronomico: La Nacion, Infobae, El Cronista y Time Out.",4,121,119.0,NINGUNO. via_B_nombres vacio.,"Dos de los cuatro grupos son de 2017-2018 y sus listados de locales quedan dudosos en bloque: Cimino R (Donado 1919), Vespress (1720), Cigalo (Holmberg 2004), Chicama (Donado 1995), El Bohemio (Donado 1802).",ES LA ZONA CON MAS GRUPOS DE VIA E (4) Y CERO HITOS DE VIA B. Absorbe el flanco oeste de Belgrano R.,9,Verificar los cinco locales de 2017-2018. Es la zona que mas depende de evidencia envejecida.
R17,Villa Urquiza,referencia publicada,12,Villa Urquiza,PUBLICADO,3,sistema de subpolos,"Av. Triunvirato, Av. Monroe, Plaza Echeverria.",sin anclaje normativo gastronomico,abre,abre,no abre,no abre,ABRE (EL CASO MAS FRAGIL),no abre,"La Nacion (2025) trata a Villa Urquiza como barrio foodie. FRAGIL: dos de los tres grupos describen en realidad el corredor DoHo, que es R16.",2,528,446.62,Cafe de la U,Cafe de la U sin verificar.,"SI SE EXIGIERA que la evidencia recaiga sobre el eje Triunvirato-Monroe y no sobre DoHo, quedaria UN SOLO GRUPO Y LA VIA NO ABRIRIA. Decision 9: se mantiene con delimitacion nominal y se anota la fragilidad EN LA FICHA.",9,"La nota de fragilidad tiene que ir en la ficha publicada, no solo en la matriz."
R19,Federico Lacroze,referencia publicada,15 y 13,"Chacarita, Colegiales",PUBLICADO · SE AMPLIA,4,corredor,"SE AMPLIA POR DECISION 6: al entorno de Fraga, Dorrego, Charlone, Jorge Newbery y Plaza Los Andes. El perimetro nuevo tiene que CONTENER al viejo.",sin anclaje normativo gastronomico,abre,abre,no abre,no abre,ABRE,abre,"The New York Times (2024) y Time Out (2026) tratan la franja Chacarita-Colegiales como distrito gastronomico. El reconocimiento recae sobre Fraga y Dorrego, NO sobre Av. Federico Lacroze.",5,185,89.49,"Bar Conde (Av. Federico Lacroze 3193, EN FUNCIONAMIENTO DESDE 1902, primer Notable de la Comuna 13, ALTA 2026)","Bar Conde verificado abierto al 29/07/2026, cinco dias antes de su declaracion.",ES LA ZONA CON MAS GRUPOS DE VIA E DE LAS 22 (5). Y el desajuste de eje mas claro: cinco grupos hablan de Fraga y Dorrego y el poligono mide Lacroze.,6 (ampliacion),Medir locales antes y despues de la ampliacion y verificar la contencion del poligono viejo.
R20,Garcia del Rio,referencia publicada,12,Saavedra,PUBLICADO · SE REVISA EL CORTE,2,corredor,SE REVISA POR DECISION 7: el boulevard va de Av. Cabildo a Av. Balbin.,sin anclaje normativo gastronomico,no abre,NO ABRE,no abre,no abre,ABRE,abre,"La Nacion (2021, 2025 y 2026) e Infobae (2023) tratan al boulevard de Av. Garcia del Rio, entre Cabildo y Balbin, como polo gastronomico de Saavedra.",2,61,28.38,NINGUNO en la capa.,Marte figura en Crisologo Larralde 277 (2025) y 2772 (2026): UNA DE LAS DOS DIRECCIONES ESTA MAL. No cargar sin verificar.,"EL CASO QUE MAS CONTRADICE LA MEDICION: abre solo via F en la grilla y tiene la cobertura documental mas insistente y mas fresca de las 22, con tres reporteos de campo distintos de La Nacion. Si la medicion no ve lo que cuatro relevamientos describen, el problema esta en donde se corto el corredor.",7 (revision del corte),Es la zona que mas puede cambiar con la ampliacion. Medir antes y despues.
R21,La Paternal,referencia publicada,15,La Paternal,PUBLICADO · SE AMPLIA,3,sucesion de centralidades,"SE AMPLIA POR DECISION 8: hacia Belaustegui, Remedios de Escalada de San Martin, Paz Soldan, Rojas, Avalos, Espinosa y Terrero, hacia el limite con Villa Crespo.",sin anclaje normativo gastronomico,abre,abre,no abre,no abre,ABRE,no abre,La Nacion (2024) describe el circuito gastronomico de Paternal en expansion y Time Out (2026) lo nombra.,2,208,321.01,MN Santa Ines,Sin verificar.,DESAJUSTE DE EJE: la matriz la define por Av. San Martin y Av. Warnes; ni La Nacion ni Time Out mencionan esas avenidas.,8 (ampliacion),Medir antes y despues.
R22,Villa Pueyrredon,referencia publicada,12,Villa Pueyrredon,PUBLICADO,1,sucesion de centralidades,Perimetro vigente. Av. San Martin.,sin anclaje normativo gastronomico,"abre (198 locales, continuidad 5,6 %)",NO ABRE,no abre,no abre,NO ABRE,no abre,no corresponde: la via no abre,0,198,305.55,NINGUNO.,ninguna: no hay hitos.,"ABRE UNA SOLA VIA, LA A, Y CON 5,6 % DE CONTINUIDAD. Es la referencia mas debil de las 22. NO se declara puerta cerrada en su via E: la ausencia de evidencia externa ES el resultado, no una laguna.",,"Decision de el equipo: se publica igual por la regla de que las 22 se mantienen, o se revisa."
Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,zona nueva,7 (con borde en 10 y 11),"Flores, borde de Floresta y Villa Santa Rita",ENTRA,5,sistema de subpolos,Corredor Av. Avellaneda entre Nazca y Cuenca/Bahia Blanca + nucleo peatonal Pasaje Ruperto Godoy 700-800 + racimo Felipe Vallese 3100.,"ninguno. 'Corea Soho' es etiqueta periodistica de La Nacion (2020), sin respaldo normativo.",abre,NO ABRE (polo joven: el mas antiguo tiene 34 anos),abre (patio de comidas de hecho),ABRE (E04 coreana + E06 judia sefardi),ABRE,abre,Guias y prensa nacional tratan el eje Av. Avellaneda-Ruperto Godoy como destino coreano de la Ciudad: La Nacion lo bautizo 'Corea Soho' (2020) y lo describio como patio de comidas a cielo abierto (2023); Time Out lo mapea (2024).,6,,,"ONCE LOCALES CON ALTURA DE PUERTA EN DOS CUADRAS: Barthale (Ruperto Godoy 712), Bulmat (731), Karaoke W (761), Pan Moa (763), Dashimaki (770), Maum (Felipe Vallese 3135), Makarios (3130), Pulperia Norte (3123), Yugane (Paez 3063), Shabu Shabu 153 (Paez 3154), Ichiban. MAS 12 kosher del padron 2015: American Kosher (Av. Avellaneda 2701), Kosher City (2395), Matok (2433), Behar (Campana 349), Soultani (Cuenca 515), Nacca (Argerich 843), Hamra (Aranguren 3192), y otros.","DOS FRENTES. Vacancia en Av. Avellaneda +30 % (Camara Argentina de Comercio, iProfesional 22/05/2026). Rotacion alta: Ruperto Godoy 733 fue Maum (2020, 2023) y Maniko (2024). Y el padron kosher es de 2015: los 12 quedan dudosos en bloque.","DECISION 17 APLICADA: el enclave cruza TRES BARRIOS Y TRES COMUNAS — Av. Avellaneda 3069 es Flores (C7), Cuenca 954 es Villa Santa Rita (C11), Campana 685 es Floresta (C10). SE DELIMITA POR EL CLUSTER. Va a la edicion tecnica como caso de prueba de la definicion.","14, 17",Es la evidencia de continuidad mas densa de todo el relevamiento. Falta verificar vigencia de los once.
Z27,Villa Santa Rita,zona nueva,11,Villa Santa Rita,ENTRA,2,sucesion de centralidades,"Puntos dispersos con anclaje en Av. Alvarez Jonte, que es el LIMITE sur/oeste del barrio y no su columna interior.",El Tokio: Sitio de Interes Cultural (2009),"NO ABRE (seis locales dispersos en diez cuadras es un conjunto, no una densidad)",abre,no abre,sin evidencia,ABRE,no abre,"Time Out dedico en junio de 2025 una guia al barrio como destino, con seis paradas direccionadas; la reapertura de El Tokio (1930) tuvo cobertura de Infobae, C5N y canal26.",3,,,"El Tokio (Av. Alvarez Jonte 3550 esq. Pasaje Tokio, abierto el 23/04/1930, Bar Notable + Sitio de Interes Cultural, VERIFICADO ABIERTO 05/08/2026) · Bar Don Juan (Camarones 2702, mas de 100 anos, VERIFICADO ABIERTO v2 07/08/2026) · El Sol de Galicia (LUIS VIALE 2867, desde 1957, VERIFICADO ABIERTO v2 07/08/2026) · Heladeria Agust (Magarinos Cervantes 3400) · Argot (Alvarez Jonte 2744) · A Raja Cincha (Cuenca 1299)",EL TOKIO CERRO EN 2023 Y REABRIO EN 2025: es el precedente Los Laureles invertido y prueba que el listado de Notables no acredita apertura NI cierre.,"CORRECCIONES DE PREMISA: Av. San Martin NO limita ni atraviesa Villa Santa Rita. Y EL SOL DE GALICIA VA EN LUIS VIALE 2867, no 2881: prevalece el sitio oficial. Ademas NO figura en el catalogo de Notables: es churreria y pasteleria.",20,Tres establecimientos con mas de 50 anos VIVOS: el conjunto de trayectoria mas denso del oeste.
Z28,Monte Castro,zona nueva,10,Monte Castro,PENDIENTE · MEJORA,3,corredor,"Av. Alvarez Jonte aproximadamente entre el 4400 y el 5299, con nodo en el cruce con Av. Lope de Vega.","El Fortin: Sitio de Interes Cultural, Res. 667/2006 CPPHC (ficha id=124) + Pizzeria Emblematica APyCE 26/08/2025",abre (fuente de nivel bajo: agregador),ABRE Y SE REFUERZA,NO ABRE (caia la FIAB por decision 1),sin evidencia,NO ABRE,abre,no corresponde: la via no abre,0,,,"Pizzeria El Fortin (Av. Alvarez Jonte 5299 esq. Av. Lope de Vega, VERIFICADO ABIERTO v3 09/05/2026) · CAFE OLIMPO (Irigoyen 1491 esq. Arregui, Bar Notable, desde 1950, VERIFICADO ABIERTO v2 07/08/2026) · Casa Madrilia (Av. Alvarez Jonte 4702, verificado abierto) · Ay Miranda, La Renaciente, La Media Costilla (de 2016, sin verificar)","La Media Costilla figura con dos direcciones: Bahia Blanca 2300 (2016) y Arregui 4000 (hoy). O se mudo, o una esta mal.","CAFE OLIMPO PASA A MONTE CASTRO. El anexo lo asienta en Villa Luro, pero el callejero reparte Irigoyen por altura: Villa Luro termina en el 1299 y el 1301-1799 impar es Monte Castro. USIG sobre el punto: Monte Castro, Comuna 10. La comuna del anexo era correcta; el barrio no. ESO REFUERZA LA VIA B DE MONTE CASTRO Y SE LA SACA A VILLA LURO.",1 (la FIAB no abre C),"Con la continuidad verificada sobre Alvarez Jonte 4400-5300, pasa a ENTRA sin dificultad."
Z31,Villa Luro,zona nueva,10,Villa Luro,ENTRA · SE DEBILITA,3,nucleo compacto con derrame lineal,"Bulevar Ramon L. Falcon 5400-5800, entre Albarinos y Escalada, mas Av. Rivadavia 10100-10400. Es la delimitacion mas nitida del oeste, fijada con numeracion por prensa nacional.",sin anclaje normativo,abre,PIERDE LA VIA B,no abre,no abre,ABRE,abre,Prensa nacional y especializada trata al eje como polo gastronomico consolidado. La Nacion lo compara con Palermo Hollywood (2023); Canal 26 lo describe como uno de los mayores polos gastronomicos de la Ciudad (2025).,2,,,"NINGUNO. Cafe Olimpo, que era su unico Notable, RESULTO ESTAR EN MONTE CASTRO — y ademas queda a 1.532 m del poligono PGR_P020.","MEDIA-ALTA: seis locales nombrados con direccion en marzo de 2023 y solo uno reverificado despues (Casa Tonica, Av. Rivadavia 10101). Alma y Fuego (Rivadavia 10399) figuraba como 'proximo a abrir' en 2023 y nunca se confirmo que abriera.","PIERDE SU UNICO HITO POR DOS MOTIVOS SEPARADOS: el hito no esta en Villa Luro, y aunque lo estuviera queda a 1.532 m del poligono. Entra igual por A, E y F.",,Es el caso mas expuesto de los que entran: su evidencia es de 2023 y el rasgo que la prensa celebra es que los locales son NUEVOS.
Z32,Liniers,zona nueva,9,Liniers,ENTRA,4,nucleo compacto,"EJE: Jose Leon Suarez entre Ramon Falcon y Ventura Bosch, ~285 m medidos (284,0 segun el repo, ~300 segun Ciocoletto 2019). Transversales: Ramon Falcon, Ibarrola y Ventura Bosch. NO ES UN CUADRANTE: es un eje con transversales. Y NO ES MONTIEL.",ninguno,abre,NO ABRE (cero Bares Notables en Liniers),abre (Mercado Andino),ABRE (E07 boliviana),ABRE,no abre,Prensa gastronomica en ingles trata al Mercado Andino como destino para cualquier cocinero o amante de las especias en Buenos Aires.,2,,,"Salteneria El Conejo (Jose Leon Suarez 216, NO 'Salchicheria') · Pollo Broaster (Ibarrola 7239) · Restaurante Miriam (Ibarrola 7184) · Pollo Copacabana (Ibarrola 7276 y 7291) · Rico Pollo (Ibarrola 7193) · JAMUY (Jose Leon Suarez al 100)","CERO ESTABLECIMIENTOS VERIFICADOS EN 2024-2026. Las cinco alturas siguen siendo de 2016. Y el saldo del Plan de Puesta en Valor de 2018, que desalojo vendedores ambulantes, no esta medido por nadie.","ENTRA SIN UN SOLO BAR NOTABLE: es la mejor prueba de que las seis vias son puertas alternativas y no requisitos. LA GASTRONOMIA ESTA EN IBARROLA, no en Ramon Falcon: cinco de las seis alturas estan sobre Ibarrola, cero sobre Falcon, y las dos calles estan a 149 m. La convergencia con el IDECBA es de AREA, no de puerta — lo que si se sostiene es que el tramo del IDECBA tiene 189 locales/km contra 58 en el resto de la calle.",,"Desde mediados de los anos 80, gatillado por el cierre del Mercado de Frutas y Verduras (1984) y de la Feria (1986)."
