orden_prioridad,nombre,barrio,polo_id,polo_nombre,hitos_reconocidos_en_polo,criterio_prioridad,estado_previo,nivel_previo,dias_desde_verificacion_previa,resultado,nivel_resultante,fecha_nueva,fuente_nueva,observaciones,es_de_los_42
21,EL GATO NEGRO,San Nicolas,R02,Avenida Corrientes,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://buenosaires.gob.ar/sites/default/files/2025-10/DBA%20701%20WEB_0.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
22,LA ACADEMIA,San Nicolas,R02,Avenida Corrientes,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,417,abierto_a_fecha_fuente,v2,2025-11-08,https://buenosaires.gob.ar/noticias/charlas-en-los-bares-notables-de-la-ciudad,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
23,LA BIELA,Recoleta,R06,Recoleta,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2024-11-02,https://buenosaires.gob.ar/sites/default/files/2024-10/Suplemento%20semanal%20Descubrir%20BA%20%E2%80%A2%2031%20de%20octubre%20al%206%20de%20noviembre%20de%202024%20%E2%80%A2.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
24,LA GIRALDA,San Nicolas,R02;R12,Avenida Corrientes;Centro y Microcentro,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://buenosaires.gob.ar/sites/default/files/2025-10/DBA%20701%20WEB_0.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
25,LA OPERA,San Nicolas,R02,Avenida Corrientes,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://turismo.buenosaires.gob.ar/es/article/la-noche-de-los-bares-notables,Programación turística oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
26,LOS GALGOS,San Nicolas,R02,Avenida Corrientes,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,8,abierto_a_fecha_fuente,v2,2025-10-16,https://turismo.buenosaires.gob.ar/es/article/la-noche-de-los-bares-notables,Programación turística oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
27,PETIT COLON,San Nicolas,R02;R12,Avenida Corrientes;Centro y Microcentro,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó una pieza pública individual y fechada que supere el estándar previo. La ausencia de evidencia no se interpreta como cierre.,no
28,BARBARO BAR,Retiro,Z46,Retiro,11,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://buenosaires.gob.ar/sites/default/files/2025-10/DBA%20701%20WEB_0.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
29,CONFITERIA SAINT MORITZ,Retiro,R12;Z46,Centro y Microcentro;Retiro,11,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-11-08,https://buenosaires.gob.ar/noticias/charlas-en-los-bares-notables-de-la-ciudad,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
30,JOSEPHINA'S CAFE,Recoleta,Z46,Retiro,11,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://turismo.buenosaires.gob.ar/es/article/la-noche-de-los-bares-notables,Programación turística oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
31,BAR BIDOU,San Nicolas,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó una pieza pública individual y fechada que supere el estándar previo. La ausencia de evidencia no se interpreta como cierre.,no
32,CLARIDGE'S BAR,San Nicolas,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-05-30,https://bairessecreta.com/en/this-may-you-can-enjoy-live-tango-for-free-at-5-iconic-notable-bars-in-buenos-aires/,Agenda pública fechada con actividad en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
33,CONFITERIA LA IDEAL,San Nicolas,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2024-11-02,https://buenosaires.gob.ar/sites/default/files/2024-10/Suplemento%20semanal%20Descubrir%20BA%20%E2%80%A2%2031%20de%20octubre%20al%206%20de%20noviembre%20de%202024%20%E2%80%A2.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
34,LE CARAVELLE,San Nicolas,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-07-14,https://www.canal26.com/turismo/2026/07/14/el-bar-escondido-de-buenos-aires-que-parece-detenido-en-los-anos-60-y-sirve-un-capuchino-legendario/,Pieza periodística fechada y centrada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
35,PAULIN,San Nicolas,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://turismo.buenosaires.gob.ar/es/article/la-noche-de-los-bares-notables,Programación turística oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
36,BAR PLAZA DORREGO,San Telmo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-07-23,https://buenosaires.gob.ar/gcaba_historico/noticias/borges-vuelve-los-bares-notables,Itinerario cultural oficial fechado con parada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
37,BAR QUINTINO,Boedo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2024-11-02,https://buenosaires.gob.ar/sites/default/files/2024-10/Suplemento%20semanal%20Descubrir%20BA%20%E2%80%A2%2031%20de%20octubre%20al%206%20de%20noviembre%20de%202024%20%E2%80%A2.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
38,BAR SUR,San Telmo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://buenosaires.gob.ar/sites/default/files/2025-10/DBA%20701%20WEB_0.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
39,BAR VIA 71,San Nicolas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2024-11-02,https://buenosaires.gob.ar/sites/default/files/2024-10/Suplemento%20semanal%20Descubrir%20BA%20%E2%80%A2%2031%20de%20octubre%20al%206%20de%20noviembre%20de%202024%20%E2%80%A2.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
40,BOSTON CITY,San Nicolas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó una pieza pública individual y fechada que supere el estándar previo. La ausencia de evidencia no se interpreta como cierre.,no
41,CAFE CORTAZAR,Palermo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://turismo.buenosaires.gob.ar/es/article/la-noche-de-los-bares-notables,Programación turística oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
42,CAFE RIVAS,San Telmo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-02-06,https://www.eltrecetv.com.ar/cucinare/2026/02/06/reabrio-cafe-rivas-volver-sin-empezar-de-cero/,Pieza periodística fechada que documenta la reapertura. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
43,CAFE TABAC,Recoleta,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-03-03,https://bairesparatodos.com.ar/cafe-tabac-la-nueva-meca-del-levante-en-buenos-aires/,Pieza periodística fechada y centrada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
44,CAFE THIBON,San Nicolas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-05-31,https://www.usal.edu.ar/best/beneficios/,Beneficio operativo público y fechado para consumos en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
45,CLASICA Y MODERNA,San Nicolas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-07-16,https://clasicaymoderna.com.ar/,Sitio del establecimiento con actividad fechada. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
46,EL COLECCIONISTA,Caballito,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó una pieza pública individual y fechada que supere el estándar previo. La ausencia de evidencia no se interpreta como cierre.,no
47,EL HIPOPOTAMO,San Telmo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://buenosaires.gob.ar/sites/default/files/2025-10/DBA%20701%20WEB_0.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
48,HOTEL SAVOY / BAR IMPERIO,San Nicolas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-05-30,https://bairessecreta.com/en/this-may-you-can-enjoy-live-tango-for-free-at-5-iconic-notable-bars-in-buenos-aires/,Agenda pública fechada con actividad en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
49,LA POESIA,San Telmo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://turismo.buenosaires.gob.ar/es/article/la-noche-de-los-bares-notables,Programación turística oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
50,MAR AZUL,San Nicolas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2024-11-02,https://buenosaires.gob.ar/sites/default/files/2024-10/Programaci%C3%B3n_0.pdf,Programación oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
51,MIRAMAR,San Cristobal,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-07-01,https://www.diariodecultura.com.ar/costumbres-y-tendencias/los-bares-portenos-mas-elegidos-para-peliculas-y-publicidades-tradicion-identidad-y-un-pasado-que-vuelve/,Pieza periodística fechada y centrada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
52,MONTECARLO BAR Y DESPENSA,Palermo,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-02-14,https://static.buenosaires.gob.ar/sites/default/files/2026-02/DBA%20715%20WEB.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
53,OCHO ESQUINAS,Chacarita,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://turismo.buenosaires.gob.ar/es/article/la-noche-de-los-bares-notables,Programación turística oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
54,PLAZA CAFE,Caballito,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-09-27,https://www.restaurants10.com/AR/Buenos-Aires/197281274342342/PLAZA-CAFE---Caballito,Publicación fechada del canal del establecimiento reproducida en un espejo público. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
