polo,evidencia_id,fuente_id,afirmacion,componente_o_subzona,titulo,organismo_o_medio,fecha,url,estado_url,cita_breve,tipo_fuente,fortaleza,clasificacion,uso_permitido,contradicciones,observaciones
Belgrano,BEL-E13,F-MALEVA-BR,Belgrano R renovado; movida gastronomica; polito entre comillas,Belgrano R,BELGRANO R CON R DE RICO Y RENOVADO,MALEVA,2018-03-19,https://malevamag.com/2018/03/19/belgrano-r-con-r-de-rico-y-renovado-las-cinco-nuevas-propuestas-que-tenes-que-conocer-por-dolores-ugarte-del-rio/,ACTIVA,se empezo a gestar una movida gastronomica; nuevo polito gastronomico,gastronomico_especializado,MEDIA,EVIDENCIA,caracterizacion,Oferta dispersa; desactualizada 2018,Autora Dolores Ugarte del Rio; no elevar a subpolo principal
Belgrano,BEL-E14,F-LN-COCINAS,Cocinas del mundo concentradas en pocas cuadras en Belgrano,Belgrano / microsector,Cocinas del mundo: el barrio que ofrece platos de diversos paises en unas pocas cuadras,La Nacion,2025-01-20,https://www.lanacion.com.ar/sabado/el-nuevo-belgrano-la-gastronomia-del-mundo-se-da-cita-en-unas-pocas-cuadras-nid20012025/,PAYWALL,el barrio que ofrece platos de diversos paises en unas pocas cuadras,periodistico,MEDIA,EVIDENCIA,caracterizacion,Paywall; precision espacial no leida en cuerpo,Fecha corregida (original 2025-02-03 incorrecta)
Belgrano,BEL-INF01,REGISTRO-INTEGRADO-V1,Belgrano funciona como polo general multipolar aunque no figura en el listado oficial de Turismo BA; la inclusion es definicion de trabajo,Belgrano general,Inferencia del analista sobre BEL-E01/E02 + prensa BEL-E03/E14,DataGastro / DGDGAS,2026-07-11,NO_APLICA,NO_APLICA,La inclusion de Belgrano se apoya en prensa verificada identidad barrial y contraste espacial,inferencia_analista,MEDIA,INFERENCIA,metodologia,Ausencia en listado oficial vs tratamiento de polo,Explicar una vez en metodo; no repetir en cada parrafo
Belgrano,BEL-DEC01,REGISTRO-INTEGRADO-V1,Un unico Polo Gastronomico Belgrano con centralidad principal + eje Cabildo-Juramento + subpolo Bajo Belgrano + sector secundario Belgrano R; no son cuatro poligonos equivalentes,Estructura interna,Decision de Diego 2026-07-11 (coherente con DEC-04),DGDGAS,2026-07-11,NO_APLICA,NO_APLICA,Belgrano R solo se promueve a subpolo si la evidencia espacial lo justifica,decision_institucional,N/A,DECISION_INSTITUCIONAL,nombre; relacion_territorial; texto_publico,,Nombres definitivos de nucleos diferidos (DH-05); repeticion tecnica autorizada (DEC-04)
Recoleta,REC-R01,F-TB-POLOS,Recoleta es el primero y el mas viejo de los polos gastronomicos de Buenos Aires,Recoleta general,Polos gastronomicos,Turismo BA (GCBA),s/d,https://turismo.buenosaires.gob.ar/es/article/polos-gastron%C3%B3micos,ACTIVA,Recoleta es el primero y el mas viejo de los polos gastronomicos de Buenos Aires.,institucional_publico,ALTA,EVIDENCIA,nombre; texto_publico,No define subzonas,Base institucional central
Recoleta,REC-R02,F-TB-POLOS,Unos 150 restaurantes en Recoleta (afirmacion preliminar RECHAZADA),Recoleta general,Polos gastronomicos,Turismo BA (GCBA),s/d,https://turismo.buenosaires.gob.ar/es/article/polos-gastron%C3%B3micos,ACTIVA,Actualmente hay unos 150 restaurantes (parrafo de San Telmo no Recoleta),institucional_publico,RECHAZADA,EVIDENCIA,solo_uso_interno,CONTENIDO_NO_COINCIDE,ERROR DE ATRIBUCION: la cifra corresponde a San Telmo en la fuente institucional. NO usar para Recoleta. Se conserva como correccion documental trazable (descarte D01; contradiccion X01)
Recoleta,REC-R03,F-LN-RECO,Recoleta barrio distinguido con circuito cultural y movida; suma polo gastronomico,Recoleta general,Recoleta: paso a paso las mejores opciones gastronomicas para conocer,La Nacion / Content LAB Recoleta Urban Mall,2019-12-19,https://www.lanacion.com.ar/buenos-aires/recoleta-paso-paso-mejores-opciones-gastronomicas-conocer-nid2311013/,ACTIVA,Es el barrio mas distinguido sin dejar por eso de ser trendy,periodistico_comercial_branded,MEDIA_BAJA,EVIDENCIA,caracterizacion,Independencia baja (branded),No usar como unica fuente de subzona; fecha corregida (original 18 incorrecta)
Recoleta,REC-R04,F-LN-RECO,Polo o epicentro en interseccion Vicente Lopez y Junin,Junin-Vicente Lopez,Recoleta: paso a paso las mejores opciones gastronomicas para conocer,La Nacion / Content LAB,2019-12-19,https://www.lanacion.com.ar/buenos-aires/recoleta-paso-paso-mejores-opciones-gastronomicas-conocer-nid2311013/,ACTIVA,ese polo bulle desde la interseccion de Vicente Lopez y Junin,periodistico_comercial_branded,MEDIA,EVIDENCIA,relacion_territorial; delimitacion_orientativa,Puede ser mas nodo que subzona amplia,FUENTE_DUPLICADA con R03 R05 R12; branded: no apta como prueba principal
Recoleta,REC-R05,F-LN-RECO,Epicentro foodie con cine comercios y estacionamiento en el mall,Recoleta Urban Mall / Junin-Vicente Lopez,Recoleta: paso a paso las mejores opciones gastronomicas para conocer,La Nacion / Content LAB,2019-12-19,https://www.lanacion.com.ar/buenos-aires/recoleta-paso-paso-mejores-opciones-gastronomicas-conocer-nid2311013/,ACTIVA,verdadero epicentro foodie se completa con diez salas de cine,periodistico_comercial_branded,MEDIA,EVIDENCIA,caracterizacion,No confundir mall con barrio completo,Nombre comercial solo como referencia
Recoleta,REC-R06,F-CL-RECO-44,Corredor gourmet de Recoleta hasta Retiro,Recoleta / borde Retiro,Con 44 propuestas resurge el polo gastronomico de Recoleta,Clarin,2011-06-21,https://www.clarin.com/ciudades/propuestas-resurge-polo-gastronomico-Recoleta_0_ryRu4px6w7e.html,ACTIVA,Ya forman un corredor gourmet hasta Retiro.,periodistico,MEDIA,EVIDENCIA,relacion_territorial; delimitacion_orientativa,Nota antigua 2011; fecha corregida (original 2016 incorrecta),Corredor no implica fusion de barrios; vigencia 2026 la decide el espacial
Recoleta,REC-R07,F-CL-RECO-44,Oferta apoyada en lujo hoteles boutique y gastronomia de alta gama,Corredor hotelero,Con 44 propuestas resurge el polo gastronomico de Recoleta,Clarin,2011-06-21,https://www.clarin.com/ciudades/propuestas-resurge-polo-gastronomico-Recoleta_0_ryRu4px6w7e.html,ACTIVA,Restaurantes en hoteles boutique lujo cocina de autor,periodistico,MEDIA,EVIDENCIA,caracterizacion,Puede invisibilizar oferta cotidiana,Misma fuente R06
Recoleta,REC-R08,F-CL-RECO-44,Desde Callao hacia 9 de Julio se armo un polo con hoteleria restaurantes y cafes,Callao-9 de Julio,Con 44 propuestas resurge el polo gastronomico de Recoleta,Clarin,2011-06-21,https://www.clarin.com/ciudades/propuestas-resurge-polo-gastronomico-Recoleta_0_ryRu4px6w7e.html,ACTIVA,desde 2003 hubo un cambio en la zona de Callao hacia la 9 de Julio,periodistico,MEDIA,EVIDENCIA,relacion_territorial; metodologia,Cita de chef; no subpolo formal,Tratar como transicion o borde (decision cerrada)
Recoleta,REC-R09,F-CRON-BA,Bellas Artes Bar presentado como nuevo polo gastronomico en Recoleta,Bellas Artes / Facultad de Derecho,De Modena a Mercedes Haus: asi es el nuevo polo gastronomico de Recoleta,El Cronista,2021-11-01,https://www.cronista.com/clase/gourmet/de-modena-a-mercedes-haus-asi-es-el-nuevo-polo-gastronomico-de-recoleta/,PAYWALL_PARCIAL,La Ciudad de Buenos Aires suma un nuevo polo gastronomico en el barrio de Recoleta.,periodistico_comercial,MEDIA_BAJA,EVIDENCIA,caracterizacion; metodologia,Riesgo de sobredimensionar un predio,Fecha corregida (original 02 incorrecta); es nodo de predio no subzona
Recoleta,REC-R10,F-CRON-BA,Complejo con tres espacios: bar take away y cafeteria,Bellas Artes Bar,De Modena a Mercedes Haus: asi es el nuevo polo gastronomico de Recoleta,El Cronista,2021-11-01,https://www.cronista.com/clase/gourmet/de-modena-a-mercedes-haus-asi-es-el-nuevo-polo-gastronomico-de-recoleta/,PAYWALL_PARCIAL,La Ferneteria Bar Trapizzino Shop y Colette Caffetteria,periodistico_comercial,BAJA_territorial,EVIDENCIA,caracterizacion,Mas comercial que territorial,No usar como nombre institucional de subzona
Recoleta,REC-R11,F-CL-RECO-44,Corredor se extiende hasta la Recova de la calle Posadas,Alvear-Posadas,Con 44 propuestas resurge el polo gastronomico de Recoleta,Clarin,2011-06-21,https://www.clarin.com/ciudades/propuestas-resurge-polo-gastronomico-Recoleta_0_ryRu4px6w7e.html,ACTIVA,corredor que se extiende hasta la Recova de la calle Posadas,periodistico,MEDIA,EVIDENCIA,relacion_territorial,Patio Bullrich no citado explicitamente en cuerpo verificado,Usar Posadas como ancla descriptiva
Recoleta,REC-R12,F-LN-RECO,Recoleta deslumbra a cualquier hora del dia,Recoleta general,Recoleta: paso a paso las mejores opciones gastronomicas para conocer,La Nacion / Content LAB,2019-12-19,https://www.lanacion.com.ar/buenos-aires/recoleta-paso-paso-mejores-opciones-gastronomicas-conocer-nid2311013/,ACTIVA,La Recoleta deslumbra a cualquier hora del dia,periodistico_comercial_branded,BAJA_MEDIA,EVIDENCIA,caracterizacion,Sin precision espacial fina,FUENTE_DUPLICADA R03
Recoleta,REC-INF01,REGISTRO-INTEGRADO-V1,Continuidad mall-Cementerio-Alvear plausible por contiguedad urbana pero no medida documentalmente,Subzonas 1 y 2,Inferencia del analista sobre REC-R04/R06/R11,DataGastro / DGDGAS,2026-07-11,NO_APLICA,NO_APLICA,Plausible; no medida solo con documentos,inferencia_analista,BAJA,INFERENCIA,solo_uso_interno,Contradiccion C6 heredada,Resolver con contraste espacial; no publicar como continuidad probada
Recoleta,REC-DEC01,REGISTRO-INTEGRADO-V1,Un unico Polo Gastronomico Recoleta; no nueve polos; comparar unidad general con centralidades vs unidad con maximo dos subzonas,Estructura interna,Decision de Diego 2026-07-11,DGDGAS,2026-07-11,NO_APLICA,NO_APLICA,Callao-9 de Julio y Bellas Artes como referencias nodos o transiciones,decision_institucional,N/A,DECISION_INSTITUCIONAL,nombre; relacion_territorial; texto_publico,,Los 9 nucleos HDBSCAN v2.1 son tecnicos; la comunicacion no los hereda
Recoleta,REC-DEC02,REGISTRO-INTEGRADO-V1,REC-R02 queda rechazada: la cifra de 150 restaurantes corresponde a San Telmo; se conserva como correccion documental,Recoleta general,Correccion obligatoria del piloto documental,DGDGAS,2026-07-11,NO_APLICA,NO_APLICA,Mantenerla registrada como afirmacion descartada y correccion documental,decision_institucional,N/A,DECISION_INSTITUCIONAL,metodologia; solo_uso_interno,,Sin cifra de reemplazo verificada; publicar una requiere fuente nueva y firma de Diego
Costanera Norte,CN-01,F-TB-CN,Costanera Norte concentra restaurantes clasicos y carritos frente al rio,Polo general,Costanera Norte,Turismo BA,s/d,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/costanera-norte,ACTIVA_PARCIAL,imposible perderse de comer en los carritos de la costanera,institucional_publico,ALTA,EVIDENCIA,nombre; caracterizacion; texto_publico,No fija poligono fino,Aeroparque a medio camino del relato
Costanera Norte,CN-02,F-TB-PATIO,Patio Costanera Norte con puestos containers y oferta gastronomica,Patio containers (componente 3),Patio Costanera Norte,Turismo BA,s/d,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/patio-costanera-norte,ACTIVA,cinco puestos/containers que ofrecen una amplia oferta gastronomica,institucional_publico,ALTA,EVIDENCIA,nombre; relacion_territorial; texto_publico,Hito puntual no corredor completo,Direccion Obligado 7010 en ficha
Costanera Norte,CN-03,F-GCBA-PATIO,GCBA reconoce patio gastronomico en Costanera Norte,Patio containers (componente 3),Patio Costanera Norte,GCBA Desarrollo Gastronomico,s/d,https://buenosaires.gob.ar/gcaba_historico/desarrolloeconomico/gastronomia/patio-costanera-norte,ACTIVA,Ficha institucional de patio gastronomico a metros del rio,institucional_publico,ALTA,EVIDENCIA,nombre; caracterizacion,CMS puede variar,Cruzar con Turismo BA
Costanera Norte,CN-04,F-BO-5961,Ley 5961 crea Distrito Joven Costanera Norte y autoriza concesiones hasta 10 anos,Distrito Joven (componente 1),Ley 5961,Legislatura CABA / Boletin Oficial,2018-05-17,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/413838,ACTIVA,otorgar en concesion el uso y la explotacion por un plazo de hasta diez anos,institucional_legal,ALTA,EVIDENCIA,metodologia; texto_publico,No es ley de polo gastronomico per se,Anexos PDF en documentosboletinoficial.buenosaires.gob.ar (ver bibliografia)
Costanera Norte,CN-05,F-BO-5961,Integracion paisajistica con Parque de la Memoria y Parque Natural Ciudad Universitaria,Vacios / transicion,Ley 5961 art.5,Legislatura CABA,2018-05-17,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/413838,ACTIVA,integracion paisajistica con el Parque de la Memoria y el Parque Natural de Ciudad Universitaria,institucional_legal,ALTA,EVIDENCIA,relacion_territorial; metodologia,Parques no son gastronomia densa,Parte estructural de la discontinuidad
Costanera Norte,CN-06,F-BO-5961,Autoriza modificacion de traza Obligado por cabecera norte Aeroparque,Aeroparque / vacios,Ley 5961 art.11,Legislatura CABA,2018-05-17,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/413838,ACTIVA,ampliacion de la cabecera Norte del Aeroparque Jorge Newbery,institucional_legal,ALTA,EVIDENCIA,relacion_territorial; metodologia,Fragmenta la franja costera,No afirmar impacto gastronomico cuantitativo sin espacial
Costanera Norte,CN-07,F-INFOBAE-CARR,Regularizacion de carritos en Costanera Norte; comodato; acto frente Aeroparque,Carritos (componente 2),Macri presento 13 nuevos carritos e inauguro un paseo en Costanera Norte,Infobae / GCBA,2013-08-26,https://www.infobae.com/2013/08/26/1504482-macri-presento-13-nuevos-carritos-e-inauguro-un-paseo-costanera-norte/,ACTIVA,Hemos regularizado todos los carritos; canon por la explotacion,periodistico_institucional,ALTA,EVIDENCIA,caracterizacion; metodologia,13 carritos es hito 2013 no censo actual,Parrilla a gas; impuestos y canon
Costanera Norte,CN-08,F-CL-FOODTRUCKS,Carritos Norte y Sur regularizados; pertenecen al GCBA; comodato 5 anos; gas,Carritos (componente 2),De los carritos a los foodtrucks,Clarin / AGC,2017-06-30,https://www.clarin.com/ciudades/carritos-foodtrucks-evolucion-comida-vende-calle_0_BygTJBV4-.html,ACTIVA,Los carritos pertenecen al Gobierno de la Ciudad que los cede en comodato por cinco anos,periodistico,ALTA,EVIDENCIA,metodologia,Distingue carrito fijo de foodtruck movil,Clave metodologica para padrones
Costanera Norte,CN-09,F-TYM-CARR,Origen historico: carritos en Madero y Costanera Sur; luego Costanera Norte,Historia,Los tentadores carritos de la Costanera,Tango y Milonga,2016-05-18,https://www.tangoymilonga.com.ar/noticias2016/carritos_de_la_costanera.html,ACTIVA,Anos despues los vendedores moviles se instalaron en la Costanera Norte,divulgacion_historica,MEDIA,EVIDENCIA,caracterizacion,No es fuente academica primaria,Encoding antiguo en pagina
Costanera Norte,CN-10,F-LN-DESALOJOS,Postergan desalojos de carritos en Costanera Norte,Carritos (componente 2),Postergan desalojos en los carritos de la Costanera Norte,La Nacion,1997-10-08,https://www.lanacion.com.ar/sociedad/postergan-desalojos-en-los-carritos-de-la-costanera-norte-nid78338/,PAYWALL,Titulo: postergan desalojos en los carritos de la Costanera Norte,periodistico,MEDIA,EVIDENCIA,caracterizacion,Paywall probable cuerpo,Conflicto por espacio publico; historia de permanencia
Costanera Norte,CN-11,F-CL-CN-NUEVA,Transformacion reciente: pocos carritos; nuevas concesiones y salones en Sector 1,Distrito Joven Sector 1 (componente 1),La nueva Costanera Norte: quienes son los nuevos duenos de los restaurantes,Clarin,2026-01-04,https://www.clarin.com/ciudades/nueva-costanera-norte-nuevos-duenos-restaurantes-zona-polemicas-historicas-concesiones_0_DZJOpwemv1.html,PAYWALL_PARCIAL,quedan pocos puestos de choripan; se lleno de nuevas concesiones,periodistico,ALTA,EVIDENCIA,caracterizacion; texto_publico,Nombres comerciales solo ancla no denominacion,Autora Malena Nazareth Martos
Costanera Norte,CN-12,F-CL-CN-NUEVA,Sector 1 destinado a aspecto gastronomico recreativo cultural y de esparcimiento,Componente 1,La nueva Costanera Norte,Clarin,2026-01-04,https://www.clarin.com/ciudades/nueva-costanera-norte-nuevos-duenos-restaurantes-zona-polemicas-historicas-concesiones_0_DZJOpwemv1.html,PAYWALL_PARCIAL,primer sector se destino al aspecto gastronomico recreativo cultural y de esparcimiento,periodistico,MEDIA_ALTA,EVIDENCIA,caracterizacion; relacion_territorial,No sustituye anexos legales de sectores,Cruzar con Ley 5961 anexos
Costanera Norte,CN-13,F-AMBA-DJ,Masterplan Distrito Joven: esparcimiento deportes cultura y gastronomia; ha a concesionar,Distrito Joven,Como es el proyecto Distrito Joven,Observatorio AMBA / El Auditor,2022-03,https://observatorioamba.org/noticias-y-agenda/noticia/cmo-es-el-proyecto-distrito-joven,ACTIVA,lugares de esparcimiento deportes actividades culturales y gastronomicas,secundaria_seguimiento,MEDIA,EVIDENCIA,metodologia,No es Boletin Oficial,Util para contexto
Costanera Norte,CN-14,F-IPRO-CS,Costa Salguero: pliego contempla locales gastronomicos entre usos,Costa Salguero (componente 4),Dos importantes grupos se disputan la concesion del centro Costa Salguero,iProfesional,2025-11-03,https://www.iprofesional.com/negocios/441019-dos-importantes-grupos-se-disputan-la-concesion-del-centro-costa-salguero,ACTIVA,locales gastronomicos como restaurantes pizzerias grill bares cafes,periodistico,MEDIA,EVIDENCIA,caracterizacion,Potencial no igual a oferta permanente densa,Predio de eventos y usos mixtos
Costanera Norte,CN-15,F-BAH-ODULIO,Registro fotografico historico de carrito en la Costanera,Historia visual,Carrito Odulio en la Costanera,Buenos Aires Historia,s/d,https://buenosaireshistoria.org/fotografias/carrito-odulio-en-la-costanera/,ACTIVA,Imagen historica de carrito de Costanera,archivo_historico,MEDIA,EVIDENCIA,caracterizacion,No delimita subzona,Asociacion Civil Rumbo Sur
Costanera Norte,CN-16,F-CL-CS-GAS,Costanera Sur regulariza puestos a gas; proceso paralelo al Norte,Comparacion Costanera Sur,En Costanera Sur ahora el choripan se hace en parrillas a gas,Clarin,2014-08-15,https://www.clarin.com/ciudades/carritos-costanera-sur-gas_0_Byse6v9qPXe.html,ACTIVA,como sucedio el ano pasado en Costanera Norte,periodistico,MEDIA,EVIDENCIA,metodologia; relacion_territorial,No fusionar polos,Sur = Reserva / Puerto Madero
Costanera Norte,CN-INF01,REGISTRO-INTEGRADO-V1,Un puesto en comodato o permiso de via publica puede no figurar en padrones de establecimientos gastronomicos fijos,Componente 2 / metodologia,Inferencia del analista sobre CN-07/CN-08 y Ley 5961,DataGastro / DGDGAS,2026-07-11,NO_APLICA,NO_APLICA,Hipotesis de subregistro administrativo por tipologia,inferencia_analista,MEDIA,INFERENCIA,metodologia,,No afirma ilegalidad de ningun establecimiento; hipotesis permitida por decision de Diego
Costanera Norte,CN-INF02,REGISTRO-INTEGRADO-V1,Componente con presencia en fuente externa de localizacion y baja huella administrativa es compatible con tipologias puesto/carrito/evento u oferta registrada bajo otro domicilio,CN_C02 / metodologia,Inferencia del analista sobre diagnostico v2.1 (CN_C02 100% Places),DataGastro / DGDGAS,2026-07-11,NO_APLICA,NO_APLICA,0 registros F01/F02 y 100% Places en CN_C02,inferencia_analista,MEDIA,INFERENCIA,metodologia; solo_uso_interno,,Formular siempre como hipotesis; el pin de plataforma no prueba habilitacion
Costanera Norte,CN-DEC01,REGISTRO-INTEGRADO-V1,Un unico Polo Gastronomico Costanera Norte con cuatro componentes discontinuos; los vacios son estructurales,Estructura del polo,Decision de Diego 2026-07-11 (coherente con DEC-05; estatus editorial segun DEC-10),DGDGAS,2026-07-11,NO_APLICA,NO_APLICA,La discontinuidad forma parte de la logica territorial del polo,decision_institucional,N/A,DECISION_INSTITUCIONAL,nombre; relacion_territorial; texto_publico,,Estatus editorial segun DEC-10 (ver CN-DEC03): polo adoptado apto para cuerpo y cartografia principal; sin presentarse como limite administrativo oficial
Costanera Norte,CN-DEC02,REGISTRO-INTEGRADO-V1,CN_C02 se incluye como cuarto componente del polo,CN_C02,Decision de Diego 2026-07-11,DGDGAS,2026-07-11,NO_APLICA,NO_APLICA,CN_C02 debe incluirse como cuarto componente,decision_institucional,N/A,DECISION_INSTITUCIONAL,relacion_territorial; metodologia,Diagnostico v2.1 lo trataba como contexto secundario (100% Places),La debilidad de fuente se explica en metodo; no excluye el componente
