archivo,que_es,script_de_origen,ruta_original
p078_curva_estabilidad.csv,"La curva de estabilidad de P078 cada 5 m, formato Belgrano. Es la que decidió: 3 partes sólo existen entre 40 y 60 m (20 m de ancho contra los 60 exigidos) y en la ventana ±40 m el conteo toma los valores 0, 1, 2 y 3. VEREDICTO: partición ARBITRARIA, P078 va entero.",polos_p078_prueba_estabilidad.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\p078_curva_estabilidad.csv
p078_vacios_entre_partes.csv,"Los vacíos entre las tres partes, formato Recoleta, con las DOS distancias. Muestra por qué no son intercambiables: S1–S2 da 8,2 m entre envolventes y 60,5 m entre puntos. La de envolventes mide una arista tendida sobre un vacío, no continuidad.",polos_p078_prueba_estabilidad.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\p078_vacios_entre_partes.csv
p078_prueba3_nombres.csv,"Prueba 3: calles dominantes y zona publicada por parte. S1 y S3 comparten Humboldt, Fitz Roy y Bonpland —el mismo lugar partido por Av. Niceto Vega— y no aparece ninguna calle de Soho: P078 es Palermo Hollywood, no Soho + Hollywood + Cañitas.",polos_p078_prueba_estabilidad.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\p078_prueba3_nombres.csv
saliente_p078_distancias.csv,"Los tres bloques del saliente medidos contra TODOS los polos del borrador, con distancia entre envolventes y entre puntos. El polo externo más cercano a bloque_35 está a 315,7 m: el precedente Recoleta no aplica.",polos_saliente_p078_de_quien_es.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\saliente_p078_distancias.csv
candidatos_bajo_minimo.csv,"Todos los conglomerados de 25–39 locales, por contigüidad a 55 m, con barrio, comuna, polo más cercano y zona publicada. Es el antídoto de «no se identificaron polos en X». LEER PRIMERO la sensibilidad: el conteo pasa de 1 a 14 a 18 entre 40, 55 y 70 m.",polos_candidatos_bajo_minimo.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\CANDIDATOS_BAJO_MINIMO.csv
candidatos_bajo_minimo_sensibilidad.csv,"La sensibilidad al umbral del registro anterior. Va junto y no aparte: el registro es lo que se ve a 55 m, no una propiedad del territorio.",polos_candidatos_bajo_minimo.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\candidatos_bajo_minimo_sensibilidad.csv
matriz_decision_borrador.csv,"Las seis decisiones de esta tanda con sus números, INCLUIDA la excepción de P078 registrada como refutada. Una excepción medida y caída vale más que una que nunca se puso a prueba.",registro a mano,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\MATRIZ_DECISION_BORRADOR.csv
polos_foco_menor.csv,"El foco secundario de P103 con su evidencia y el motivo por el que NO se publica como subzona. Ejemplo de un campo deliberadamente SIN umbral numérico: Belgrano (publicado, con partes) da 21,5 % y P103 da 15,2 %, así que la proporción no separa los casos.",polos_foco_menor.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\polos_foco_menor.csv
union_100m_candidatas.csv,"Los 39 pares a menos de 100 m con su veredicto: continuidad, estabilidad, y motivo de rechazo. Incluye `evaluado_como`, que muestra la no-transitividad.",polos_p065_union_y_clases.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\union_100m_candidatas.csv
ablacion_por_grupo.csv,"Ablación por grupo de independencia CON control aleatorio (5 sorteos, semilla fija). Columnas `colapsos_azar` y `polos_azar_mediana` son el control.",borrador_polos_ciudad.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\ablacion_por_grupo.csv
sensibilidad_grilla_hdbscan.csv,"Grilla 5×3 de min_cluster_size × min_samples, con la marca de colapso.",borrador_polos_ciudad.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\sensibilidad_umbral.csv
clases_jenks_gvf.csv,Bondad de ajuste (GVF) de Fisher–Jenks para k = 2..6 y sus cortes.,polos_atributos_clases.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\clases_densidad_ajuste.csv
anada_contra_densidad.csv,"Por polo: densidad con todas las fuentes y sin el Relevamiento, clase en cada una, si cambió de clase, distancia al corte y añada.",polos_particion_anada_estructura.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\anada_contra_densidad.csv
anada_contra_densidad_resumen.json,"eta², Kruskal–Wallis, Spearman y Rand ajustado de la prueba de añada.",polos_particion_anada_estructura.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\anada_contra_densidad_resumen.json
particion_encadenados.csv,Los 10 polos candidatos a partir y qué pasó con cada uno.,polos_atributos_clases.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\particion_encadenados.csv
particion_sueltos_por_padre.csv,"Dónde cayeron los 1.064 locales sueltos, por polo padre.",polos_particion_anada_estructura.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\particion_sueltos_por_padre.csv
particion_bloques_de_sueltos.csv,"Los 6 grupos de sueltos que llegan a 40, con posición respecto de la cáscara y densidad.",polos_particion_anada_estructura.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\particion_bloques_de_sueltos.csv
zonas_no_encontradas_explicacion.csv,Las 22 zonas con su explicación asignada (E1/E2/E3) y la regla que la asignó.,polos_atributos_clases.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\siete_zonas_explicacion.csv
zonas_22_densidad.csv,Las 22 publicadas medidas con la misma base: densidad por perímetro y por hull propio.,polos_atributos_clases.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\zonas_22_densidad.csv
cotejo_22_zonas_final.csv,"Cotejo final contra las 22, con familia del Atlas.",polos_p065_union_y_clases.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\cotejo_22_zonas_v3.csv
sensibilidad_piso_absoluto.csv,Piso absoluto a 2/4/6 loc/ha: polos y zonas publicadas que caerían con cada uno.,polos_atributos_clases.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\sensibilidad_piso_absoluto.csv
lotes_replicados_detectados.csv,Detector de asientos replicados en el padrón: los lotes encontrados.,detectar_lotes_permisos.py,outputs\BARRIDO_CIUDAD_2026-08\generado\lotes_permisos_detectados.csv
lotes_replicados_replicacion.csv,Detalle de la replicación por lote.,detectar_lotes_permisos.py,outputs\BARRIDO_CIUDAD_2026-08\generado\lotes_permisos_replicacion.csv
prueba_catastral_smp.csv,"Prueba por partida catastral (SMP) del 22,6 % de asientos replicados.",probar_smp_lotes.py,outputs\BARRIDO_CIUDAD_2026-08\generado\prueba_smp_lotes.csv
prueba_catastral_mecanismo.json,El mecanismo identificado detrás de la replicación.,probar_smp_lotes.py,outputs\BARRIDO_CIUDAD_2026-08\generado\mecanismo_smp.json
prueba_catastral_discriminancia.csv,Discriminancia del SMP como clave.,probar_smp_lotes.py,outputs\BARRIDO_CIUDAD_2026-08\generado\discriminancia_smp.csv
factor_captura_dos_bases.csv,"Factores de captura contra las DOS bases, que es la comparación que corresponde.",estimar_costo_places.py / capa_rus_por_zona.py,outputs\BARRIDO_CIUDAD_2026-08\generado\factor_captura_22_zonas_dos_bases.csv
factor_captura_una_base.csv,Factores de captura contra una sola base. Se incluye para mostrar la diferencia.,capa_rus_por_zona.py,outputs\BARRIDO_CIUDAD_2026-08\generado\factor_captura_22_zonas.csv
parejidad_a_por_barrio.csv,"Indicador A por barrio: cobertura, composición, aporte de las otras fuentes, añada.",parejidad_cobertura.py,outputs\BARRIDO_CIUDAD_2026-08\generado\parejidad_a_parcelas_comerciales.csv
parejidad_b_por_barrio.csv,Indicador B por barrio: locales cada mil habitantes (Censo 2022).,parejidad_cobertura.py,outputs\BARRIDO_CIUDAD_2026-08\generado\parejidad_b_por_barrio.csv
parejidad_b_por_comuna.csv,"Indicador B por comuna, que es la unidad de referencia (el radio censal no se reparte).",parejidad_cobertura.py,outputs\BARRIDO_CIUDAD_2026-08\generado\parejidad_b_por_comuna.csv
places_criterio_indicadores.csv,Los dos indicadores internos con los que se eligieron los barrios de la sonda.,places_criterio_destino.py,outputs\BARRIDO_CIUDAD_2026-08\places_criterio_destino\indicadores_por_barrio.csv
places_dry_run.json,El dry-run que se usó para pedir autorización.,places_criterio_destino.py,outputs\BARRIDO_CIUDAD_2026-08\places_criterio_destino\dry_run.json
places_sonda_resultado_nucleo.csv,"EL RESULTADO DE LA SONDA, sobre el universo comparable (sólo anillo núcleo). 121 locales nuevos sobre los 1.128 de la base en esos 5 barrios = 10,7 %. DOS CALIFICACIONES QUE VAN PEGADAS AL NÚMERO: (1) es una COTA SUPERIOR, no un promedio — los 5 barrios se eligieron por ser los peores con criterio declarado; (2) no dice NADA sobre vigencia — Places descubre, no confirma. Y una tercera de alcance: los 5 son del oeste y el centro (comunas 3, 10, 11, 15), así que el número NO se traslada al sur. Agregado por barrio solamente: ningún punto de Places sale de outputs/analisis_interno/.",places_sonda_barrios_flacos.py,outputs\analisis_interno\places_sonda_barrios_2026-08\places_resumen_nucleo_comparable.csv
belgrano_continuidad_precedente.csv,El barrido de continuidad de Belgrano: el precedente del que sale toda la regla de partes. Umbrales 80-300 m sobre clusters candidatos (no sobre puntos sueltos: por eso los barridos de este paquete extienden la grilla hacia abajo).,ejecutar_corrida_territorial_v3.py,outputs\polos_gastro\corrida_territorial_v3\BELGRANO_SENSIBILIDAD_CONTINUIDAD_V3.csv
recoleta_vacios_continuidad.csv,El otro precedente de continuidad: los vacios de Recoleta.,ejecutar_corrida_territorial_v3.py,outputs\polos_gastro\corrida_territorial_v3\RECOLETA_VACIOS_CONTINUIDAD_V3.csv
test_normalizador_direcciones.py,"El test de regresión del normalizador, incluido por sus CASOS NEGATIVOS. «Ciudad de la Paz» es una calle de Belgrano y cortar por «Ciudad» a secas la decapitaría; «Avellaneda» empieza con «Av» y no es una avenida abreviada. Los dos son de la familia del bug original («esq» matcheando adentro de «Esquiu»): son el mejor ejemplo de por qué un test de regresión sin casos negativos sólo demuestra que la corrección corrige.",tests/test_normalizador_direcciones.py,tests\test_normalizador_direcciones.py
LAMINAS_PLAN_2026_POLOS_Y_CLUSTERS.md,"Material para la presentación del Plan Gastronomía 2026: una lámina por bloque, con título, la línea que lo sostiene y de dónde sale. ADVERTENCIA DE USO que viaja con el archivo: sus números están calculados sobre la UNIÓN de los polígonos, no sobre la suma de filas de la matriz de trabajo — sumar la matriz duplica áreas.",documento de cowork (no lo produce un script del repositorio),outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\LAMINAS_PLAN_2026_POLOS_Y_CLUSTERS.md
EDICION_TECNICA_FASE_DOCUMENTAL.md,"Parte segunda de la edición técnica: continúa EDICION_TECNICA_METODO.md (secciones 0 a 26) con la fase documental. Su Anexo B es la tabla de correspondencia tema → archivo, versionada aparte en `correspondencia_fase_documental.csv`.",documento de cowork (no lo produce un script del repositorio),outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\EDICION_TECNICA_FASE_DOCUMENTAL.md
ATLAS_V3_SECCIONES_II_V_VI_IX.md,"Secciones II, V, VI y IX del Atlas V3, con la propuesta de renumeración: el borrador anterior tenía siete secciones y la fase documental agregó tres objetos que ese esquema no contemplaba.",documento de cowork (no lo produce un script del repositorio),outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\ATLAS_V3_SECCIONES_II_V_VI_IX.md
