id_externa,id_matriz_original,fuente,grupo,universo_sugerido,que_aporta,acceso_real,api_open_data,legalidad_riesgo,granularidad,cobertura_caba,prioridad_original,prioridad_normalizada,puntaje,camino_recomendado,accion_concreta,url,permite_scraping
E15,RES01,"Reservas online: Meitre, OpenTable, Resy, TheFork, plataformas locales",Reservas / ocupación,externa_privada_convenio,"Reservas, no-shows, ocupación, anticipación, horarios pico, tamaño de grupo.",Convenio/opt-in con plataforma o locales.,Variable.,Bajo con agregación/consentimiento.,Local-franja horaria; ideal barrio/semana.,Media; concentrada en restaurantes con reserva.,Media-alta,alta,2.5,"Fuente complementaria para gastronomía de mesa, no delivery.",Identificar 2-3 plataformas usadas por restaurantes de CABA y pedir reunión exploratoria.,,no
E16,SOC01,Instagram / Meta Graph API,Social / reputación / promoción,externa_publica_o_api,"Señales de presencia digital, publicaciones propias de comercios que autoricen, hashtags/campañas, engagement de cuentas institucionales.",Limitado: APIs para cuentas propias/autorizadas y ciertos endpoints. Scraping de perfiles públicos no recomendable.,"Sí, pero restringida.",Medio-alto si se intenta scraping; bajo con cuentas opt-in/campañas.,Cuenta/post autorizado; hashtag/campaña.,"Alta visualmente, baja si se exige vía API oficial.",Media,media,1.15,"Usar para campañas y eventos, no como padrón de locales.","Si hay campañas oficiales, pedir que los comercios etiqueten cuenta/hashtag estándar para medir alcance.",https://developers.facebook.com/docs/instagram-platform/,no
E17,SOC02,TikTok Research API / Commercial Content API,Social / tendencias,externa_publica_o_api,"Videos por keywords/hashtags, métricas de vistas/likes/comentarios/compartidos, región del creador, fechas. Útil para tendencias gastronómicas, no para locales activos.",API oficial pero con acceso/revisión y límites; Research API depende de elegibilidad.,"Sí, restringida.",Bajo si se usa API; medio por privacidad/términos.,"Video/hashtag/creator, no local georreferenciado confiable.",Indirecta.,Media-baja,baja,1.65,"Usar para 'tendencias culinarias' y repercusión de eventos, no para actividad económica dura.","Armar keywords oficiales: 'BA Capital Gastronómica', 'Distrito del Vino', 'Caminos y Sabores', barrios y eventos.",https://developers.tiktok.com/doc/research-api-specs-query-videos,no
E18,GT01,Google Trends,Demanda / interés digital,externa_publica_o_api,"Interés de búsqueda por términos como 'restaurante palermo', 'cafetería de especialidad', cocinas, eventos o barrios.",Interfaz pública y librerías no oficiales; API oficial pública limitada/no estándar.,No API oficial estable para pipeline.,Bajo para análisis manual; medio para scraping automático.,Término-zona-tiempo; no local.,"Buena para tendencias, no para padrón.",Media,media,2.05,"Indicador de demanda/marketing en informes, no fuente maestra.",Listar 20 keywords y validar si Google Trends permite CABA/AMBA o sólo Argentina.,https://trends.google.com/,no
E19,MOB01,"Operadoras móviles: Movistar/Telefónica, Personal/Telecom, Claro",Movilidad / flujo de personas,externa_privada_convenio,"Flujo peatonal agregado, visitantes únicos, origen/destino, permanencia por zonas, impacto de eventos y turismo.",Convenio comercial/institucional; datos anonimizados y agregados.,No pública.,"Medio-alto: privacidad, anonimización, umbrales y marco legal.",Celda/zona/hora agregada; nunca individuo.,Muy alta si hay convenio.,Alta estratégica,alta,2.05,No para MVP; sí para medir impacto de eventos y zonas gastronómicas con datos agregados.,Preguntar si el GCBA ya tiene convenio con alguna telco para movilidad urbana/turismo.,,no
E20,MOB02,Waze for Cities / movilidad vial,Movilidad / accesibilidad,externa_publica_o_api,"Tráfico, incidentes y velocidad vial. No mide consumo gastronómico, pero ayuda a analizar accesibilidad e impacto de eventos.",Programa de intercambio con ciudades.,Programa/partner.,Bajo-medio con convenio.,Segmento vial/evento.,Alta si la Ciudad ya participa.,Baja-media,baja,1.6,"Complemento de movilidad, no fuente gastronómica principal.",Consultar a movilidad/BA Data si ya reciben Waze for Cities.,https://www.waze.com/wazeforcities/,no
E21,MOV01,SUBE / transporte público agregado,Movilidad / afluencia,externa_privada_convenio,Flujos de pasajeros cercanos a zonas/eventos; sirve para contexto de demanda territorial.,Convenios interjurisdiccionales y/o datasets agregados existentes.,Parcial; depende de fuente.,Medio por privacidad si se solicita granular.,Estación/parada/línea-tiempo agregada.,Alta.,Media,media,1.8,"Usar para contexto de accesibilidad, no como consumo.",Consultar a equipo de movilidad/BA Data qué datos SUBE agregados tienen disponibles.,,no
E22,INT01,Padrón vivo de habilitaciones / AGC interno,Gobierno / base maestra,interna_o_publica_gcba,"Estado actualizado de habilitaciones, bajas, titulares, rubros, inspecciones si se integra. Es la fuente más importante para pasar de aprobaciones históricas a locales vigentes.",Interno GCBA/AGC; requiere gestión.,No necesariamente público.,"Bajo dentro de gobierno, con tratamiento adecuado de datos sensibles.",Trámite/local/habilitación.,Completa formal.,Muy alta,alta,3.35,Prioridad antes de sumar fuentes privadas: conseguir padrón vivo/estado actual para no confundir aprobaciones históricas con locales activos.,Pedir a jefa contacto AGC y preguntar específicamente por campo de estado vigente/baja/fecha de cese y rubro normalizado.,,no
E23,INT02,Permisos de área gastronómica / mesas y sillas (F06),Gobierno / espacio público,interna_o_publica_gcba,"Uso de espacio público por comercios gastronómicos, superficie/mesas/sillas, permisos activos, ubicación.",Ya identificado como fuente candidata; falta integrar dataset operativo.,Puede existir en GCBA/área interna.,Bajo-medio.,Permiso/local/dirección.,Alta para locales con área gastronómica.,Muy alta,alta,3.35,Debe ser el próximo F06 oficial antes de convenios privados.,"Pedir archivo/base operativo con permisos vigentes, histórico, dirección, superficie y estado.",,no
E24,INT03,AGIP / Ingresos Brutos agregados por rubro,Gobierno / actividad económica,interna_o_publica_gcba,"Actividad económica declarada por rubro y territorio si existe agregación segura: cantidad de contribuyentes, facturación imponible agregada, altas/bajas.",Interno/convenio interárea; no público a nivel contribuyente.,No pública.,Alto si hay CUIT o secreto fiscal; viable sólo agregado con umbrales.,Comuna/rubro/mes agregado.,Muy alta formal.,Alta estratégica,alta,1.8,"Pedir indicadores agregados, nunca base nominal.",Formular pedido como 'serie estadística agregada por comuna y rubro gastronómico' con umbral mínimo de comercios por celda.,,no
E25,INT04,Eventos GCBA + permisos/eventbrite/ticketing,Eventos / impacto,interna_o_publica_gcba,"Calendario, ubicación, asistentes estimados/reales, expositores, ventas o tickets si existieran, relación con comercios cercanos.",Interno y/o convenios con plataformas.,Parcial.,Bajo-medio.,Evento/día/lugar.,Alta para eventos oficiales; parcial para privados.,Alta,alta,2.9,Fortalecer F04: pasar de relevamiento manual a tabla operativa de eventos oficiales.,Pedir a Dirección una planilla estándar obligatoria para cada evento gastronómico.,,no
E26,REV01,Webs de restaurantes / menús / Schema.org,Precios / oferta,externa_publica_o_api,"Menús, rangos de precios, tipos de cocina, reservas, links de delivery y horarios publicados.",Scraping cuidadoso de sitios propios y datos estructurados; requiere revisión legal/robots.,No uniforme.,"Medio: respetar robots.txt, términos y frecuencia; preferir datos propios/opt-in.",Local / item menú.,Media.,Baja-media,baja,1.4,No para MVP; podría servir para índice de precios/cocinas si hay opt-in.,No arrancar con scraping masivo; primero armar estándar voluntario de carga de menú.,,no
E27,SCR01,Scraping Rappi/PedidosYa/Google Maps,Técnica no recomendada,no_recomendada,"Podría listar locales, menús, precios y disponibilidad visibles públicamente.","Técnicamente posible, institucionalmente riesgoso.",No oficial.,"Alto: términos de servicio, bloqueos, reputación institucional, datos no auditables.",Local/item.,"Alta si funciona, pero frágil.",No hacer,baja,0.95,No pedir a Codex scraping de plataformas privadas para una entrega institucional. Reemplazar por convenios o APIs oficiales.,"Si alguien lo propone, pedir dictamen legal y permiso explícito antes.",,no
E28,SURV01,Formulario voluntario a restaurantes / cámaras / BA Capital Gastronómica,Datos declarativos opt-in,externa_publica_o_api,"Estado activo, capacidad, mesas, empleados, canales de venta, delivery, reservas, POS usado, interés en programas, consentimiento para compartir datos.",Totalmente viable desde el área.,Formulario / CRM.,Bajo con consentimiento y política de privacidad.,Local individual.,Depende de difusión; ideal con cámaras y programas.,Muy alta,alta,3.55,Crear F06/F07 opt-in de comercios activos; permite validar Google/Rappi/PedidosYa/POS.,Armar formulario simple de 15 campos y pedir a jefa aprobación para enviarlo a aliados.,,no
E29,NEWS01,Noticias/web pública sobre aperturas/cierres,Señales blandas,externa_publica_o_api,"Aperturas, cierres, rankings, nuevas tendencias, notas de prensa.",Web pública y monitoreo manual/automatizado con alertas.,Variable.,"Bajo si se almacena cita/resumen, no contenido completo.",Evento/local/noticia.,Parcial y sesgada a lugares mediáticos.,Baja,baja,2.0,"Usar como capa de monitoreo cualitativo, no estadística central.","Crear Google Alerts para 'abre restaurante CABA', 'cierra restaurante Palermo', eventos gastronómicos BA.",https://news.google.com/,no
