referencia_id,nombre,bloque_conduccion,texto_v21,texto_conduccion,cifras_v21,cifras_conduccion,cifras_trasladadas_a_edicion_tecnica,cifras_movidas_desde_otro_bloque,cifras_sin_respaldo_en_la_v21
R04,Puerto Madero,Qué es esta zona,"Polo de Puerto Madero | Polo organizado como banda de docks y frente costero, con continuidad longitudinal y distintos hitos sobre el borde de Puerto Madero. | La forma territorial responde mejor a un frente doble y a la sucesión de docks que a un núcleo radial único. | La lectura es descriptiva y cerrada; no equivale a un límite normativo ni habilita expansión fuera del frente documentado.","Puerto Madero ordena su oferta gastronómica a lo largo de los diques, sobre dos frentes enfrentados y con hitos repartidos en el borde. Es una banda larga antes que una mancha alrededor de un centro.",,,,,
R04,Puerto Madero,De qué se compone,No fusionar con R12 ni extender el frente fuera del ámbito documentado. | No núcleo radial único demostrado.,"La sucesión de diques a lo largo del agua y el frente costero, con dos partes que el mapa rotula: los Docks y la Dársena Sur. | No tiene un centro único: la oferta se distribuye sobre los dos frentes.",12,,12,,
R04,Puerto Madero,Qué hay que tener en cuenta,Sin universo único en corpus institucional cerrado | Sin cifra canónica comparable disponible.,El área dibujada excluye el espejo de agua de los cuatro diques. | La lectura no se extiende más allá del frente relevado ni se une con el Centro.,,,,,
R05,Belgrano,Cuánta oferta hay,"Antecedente histórico / metodológico | 697 (universo del relevamiento cartográfico previo; histórico metodológico)
3 centralidades (descriptiva pública) | KPI_LOCK cartográfico relevamiento previo / editorial V2; no reabrir relevamiento previo sin pedido","697 locales según un relevamiento anterior | Es el dato de un relevamiento anterior: sirve para describir la zona, no es su número de hoy.","2, 3, 697",697,"2, 3",,
R05,Belgrano,Qué es esta zona,"Polo de Belgrano | Polo de escala macroárea con tres centralidades diferenciadas: Barrio Chino, Bajo Belgrano y Belgrano R. | Belgrano R ocupa un rol secundario en la jerarquía editorial, sin perder su pertenencia a la referencia. | Las tres centralidades no son tres referencias nuevas ni deben sumarse como universos independientes; la geometría del relevamiento cartográfico previo conserva una lectura multiparte.","Belgrano es un polo de escala grande, con tres centros gastronómicos distintos: el Barrio Chino, el Bajo Belgrano y Belgrano R. Los tres funcionan dentro de una misma zona y con pesos distintos.",,,,,
R05,Belgrano,De qué se compone,Barrio Chino ; centralidad ; aporta al relevamiento cartográfico previo ; no universo autónomo ; sin adopción | Bajo Belgrano ; centralidad ; aporta al relevamiento cartográfico previo ; no universo autónomo ; sin adopción | Belgrano R ; centralidad secundaria ; aporta al relevamiento cartográfico previo ; no universo autónomo ; sin adopción | Tres centralidades internas; no tres polos. | No absorber R16 o R17. | No tres referencias autónomas. | No ranking con cobertura del relevamiento previo.,"Barrio Chino, Bajo Belgrano y Belgrano R. | Son tres centros dentro de Belgrano, no tres zonas separadas. | Belgrano R ocupa un lugar secundario, sin dejar de pertenecer a la zona.","16, 17",,"16, 17",,
R05,Belgrano,Qué hay que tener en cuenta,"El universo y los puntos del relevamiento previo no son 'locales activos' sin contexto; la cobertura no es un indicador público principal | Relevamiento cartográfico previo: universo histórico metodológico 697; 248 puntos incluidos; cobertura 35,58 %; 3 componentes; 7 piezas topológicas; superficie 0,3975 km²; densidad descriptiva 623,9 puntos/km²; estabilidad 0,765; dependencia externa 53,23 %; 449 puntos sin asignar. | La cifra pública descriptiva autorizada es 3 centralidades. Cobertura, estabilidad y universo histórico no son indicador principal ni equivalen a locales activos.",Los 697 no equivalen a locales abiertos hoy. | Los tres centros no se cuentan por separado ni se suman entre sí. | Villa Urquiza y Donado–Holmberg quedan fuera de Belgrano.,"0,3975, 0,765, 248, 3, 35,58, 449, 53,23, 623,9, 697, 7",697,"0,3975, 0,765, 248, 3, 35,58, 449, 53,23, 623,9, 7",,
R06,Recoleta,Cuánta oferta hay,Antecedente histórico / metodológico | Sin cifra canónica comparable | KPI_LOCK relevamiento previo; decisión editorial REC-R02 sin cifra de oferta,"Zona caracterizada, sin conteo propio | Un relevamiento anterior dejó datos de trabajo sobre Recoleta, pero no un número publicable para la zona.",02,,02,,
R06,Recoleta,Qué es esta zona,"Polo de Recoleta | Polo presentado como una unidad territorial pública continua, con diversidad interna que no se publica como una lista de núcleos analíticos. | La corrida del relevamiento previo registró nueve núcleos analíticos, pero esa desagregación queda reservada a trazabilidad técnica y no constituye nueve polos. | La unidad pública no implica delimitación oficial ni autoriza una cifra de oferta como indicador principal.","Recoleta se presenta como una sola zona continua, con oferta diversa en su interior. El Atlas la trata como una unidad y no la parte en pedazos.",,,,,
R06,Recoleta,De qué se compone,Una unidad pública; no publicar nueve núcleos analíticos. | No fusionar con R18. | No nueve polos. | No cifra de oferta pública.,Se lee como una sola unidad continua. | El detalle interno del relevamiento anterior no se publica como una lista de partes.,18,,18,,
R06,Recoleta,Qué hay que tener en cuenta,"No inventar oferta numérica; núcleos analíticos no publicar | Sin cifra canónica comparable disponible para publicación. | Relevamiento cartográfico previo, solo técnico: universo 767; 602 puntos incluidos; cobertura 78,49 %; 1 componente público; superficie 1,218 km²; densidad 494,2 puntos/km²; estabilidad 0,626; dependencia externa 46,51 %; 165 puntos sin asignar. | Los 9 núcleos analíticos no se publican ni se convierten en subreferencias.","El área dibujada es una lectura de la zona, no un límite oficial. | Esmeralda–Paraguay es una zona distinta, aunque esté cerca.","0,626, 1, 1,218, 165, 46,51, 494,2, 602, 767, 78,49, 9",,"0,626, 1, 1,218, 165, 46,51, 494,2, 602, 767, 78,49, 9",,
R07,Costanera Norte,Cuánta oferta hay,"Antecedente histórico / metodológico | 72 (universo conciliado del relevamiento previo; histórico metodológico)
4 componentes (descriptiva pública) | KPI_LOCK relevamiento previo","72 locales según un relevamiento anterior | Es el dato de un relevamiento anterior: describe la zona, no mide su situación de hoy.","4, 72",72,4,,
R07,Costanera Norte,Qué es esta zona,"Polo multiparte Costanera Norte | Polo multiparte compuesto por cuatro componentes y cinco piezas topológicas; una de las unidades es, a su vez, multiparte. | Los vacíos entre componentes son estructurales y deben mostrarse: la discontinuidad es parte de la forma territorial, no un error a rellenar. | La relación con el borde ribereño se mantiene como lectura de conjunto sin convertir los componentes en referencias autónomas.",La Costanera Norte tiene su oferta gastronómica repartida en cuatro tramos separados a lo largo del frente al río. Entre un tramo y otro hay espacios sin oferta que forman parte de cómo es la zona.,,,,,
R07,Costanera Norte,De qué se compone,Componentes 1–4 ; componentes discontinuos ; aportan al universo conciliado del relevamiento previo ; descriptivos ; sin adopción | Piezas topológicas (5) ; desagregación técnica ; aportan a cuatro componentes ; no publicables como cinco polos ; sin adopción | Cuatro componentes discontinuos; conservar vacíos. | No continuidad artificial entre componentes.,"Cuatro tramos separados sobre el frente costero. | Los cuatro se leen juntos como una sola zona, sin unirlos con una línea que no existe.","1, 4, 5",,"1, 4, 5",,
R07,Costanera Norte,Qué hay que tener en cuenta,"No omitir vacíos estructurales; dependencia del directorio comercial en línea es nota metodológica no cuerpo principal | Relevamiento cartográfico previo: universo conciliado histórico 72; 71 puntos incluidos; cobertura 98,61 %; 4 componentes; 5 piezas topológicas; superficie 0,3922 km²; densidad 181,0 puntos/km²; estabilidad 0,77; dependencia externa 92,96 %; 1 punto sin asignar. | La cifra pública descriptiva autorizada es 4 componentes; el universo y los puntos son históricos metodológicos.",Los espacios vacíos entre tramos son reales y se muestran. | Los cuatro tramos no son cuatro zonas nuevas. | Los 72 no equivalen a locales abiertos hoy.,"0,3922, 0,77, 1, 181,0, 4, 5, 71, 72, 92,96, 98,61",72,"0,3922, 0,77, 1, 181,0, 4, 5, 71, 92,96, 98,61",,
R08,Villa Crespo,Cuánta oferta hay,Cifra exacta | 646 | recuento con deduplicación conservadora Z01 (RESUMEN_UNIVERSOS_TANDA1_V4_4),646 locales relevados | Se contó una sola vez a los locales que aparecían repetidos.,"01, 1, 4, 646",646,"01, 1, 4",,
R08,Villa Crespo,Qué es esta zona,"Polo documentado sin unidad espacial estabilizada | Polo documentado con identidad propia respecto de Palermo y Chacarita, pero sin unidad espacial estabilizada ni contorno cerrado. | Los antecedentes ubican ejes y nodos sobre Thames, Gurruchaga y Velazco; sirven para caracterizar la oferta, no para adoptar una envolvente. | Los bordes finos quedan diferidos y tres saturaciones residuales se aceptan como limitación final, sin nuevas consultas.","Villa Crespo tiene identidad gastronómica propia, apoyada sobre Thames, Gurruchaga y Velazco. Es una zona reconocible, aunque su borde exacto todavía no esté fijado.",,,,,
R08,Villa Crespo,De qué se compone,"Independiente de Palermo, Chacarita y el borde Rojas–Honorio Pueyrredón. | Bordes finos diferidos. | No unidad espacial estabilizada ni polígono cerrado. | No nuevas consultas.","Se organiza sobre los ejes de Thames, Gurruchaga y Velazco. | No tiene un contorno cerrado: la definición fina de los bordes quedó para más adelante.",,,,,
R08,Villa Crespo,Qué hay que tener en cuenta,"3 residuales de categoría restaurante aceptadas como limitación final; sin nuevas consultas; bordes finos diferidos | 646 registros con deduplicación conservadora: capas administrativas 178, directorio comercial en línea 467 y 1 coincidencia mixta. | Universos de sensibilidad: bruto 686, estricto 656, sensibilidad 659. Tres consultas de categoría restaurante quedaron saturadas en 20 resultados y se aceptaron como limitación final.","El número cuenta locales relevados, no locales abiertos hoy. | En tres puntos el relevamiento llegó a su tope y no pudo seguir contando: ahí puede haber más locales. | Villa Crespo es una zona distinta de Palermo y de Chacarita.","1, 178, 20, 3, 467, 646, 656, 659, 686",,"1, 178, 20, 3, 467, 646, 656, 659, 686",,
R09,Chacarita,Cuánta oferta hay,Cifra exacta | 327 | recuento con deduplicación conservadora Z02,"327 locales relevados | Se contó una sola vez a los locales que aparecían repetidos. El mapa dibuja los dos focos, que no cubren la totalidad de lo relevado.","02, 327",327,02,,
R09,Chacarita,Qué es esta zona,"Focos independientes Newbery/Dorrego; estructura no estabilizada; Lacroze control | Dos focos independientes: Jorge Newbery y Dorrego. La evidencia no sostiene una envolvente común ni un polo único. | Lacroze funciona únicamente como control territorial y no como eje principal de Chacarita. | La referencia permanece separada de Palermo, Villa Crespo y R19; no se utiliza el nombre híbrido Chacalermo.","En Chacarita la gastronomía se agrupa en dos focos separados: Jorge Newbery y Dorrego. No forman una sola mancha continua, y el Atlas los muestra separados.",19,,19,,
R09,Chacarita,De qué se compone,"la subunidad 1 de la zona 2 / Newbery ; foco independiente ; 116 en recuento técnico con deduplicación conservadora ; no aditivo ; sin adopción | la subunidad 2 de la zona 2 / Dorrego ; foco independiente ; 140 en recuento técnico con deduplicación conservadora ; no aditivo ; sin adopción | Lacroze ; control territorial ; no define universo R09 ni R19 ; no comparable ; control | R09 ≠ R19. | No Chacalermo ni fusión con Palermo/Villa Crespo. | No polo único, envolvente común, Chacalermo ni Lacroze como eje.","El foco de Jorge Newbery y el foco de Dorrego, independientes entre sí. | Federico Lacroze aparece solo para ubicar la zona: no es el eje de Chacarita.","09, 1, 116, 140, 19, 2",,"09, 1, 116, 140, 19, 2",,
R09,Chacarita,Qué hay que tener en cuenta,"Lacroze=control no producto; no Chacalermo; no fusión Palermo/Crespo; no fusión R19 | 327 registros con deduplicación conservadora: capas administrativas 115, directorio comercial en línea 211 y 1 coincidencia mixta. | Universos de sensibilidad: bruto 346, estricto 332, sensibilidad 336. Sin saturaciones residuales.","El número cuenta locales relevados, no locales abiertos hoy. | Los dos focos no se juntan en un polo único. | Chacarita no se mezcla con Palermo, Villa Crespo ni Federico Lacroze.","1, 115, 19, 211, 327, 332, 336, 346",,"1, 115, 19, 211, 327, 332, 336, 346",,
R10,Caballito,Cuánta oferta hay,Cifra exacta | 907 | recuento con deduplicación conservadora Z03,"907 locales relevados | Se contó una sola vez a los locales que aparecían repetidos. El mapa dibuja los dos núcleos, que no cubren la totalidad de lo relevado.","03, 907",907,03,,
R10,Caballito,Qué es esta zona,"Componentes independientes en narrativa multinodo (nodos Goyena; Primera Junta–Mercado del Progreso) | Narrativa multinodo compuesta por unidades independientes, sin envolvente única. | Los nodos activos de lectura son Pedro Goyena y Primera Junta–Mercado del Progreso. | Patio de los Lecheros es control puntual no adoptable; Parque Rivadavia queda como antecedente documental sin componente cartográfico activo y la subunidad 4 de la zona 3 no puede reutilizarse.",Caballito tiene dos núcleos gastronómicos separados: Pedro Goyena y Primera Junta–Mercado del Progreso. Cada uno funciona por su cuenta y el Atlas no los une.,"3, 4",,"3, 4",,
R10,Caballito,De qué se compone,"la subunidad 1 de la zona 3 / Pedro Goyena ; nodo ; 160 en recuento técnico con deduplicación conservadora ; no aditivo ; sin adopción | la subunidad 2 de la zona 3 / Primera Junta–Mercado del Progreso ; nodo ; 106 en recuento técnico con deduplicación conservadora ; no aditivo ; sin adopción | Patio de los Lecheros ; control puntual ; 2 observaciones técnicas; no producto ; no comparable ; no adoptable | la subunidad 4 de la zona 3 / Parque Rivadavia ; pieza retirada ; 24 observaciones históricas; no aporta al mapa activo ; no comparable ; prohibido reutilizar | Lecheros control; la subunidad 4 de la zona 3 retirado; Parque Rivadavia no activo. | No polo único, envolvente, Lecheros como polo, S4 ni Rivadavia activo.",El núcleo de Pedro Goyena y el de Primera Junta–Mercado del Progreso. | El Patio de los Lecheros se miró como punto de control y quedó fuera de la zona. | Parque Rivadavia salió de la lectura vigente y no se vuelve a usar.,"1, 106, 160, 2, 24, 3, 4",,"1, 106, 160, 2, 24, 3, 4",,
R10,Caballito,Qué hay que tener en cuenta,"la subunidad 4 de la zona 3 retirado; Lecheros control no adoptable; Rivadavia no activo | 907 registros con deduplicación conservadora: capas administrativas 265 y directorio comercial en línea 642. | Universos de sensibilidad: bruto 985, estricto 924, sensibilidad 946. Sin saturaciones residuales. | Los conteos de S4 y controles no forman parte de una lectura cartográfica activa.","El número cuenta locales relevados, no locales abiertos hoy. | Los dos núcleos no forman una sola área continua.","265, 3, 4, 642, 907, 924, 946, 985",,"265, 3, 4, 642, 907, 924, 946, 985",,
R11,Boulevard Caseros,Cuánta oferta hay,Cifra exacta | 66 | recuento con deduplicación conservadora Z04; 0 category-split,66 locales relevados | Se contó una sola vez a los locales que aparecían repetidos.,"0, 04, 66",66,"0, 04",,
R11,Boulevard Caseros,Qué es esta zona,"Microcentralidad de tramo corto; corredor documentado solo como antecedente | Microcentralidad de tramo corto vinculada al entorno Lezama y San Telmo, sin fusión. | El antecedente documental de corredor se conserva, pero la evidencia espacial no sostiene continuidad territorial suficiente para adoptarlo como corredor. | No se extiende a Parque Patricios ni al resto de Barracas y no se construye un polígono único.","Boulevard Caseros es una concentración chica y localizada, vinculada al entorno de Parque Lezama y San Telmo. Es un tramo corto, no una avenida gastronómica de punta a punta.",,,,,
R11,Boulevard Caseros,De qué se compone,"Asociada a Lezama/San Telmo sin fusión; no Patricios/Barracas. | No corredor continuo, polígono único o extensión a Patricios/Barracas.","Un tramo corto del boulevard, sin partes internas propias. | 47 de los locales quedaron a menos de 250 metros del eje: es una descripción, no la prueba de una avenida continua.",,"250, 47",,"250, 47",
R11,Boulevard Caseros,Qué hay que tener en cuenta,"Evidencia no sostiene corredor continuo; no Patricios/Barracas; asociada Lezama/San Telmo sin fusión | 66 registros con deduplicación conservadora: capas administrativas 19, directorio comercial en línea 46 y 1 coincidencia mixta. | Universos de sensibilidad: bruto 69, estricto 67, sensibilidad 67. No hubo desagregación por categoría | 47 puntos quedaron a 250 m del eje documentado; la métrica no demuestra un corredor continuo.","La evidencia no alcanza para hablar de una avenida gastronómica continua. | La lectura no se extiende a Parque Patricios ni al resto de Barracas. | Está asociada a San Telmo y a Lezama, pero es una zona distinta.","1, 19, 250, 46, 47, 66, 67, 69",,"1, 19, 250, 46, 47, 66, 67, 69",,
R12,Centro/Microcentro segmentado,Cuánta oferta hay,Cota inferior | ≥797 | Cota inferior censada Grupo A corrección técnica; no sumar subunidades superpuestas,"Al menos 797 locales | Es un mínimo: puede haber más, no menos.",797,797,,,
R12,Centro/Microcentro segmentado,Qué es esta zona,"Área gastronómica segmentada (subunidades independientes) | Área gastronómica segmentada compuesta por subunidades independientes; no es un polo único Centro. | Las pertenencias a subunidades se superponen, por lo que la suma simple de subunidades produciría doble conteo. | Tribunales permanece como componente secundario no comparable y no puede convertirse en una referencia adicional ni participar en rankings.","El Centro y el Microcentro no funcionan como un polo único, sino como varias áreas gastronómicas vecinas que conviene leer por separado. Cada una tiene su propio entorno y su propia escala.",,,,,
R12,Centro/Microcentro segmentado,De qué se compone,"Microcentro financiero ; subunidad por desagregación de categoría ; ≥251 pertenencias a subunidades ; comparable solo dentro del mismo diseño ; sin adopción | Plaza de Mayo–Monserrat ; subunidad por desagregación de categoría ; ≥93 pertenencias a subunidades ; mismo criterio de desagregación ; sin adopción | Avenida de Mayo ; subunidad por desagregación de categoría ; ≥203 pertenencias a subunidades ; mismo criterio de desagregación ; sin adopción | Retiro central ; subunidad por desagregación de categoría ; ≥177 pertenencias a subunidades ; mismo criterio de desagregación ; sin adopción | Tribunales ; componente secundario ; ≥57; no sumar ni ordenar por ranking ; no comparable por consulta combinada saturada ; sin adopción | Esmeralda–Paraguay / vínculo con R18 ; unidad técnica relacionada ; R18 se conserva como referencia independiente ; no aditivo ; sin adopción | Tribunales no es una referencia maestra adicional. | No sumar subunidades superpuestas ni fusionar con R18. | No polo único Centro, suma simple, ranking Tribunales ni referencia maestra adicional.","Microcentro financiero, Plaza de Mayo–Monserrat, Avenida de Mayo, Retiro central y Tribunales. | 143 locales están dentro de dos de esas áreas a la vez: por eso los números de las áreas no se suman. | Tribunales se lee aparte y con menos respaldo que las demás.","177, 18, 203, 251, 57, 93",143,"177, 18, 203, 251, 57, 93",143,
R12,Centro/Microcentro segmentado,Qué hay que tener en cuenta,"Piso censado; no es conteo completo ni locales activos | Tribunales ≥57 no comparable y no es referencia adicional; pertenencias a subunidades ≥940 con 143 dobles (técnico); no polo único Centro | ≥797 establecimientos únicos; ≥940 pertenencias a subunidades; 143 dobles; reconciliación: 654 con una pertenencia a una subunidad, 143 con dos y 0 con tres o más. | Grupo A: 79/326 combinaciones de consulta (24,2 %) alcanzaron el máximo de 20; de categoría restaurante 51/64 saturadas. | Piso censado; no es conteo completo ni locales activos","No es un polo único del Centro. | El número cuenta locales relevados, no locales abiertos hoy.","0, 143, 20, 24,2, 326, 51, 57, 64, 654, 79, 797, 940",,"0, 143, 20, 24,2, 326, 51, 57, 64, 654, 79, 797, 940",,
R13,Abasto,Cuánta oferta hay,Cota inferior | ≥314 | Cota inferior Grupo A corrección técnica,"Al menos 314 locales | Es un mínimo: puede haber más, no menos.",314,314,,,
R13,Abasto,Qué es esta zona,"Polo documentado con delimitación provisional | Polo documentado con delimitación provisional, independiente de R02. | Los tres tramos técnicos no exhiben un gradiente longitudinal demostrado; tampoco sostienen un corredor ni una extensión a todo Balvanera o Almagro. | Los anclajes históricos mencionados en antecedentes no son verificables cuantitativamente en el paquete vigente.",Abasto es un polo gastronómico reconocible sobre el tramo de la avenida Corrientes con el que se lo asocia. Su delimitación todavía es provisoria.,02,,02,,
R13,Abasto,De qué se compone,"R13 ≠ R02. | No todo Balvanera/Almagro; combinado Corrientes–Abasto solo contextual. | No gradiente, corredor, extensión total ni anclajes cuantitativos no verificables.","Se lee como una sola pieza sobre el tramo de Corrientes. | Para relevarlo se lo dividió en tres tramos —al menos 91, 115 y 108 locales—, sin que ninguno se destaque sobre los otros.","02, 13","108, 115, 91","02, 13","108, 115, 91",
R13,Abasto,Qué hay que tener en cuenta,"Piso censado; no es conteo completo ni locales activos | Anclajes históricos no verificables; sin gradiente/corredor; no todo Balvanera/Almagro; separado de R02 | ≥314 como cota inferior. Tramos técnicos: ≥91, ≥115 y ≥108; no muestran gradiente longitudinal. | Rectángulo mínimo rotado aproximado: 1.750 × 738 m; diagnóstico descriptivo, no delimitación. | Piso censado; no es conteo completo ni locales activos","Abasto es una zona distinta de la avenida Corrientes, aunque estén asociadas. | La delimitación es provisoria y la lectura no abarca todo Balvanera ni todo Almagro.","02, 1.750, 108, 115, 314, 738, 91",,"02, 1.750, 108, 115, 314, 738, 91",,
R14,Avenida Boedo,Cuánta oferta hay,Cifra exacta | 79 | directorio comercial en línea recuento con deduplicación conservadora E-PLACES (RESUMEN_UNIVERSOS_TANDA2_V1); capas administrativas no sumar a ciegas,79 locales relevados | Se contó una sola vez a los locales que aparecían repetidos.,"1, 2, 79",79,"1, 2",,
R14,Avenida Boedo,Qué es esta zona,"Eje gastronómico fragmentado | Eje gastronómico fragmentado: la continuidad cultural de avenida Boedo no equivale a un corredor gastronómico continuo. | La banda analítica de 150 m es un parámetro de estudio, no un límite público. | La lectura prioriza tramos y discontinuidades; no adopta un polígono ni una geometría oficial.","Boedo tiene una identidad cultural fuerte y una oferta gastronómica que aparece a lo largo de la avenida, en tramos, con interrupciones entre ellos.",150,,150,,
R14,Avenida Boedo,De qué se compone,No corredor continuo; banda de 150 m no límite público. | No corredor continuo ni polígono.,"Tramos sueltos a lo largo de la avenida Boedo, sin partes internas propias.",150,,150,,
R14,Avenida Boedo,Qué hay que tener en cuenta,"Banda 150 m parámetro no límite público; no corredor continuo ni polígono | 79 registros del directorio comercial en línea, con deduplicación conservadora, fecha de corte 2026-07-13. | Capas separadas del mismo corte: capas administrativas 4 y 188. No se suman a directorio comercial en línea ni se usan para inflar el indicador.","La identidad cultural de la avenida no equivale a una oferta gastronómica continua. | El número cuenta locales relevados, no locales abiertos hoy. | La franja de 150 metros usada para relevar es una herramienta de trabajo, no un límite.","07, 13, 150, 188, 2026, 4, 79",150,"07, 13, 188, 2026, 4, 79",,
R15,Devoto,Cuánta oferta hay,Cifra exacta | 119 | directorio comercial en línea recuento con deduplicación conservadora E-PLACES,119 locales relevados | Se contó una sola vez a los locales que aparecían repetidos.,119,119,,,
R15,Devoto,Qué es esta zona,Polo gastronómico con núcleo estable | Polo gastronómico con núcleo estable en torno de Plaza Arenales y una periferia contextual no estabilizada. | La estabilidad del núcleo no autoriza a extender el producto al barrio administrativo completo. | Villa Pueyrredón y Villa del Parque quedan fuera; R22 se mantiene como referencia separada.,"Devoto tiene un núcleo gastronómico estable alrededor de Plaza Arenales, con una periferia más difusa a su alrededor.",22,,22,,
R15,Devoto,De qué se compone,No absorber R22 ni Villa del Parque. | No periferia estabilizada ni absorción de R22.,"El núcleo alrededor de Plaza Arenales, en Villa Devoto. | La periferia que lo rodea no está definida con precisión.",22,,22,,
