referencia_id,pagina_mapa,linea,texto_publicado,campos_de_origen,tipo
R08,22,Qué mide la cifra,646 registros relevados con deduplicación conservadora. No equivale a locales en actividad hoy.,caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R08,22,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. Villa Crespo tiene identidad propia respecto de Palermo y Chacarita, y no se absorbe con ellas.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R09,25,Qué muestra este mapa,Los dos focos gastronómicos independientes de Chacarita: Jorge Newbery y Dorrego.,caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 D-A-03,principal
R09,25,Qué mide la cifra,"327 registros relevados en Chacarita con deduplicación conservadora; el mapa muestra los dos focos identificados, no la totalidad de los registros. No equivale a locales en actividad hoy.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 D-A-03,principal
R09,25,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. Los focos no forman una envolvente común ni un polo único, y no se funden con Palermo, Villa Crespo ni Federico Lacroze.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 D-A-03,principal
R10,26,Qué muestra este mapa,Los dos núcleos gastronómicos de Caballito: Pedro Goyena y Primera Junta–Mercado del Progreso.,caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 D-A-03,principal
R10,26,Qué mide la cifra,"907 registros relevados en Caballito con deduplicación conservadora; el mapa muestra los dos núcleos identificados, no la totalidad de los registros. No equivale a locales en actividad hoy.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 D-A-03,principal
R10,26,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. Los núcleos son independientes y no forman una envolvente única; Parque Rivadavia fue retirado de la lectura vigente.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 D-A-03,principal
R11,28,Qué muestra este mapa,"Área aproximada de la microcentralidad de Boulevard Caseros, un tramo corto vinculado al entorno de Lezama y San Telmo.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R11,28,Qué mide la cifra,66 registros relevados con deduplicación conservadora. No equivale a locales en actividad hoy.,caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R11,28,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. La evidencia no sostiene un corredor continuo, y la lectura no se extiende a Parque Patricios ni Barracas.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R12,31,Qué muestra este mapa,"Las subunidades independientes del área gastronómica del Centro y el Microcentro, cada una con su propio entorno de referencia.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo,principal
R12,31,Qué mide la cifra,"Al menos 797 establecimientos únicos. Es un piso de lo censado, no un conteo completo ni locales en actividad hoy.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo,principal
R12,31,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. No es un polo único del Centro: las subunidades no se suman entre sí porque comparten establecimientos.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo,principal
R13,29,Qué muestra este mapa,"Área aproximada del polo de Abasto, sobre el tramo de avenida Corrientes al que se asocia.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R13,29,Qué mide la cifra,"Al menos 314 establecimientos. Es un piso de lo censado, no un conteo completo ni locales en actividad hoy.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R13,29,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. Abasto es independiente de la referencia de avenida Corrientes y su delimitación es provisional.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R14,34,Qué muestra este mapa,"Área aproximada del eje gastronómico de avenida Boedo, fragmentado a lo largo de la avenida.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R14,34,Qué mide la cifra,"79 registros de un directorio comercial en línea, con deduplicación conservadora. No equivale a locales en actividad hoy.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R14,34,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. La continuidad cultural de la avenida no equivale a un corredor gastronómico continuo.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R15,35,Qué muestra este mapa,"Área aproximada del polo de Devoto, con su núcleo estable en torno de Plaza Arenales.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R15,35,Qué mide la cifra,"119 registros de un directorio comercial en línea, con deduplicación conservadora. No equivale a locales en actividad hoy.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R15,35,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. La periferia del polo no está estabilizada y la lectura no se extiende a Villa Pueyrredón ni Villa del Parque.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R16,38,Qué muestra este mapa,"Área aproximada del doble eje de Donado y Holmberg, fragmentado por tramos.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R16,38,Qué mide la cifra,"40 registros de un directorio comercial en línea, con deduplicación conservadora. No equivale a locales en actividad hoy.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R16,38,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. No forma una envolvente única ni se fusiona con Villa Urquiza.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R17,39,Qué muestra este mapa,"Área aproximada del polo de Villa Urquiza. De sus tres ejes internos —Triunvirato, Monroe y Congreso— el mapa ubica el de Triunvirato, único con trazado cerrado en el corpus.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 BLOQUEADO-02,principal
R17,39,Qué mide la cifra,"189 registros de un directorio comercial en línea, con deduplicación conservadora. No equivale a locales en actividad hoy.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 BLOQUEADO-02,principal
R17,39,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. Villa Urquiza no absorbe la referencia de Donado y Holmberg.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0]; DECISIONES_AUTONOMAS_V2 BLOQUEADO-02,principal
R18,41,Qué muestra este mapa,Área de consulta de 400 metros en torno del cruce de Esmeralda y Paraguay.,caracterizacion[0]; cifra; detalle_cuantitativo[0]; regla_construccion GA-R18-CS07; DECISIONES_AUTONOMAS_V2 D-5a,principal
R18,41,Qué mide la cifra,"Al menos 216 establecimientos. Es un piso de lo censado, no un conteo completo ni locales en actividad hoy.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; regla_construccion GA-R18-CS07; DECISIONES_AUTONOMAS_V2 D-5a,principal
R18,41,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. El círculo es el radio con que se consultó la zona, no un núcleo demostrado: la referencia no tiene centro radial probado.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; regla_construccion GA-R18-CS07; DECISIONES_AUTONOMAS_V2 D-5a,principal
R19,45,Qué muestra este mapa,"Los dos tramos independientes de la referencia de Federico Lacroze, entre Libertador y Cabildo y entre Cabildo y Álvarez Thomas.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo,principal
R19,45,Qué mide la cifra,"Al menos 211 establecimientos, de los cuales 204 figuran en actividad y 7 cerrados temporalmente. Es un piso de lo censado.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo,principal
R19,45,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. Los dos tramos no son comparables entre sí y sus cifras no se suman; la referencia no se funde con Chacarita.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo,principal
R20,42,Qué muestra este mapa,"Tramo aproximado de oferta continua y modesta sobre García del Río, entre Cabildo y Parque Saavedra.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; observaciones GC-R20-BASE,principal
R20,42,Qué mide la cifra,"Al menos 40 establecimientos. Es un piso de lo censado, no un conteo completo ni locales en actividad hoy.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; observaciones GC-R20-BASE,principal
R20,42,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. El tramo no se prolonga antes de Cabildo ni dentro del parque, y no constituye un corredor.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; observaciones GC-R20-BASE,principal
R21,48,Qué muestra este mapa,"Área aproximada de la referencia de La Paternal, extensa y dispersa sobre una red de calles documentadas.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo,principal
R21,48,Qué mide la cifra,"Al menos 254 establecimientos, de los cuales 242 figuran en actividad y 12 cerrados temporalmente. Es un piso de lo censado.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo,principal
R21,48,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. No tiene un núcleo único demostrado ni geometría estabilizada, y no absorbe el borde de Villa Crespo.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; denominador_metodo,principal
R22,50,Qué muestra este mapa,"Marco de relevamiento de Villa Pueyrredón, con la oferta distribuida de manera extensa y heterogénea.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; rol GC-R22-FRAME; DECISIONES_AUTONOMAS_V2 D-5b,principal
R22,50,Qué mide la cifra,"Al menos 158 establecimientos. Es un piso de lo censado, no un conteo completo ni locales en actividad hoy.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; rol GC-R22-FRAME; DECISIONES_AUTONOMAS_V2 D-5b,principal
R22,50,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. El contorno es el marco con que se relevó el barrio, no un área gastronómica: la mayor densidad del centro y centro-este es una descripción, no un núcleo adoptado.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; rol GC-R22-FRAME; DECISIONES_AUTONOMAS_V2 D-5b,principal
R01,9,Qué muestra este mapa,"Ampliación de Las Cañitas, una de las tres subzonas del polo de Palermo.",complementarias[R01]; caracterizacion[0] de R01,detalle
R01,9,Qué mide la cifra,Referencia caracterizada; sin conteo comparable entre métodos.,complementarias[R01]; caracterizacion[0] de R01,detalle
R01,9,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. Las Cañitas no representa por sí sola al conjunto de Palermo.",complementarias[R01]; caracterizacion[0] de R01,detalle
R02,13,Qué muestra este mapa,"Vista conjunta del corredor de avenida Corrientes y del polo de Abasto, para mostrar su relación espacial.",complementarias[R02]; limitaciones_especificas de R02 y R13,detalle
R02,13,Qué mide la cifra,Ninguna de las dos referencias tiene conteo comparable con la otra.,complementarias[R02]; limitaciones_especificas de R02 y R13,detalle
R02,13,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. La vecindad no las convierte en una sola referencia: son vínculo y asociación, no equivalencia ni fusión.",complementarias[R02]; limitaciones_especificas de R02 y R13,detalle
R08,23,Qué muestra este mapa,Los tres puntos de Villa Crespo donde el relevamiento alcanzó su tope de resultados y no pudo seguir contando.,complementarias[R08]; SATURACIONES_RESIDUALES_CATEGORY_SPLIT_V4_4.csv,detalle
R08,23,Qué mide la cifra,646 registros relevados en Villa Crespo; en esos tres puntos el conteo quedó incompleto por tope de la consulta.,complementarias[R08]; SATURACIONES_RESIDUALES_CATEGORY_SPLIT_V4_4.csv,detalle
R08,23,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. Los tres círculos marcan un límite del relevamiento, no una concentración de oferta.",complementarias[R08]; SATURACIONES_RESIDUALES_CATEGORY_SPLIT_V4_4.csv,detalle
R12,32,Qué muestra este mapa,"Las subunidades del Centro y el Microcentro ampliadas, cada una con su nombre.",complementarias[R12]; detalle_cuantitativo[0] de R12,detalle
R12,32,Qué mide la cifra,"Al menos 797 establecimientos únicos en el conjunto. Cada subunidad tiene su propio piso, y 143 establecimientos pertenecen a dos subunidades a la vez.",complementarias[R12]; detalle_cuantitativo[0] de R12,detalle
R12,32,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. Las subunidades no se suman entre sí ni se ordenan en un ranking, porque comparten establecimientos.",complementarias[R12]; detalle_cuantitativo[0] de R12,detalle
R15,36,Qué muestra este mapa,El polo de Devoto ampliado. Su núcleo estable se organiza en torno de Plaza Arenales; el mapa no lo delimita como pieza propia.,complementarias[R15]; caracterizacion[0] de R15; DECISIONES_AUTONOMAS_V2 BLOQUEADO-03,detalle
R15,36,Qué mide la cifra,"119 registros de un directorio comercial en línea, con deduplicación conservadora.",complementarias[R15]; caracterizacion[0] de R15; DECISIONES_AUTONOMAS_V2 BLOQUEADO-03,detalle
R15,36,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. El corpus no cerró un trazado propio para el núcleo, así que el mapa muestra el polo completo y no delimita el núcleo.",complementarias[R15]; caracterizacion[0] de R15; DECISIONES_AUTONOMAS_V2 BLOQUEADO-03,detalle
R19,46,Qué muestra este mapa,"Los dos tramos de Federico Lacroze en detalle, con su zona de contacto en torno de Cabildo.",complementarias[R19]; denominador_metodo de R19,detalle
R19,46,Qué mide la cifra,Al menos 211 establecimientos en el conjunto; cada tramo tiene su propio piso y no se suman.,complementarias[R19]; denominador_metodo de R19,detalle
R19,46,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. Que los tramos se toquen no demuestra que la oferta sea continua entre ellos.",complementarias[R19]; denominador_metodo de R19,detalle
R20,43,Qué muestra este mapa,"El extremo de García del Río junto a Parque Saavedra, con el parque señalado como área de control.",complementarias[R20]; observaciones GC-R20-BASE,detalle
R20,43,Qué mide la cifra,Al menos 40 establecimientos en el tramo. El parque no aporta registros: se usó para verificar que el tramo no se extendiera dentro de él.,complementarias[R20]; observaciones GC-R20-BASE,detalle
R20,43,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. El parque no integra la referencia.",complementarias[R20]; observaciones GC-R20-BASE,detalle
