referencia_id,campo,valor_v1,valor_v2,cifras_v1,cifras_v2,resultado
R06,detalle_cuantitativo,"Sin cifra canónica comparable disponible para publicación. | Relevamiento cartográfico previo, solo técnico: universo 767; 602 puntos incluidos; cobertura 78,49 %; 1 componente público; superficie 1,218 km²; densidad 494,2 puntos/km²; estabilidad 0,626; dependencia externa 46,51 %; 165 puntos sin asignar. | Los 9 núcleos analíticos no se publican ni se convierten en subreferencias.","Sin cifra canónica comparable disponible para publicación. | Relevamiento cartográfico previo, solo técnico: universo 767; 602 puntos incluidos; cobertura 78,49 %; 1 componente público; superficie 1,218 km²; densidad 494,2 puntos/km²; estabilidad 0,626; dependencia externa 46,51 %; 165 puntos sin asignar. | Los 9 núcleos analíticos no se publican ni se convierten en subreferencias.",,,PASS
R07,cifra,72 (universo conciliado del relevamiento previo; histórico metodológico) | 4 componentes (descriptiva pública),72 (universo conciliado del relevamiento previo; histórico metodológico) | 4 componentes (descriptiva pública),,,PASS
R07,naturaleza,historica_metodologica,historica_metodologica,,,PASS
R07,denominador_metodo,KPI_LOCK relevamiento previo,KPI_LOCK relevamiento previo,,,PASS
R07,detalle_cuantitativo,"Relevamiento cartográfico previo: universo conciliado histórico 72; 71 puntos incluidos; cobertura 98,61 %; 4 componentes; 5 piezas topológicas; superficie 0,3922 km²; densidad 181,0 puntos/km²; estabilidad 0,77; dependencia externa 92,96 %; 1 punto sin asignar. | La cifra pública descriptiva autorizada es 4 componentes; el universo y los puntos son históricos metodológicos.","Relevamiento cartográfico previo: universo conciliado histórico 72; 71 puntos incluidos; cobertura 98,61 %; 4 componentes; 5 piezas topológicas; superficie 0,3922 km²; densidad 181,0 puntos/km²; estabilidad 0,77; dependencia externa 92,96 %; 1 punto sin asignar. | La cifra pública descriptiva autorizada es 4 componentes; el universo y los puntos son históricos metodológicos.",,,PASS
R08,cifra,646,646,,,PASS
R08,naturaleza,exacta,exacta,,,PASS
R08,denominador_metodo,recuento con deduplicación conservadora Z01 (RESUMEN_UNIVERSOS_TANDA1_V4_4),recuento con deduplicación conservadora Z01 (RESUMEN_UNIVERSOS_TANDA1_V4_4),,,PASS
R08,detalle_cuantitativo,"646 registros con deduplicación conservadora: capas administrativas 178, directorio comercial en línea 467 y 1 coincidencia mixta. | Universos de sensibilidad: bruto 686, estricto 656, sensibilidad 659. Tres consultas de categoría restaurante quedaron saturadas en 20 resultados y se aceptaron como limitación final.","646 registros con deduplicación conservadora: capas administrativas 178, directorio comercial en línea 467 y 1 coincidencia mixta. | Universos de sensibilidad: bruto 686, estricto 656, sensibilidad 659. Tres consultas de categoría restaurante quedaron saturadas en 20 resultados y se aceptaron como limitación final.",,,PASS
R09,cifra,327,327,,,PASS
R09,naturaleza,exacta,exacta,,,PASS
R09,denominador_metodo,recuento con deduplicación conservadora Z02,recuento con deduplicación conservadora Z02,,,PASS
R09,detalle_cuantitativo,"327 registros con deduplicación conservadora: capas administrativas 115, directorio comercial en línea 211 y 1 coincidencia mixta. | Universos de sensibilidad: bruto 346, estricto 332, sensibilidad 336. Sin saturaciones residuales.","327 registros con deduplicación conservadora: capas administrativas 115, directorio comercial en línea 211 y 1 coincidencia mixta. | Universos de sensibilidad: bruto 346, estricto 332, sensibilidad 336. Sin saturaciones residuales.",,,PASS
R10,cifra,907,907,,,PASS
R10,naturaleza,exacta,exacta,,,PASS
R10,denominador_metodo,recuento con deduplicación conservadora Z03,recuento con deduplicación conservadora Z03,,,PASS
R10,detalle_cuantitativo,"907 registros con deduplicación conservadora: capas administrativas 265 y directorio comercial en línea 642. | Universos de sensibilidad: bruto 985, estricto 924, sensibilidad 946. Sin saturaciones residuales. | Los conteos de S4 y controles no forman parte de una lectura cartográfica activa.","907 registros con deduplicación conservadora: capas administrativas 265 y directorio comercial en línea 642. | Universos de sensibilidad: bruto 985, estricto 924, sensibilidad 946. Sin saturaciones residuales. | Los conteos de S4 y controles no forman parte de una lectura cartográfica activa.",,,PASS
R11,cifra,66,66,,,PASS
R11,naturaleza,exacta,exacta,,,PASS
R11,denominador_metodo,recuento con deduplicación conservadora Z04; 0 category-split,recuento con deduplicación conservadora Z04; 0 category-split,,,PASS
R11,detalle_cuantitativo,"66 registros con deduplicación conservadora: capas administrativas 19, directorio comercial en línea 46 y 1 coincidencia mixta. | Universos de sensibilidad: bruto 69, estricto 67, sensibilidad 67. No hubo desagregación por categoría | 47 puntos quedaron a 250 m del eje documentado; la métrica no demuestra un corredor continuo.","66 registros con deduplicación conservadora: capas administrativas 19, directorio comercial en línea 46 y 1 coincidencia mixta. | Universos de sensibilidad: bruto 69, estricto 67, sensibilidad 67. No hubo desagregación por categoría | 47 puntos quedaron a 250 m del eje documentado; la métrica no demuestra un corredor continuo.",,,PASS
R12,cifra,≥797,≥797,≥797,≥797,PASS
R12,naturaleza,cota_inferior,cota_inferior,,,PASS
R12,denominador_metodo,Cota inferior censada Grupo A corrección técnica; no sumar subunidades superpuestas,Cota inferior censada Grupo A corrección técnica; no sumar subunidades superpuestas,,,PASS
R12,detalle_cuantitativo,"≥797 establecimientos únicos; ≥940 pertenencias a subunidades; 143 dobles; reconciliación: 654 con una pertenencia a una subunidad, 143 con dos y 0 con tres o más. | Grupo A: 79/326 combinaciones de consulta (24,2 %) alcanzaron el máximo de 20; de categoría restaurante 51/64 saturadas. | Piso censado; no es conteo completo ni locales activos","≥797 establecimientos únicos; ≥940 pertenencias a subunidades; 143 dobles; reconciliación: 654 con una pertenencia a una subunidad, 143 con dos y 0 con tres o más. | Grupo A: 79/326 combinaciones de consulta (24,2 %) alcanzaron el máximo de 20; de categoría restaurante 51/64 saturadas. | Piso censado; no es conteo completo ni locales activos",≥797 ≥940,≥797 ≥940,PASS
R13,cifra,≥314,≥314,≥314,≥314,PASS
R13,naturaleza,cota_inferior,cota_inferior,,,PASS
R13,denominador_metodo,Cota inferior Grupo A corrección técnica,Cota inferior Grupo A corrección técnica,,,PASS
R13,detalle_cuantitativo,"≥314 como cota inferior. Tramos técnicos: ≥91, ≥115 y ≥108; no muestran gradiente longitudinal. | Rectángulo mínimo rotado aproximado: 1.750 × 738 m; diagnóstico descriptivo, no delimitación. | Piso censado; no es conteo completo ni locales activos","≥314 como cota inferior. Tramos técnicos: ≥91, ≥115 y ≥108; no muestran gradiente longitudinal. | Rectángulo mínimo rotado aproximado: 1.750 × 738 m; diagnóstico descriptivo, no delimitación. | Piso censado; no es conteo completo ni locales activos","≥314 ≥91, ≥115 ≥108","≥314 ≥91, ≥115 ≥108",PASS
R14,cifra,79,79,,,PASS
R14,naturaleza,exacta,exacta,,,PASS
R14,denominador_metodo,directorio comercial en línea recuento con deduplicación conservadora E-PLACES (RESUMEN_UNIVERSOS_TANDA2_V1); capas administrativas no sumar a ciegas,directorio comercial en línea recuento con deduplicación conservadora E-PLACES (RESUMEN_UNIVERSOS_TANDA2_V1); capas administrativas no sumar a ciegas,,,PASS
R14,detalle_cuantitativo,"79 registros del directorio comercial en línea, con deduplicación conservadora, fecha de corte 2026-07-13. | Capas separadas del mismo corte: capas administrativas 4 y 188. No se suman a directorio comercial en línea ni se usan para inflar el indicador.","79 registros del directorio comercial en línea, con deduplicación conservadora, fecha de corte 2026-07-13. | Capas separadas del mismo corte: capas administrativas 4 y 188. No se suman a directorio comercial en línea ni se usan para inflar el indicador.",,,PASS
R15,cifra,119,119,,,PASS
R15,naturaleza,exacta,exacta,,,PASS
R15,denominador_metodo,directorio comercial en línea recuento con deduplicación conservadora E-PLACES,directorio comercial en línea recuento con deduplicación conservadora E-PLACES,,,PASS
R15,detalle_cuantitativo,"119 registros del directorio comercial en línea, con deduplicación conservadora, fecha de corte 2026-07-13. | Capas separadas: capas administrativas 20 y 484; no aditivas con directorio comercial en línea.","119 registros del directorio comercial en línea, con deduplicación conservadora, fecha de corte 2026-07-13. | Capas separadas: capas administrativas 20 y 484; no aditivas con directorio comercial en línea.",,,PASS
R16,cifra,40,40,,,PASS
R16,naturaleza,exacta,exacta,,,PASS
R16,denominador_metodo,directorio comercial en línea recuento con deduplicación conservadora E-PLACES,directorio comercial en línea recuento con deduplicación conservadora E-PLACES,,,PASS
R16,detalle_cuantitativo,"40 registros del directorio comercial en línea, con deduplicación conservadora, fecha de corte 2026-07-13. | Capas separadas: capas administrativas 1 y 93; no aditivas con directorio comercial en línea.","40 registros del directorio comercial en línea, con deduplicación conservadora, fecha de corte 2026-07-13. | Capas separadas: capas administrativas 1 y 93; no aditivas con directorio comercial en línea.",,,PASS
R17,cifra,189,189,,,PASS
R17,naturaleza,exacta,exacta,,,PASS
R17,denominador_metodo,directorio comercial en línea recuento con deduplicación conservadora E-PLACES,directorio comercial en línea recuento con deduplicación conservadora E-PLACES,,,PASS
R17,detalle_cuantitativo,"189 registros del directorio comercial en línea, con deduplicación conservadora, fecha de corte 2026-07-13. | Capas separadas: capas administrativas 21 y 676; no aditivas con directorio comercial en línea.","189 registros del directorio comercial en línea, con deduplicación conservadora, fecha de corte 2026-07-13. | Capas separadas: capas administrativas 21 y 676; no aditivas con directorio comercial en línea.",,,PASS
R18,cifra,≥216,≥216,≥216,≥216,PASS
R18,naturaleza,cota_inferior,cota_inferior,,,PASS
R18,denominador_metodo,Cota inferior Grupo A corrección técnica,Cota inferior Grupo A corrección técnica,,,PASS
R18,detalle_cuantitativo,"≥216 como cota inferior. | Densidades mínimas por anillos efectivos: 0–100 m ≥12 / ≥381,97 registros/km²; 100–200 m ≥53 / ≥562,35 registros/km²; 200–300 m ≥89 / ≥566,60 registros/km²; 300–400 m ≥62 / ≥282,97 registros/km². | Piso censado; no es conteo completo ni locales activos","≥216 como cota inferior. | Densidades mínimas por anillos efectivos: 0–100 m ≥12 / ≥381,97 registros/km²; 100–200 m ≥53 / ≥562,35 registros/km²; 200–300 m ≥89 / ≥566,60 registros/km²; 300–400 m ≥62 / ≥282,97 registros/km². | Piso censado; no es conteo completo ni locales activos","≥216 ≥12 ≥381,97 ≥53 ≥562,35 ≥89 ≥566,60 ≥62 ≥282,97","≥216 ≥12 ≥381,97 ≥53 ≥562,35 ≥89 ≥566,60 ≥62 ≥282,97",PASS
R19,cifra,≥211,≥211,≥211,≥211,PASS
R19,naturaleza,cota_inferior,cota_inferior,,,PASS
R19,denominador_metodo,Cota inferior Grupo B; LAC-T1≥112 y LAC-T2≥138 no comparables entre sí; no sumar a ciegas,Cota inferior Grupo B; el tramo Libertador–Cabildo≥112 y el tramo Cabildo–Álvarez Thomas≥138 no comparables entre sí; no sumar a ciegas,≥112 ≥138,≥112 ≥138,PASS
R19,detalle_cuantitativo,"≥211 deduplicados; estado declarado 204 en actividad, 7 cerrados temporalmente y 0 cerrados en forma permanente. | LAC-T1: ≥112, 5 centros, radio 250 m, 3/25 saturadas, ≥22,4 registros/centro. LAC-T2: ≥138, 7 centros, radio 225 m, 2/35 saturadas, ≥19,7 registros/centro. | R19 tuvo 60 consultas de red y 5 consultas de categoría restaurante saturadas; registros por centro no equivalen a densidad. | Piso censado; no es conteo completo ni locales activos","≥211 deduplicados; estado declarado 204 en actividad, 7 cerrados temporalmente y 0 cerrados en forma permanente. | el tramo Libertador–Cabildo: ≥112, 5 centros, radio 250 m, 3/25 saturadas, ≥22,4 registros/centro. el tramo Cabildo–Álvarez Thomas: ≥138, 7 centros, radio 225 m, 2/35 saturadas, ≥19,7 registros/centro. | R19 tuvo 60 consultas de red y 5 consultas de categoría restaurante saturadas; registros por centro no equivalen a densidad. | Piso censado; no es conteo completo ni locales activos","≥211 ≥112, ≥22,4 ≥138, ≥19,7","≥211 ≥112, ≥22,4 ≥138, ≥19,7",PASS
R20,cifra,≥40,≥40,≥40,≥40,PASS
R20,naturaleza,cota_inferior,cota_inferior,,,PASS
R20,denominador_metodo,Cota inferior Grupo C ZIP corregido; sat 1/20 de categoría restaurante,Cota inferior Grupo C ZIP corregido; sat 1/20 de categoría restaurante,,,PASS
R20,detalle_cuantitativo,"≥40 deduplicados a partir de 106 observaciones postfiltradas; 66 duplicados internos removidos; 38 identificadores observados en múltiples centros. | 20 consultas exitosas; 1/20 saturadas en la categoría restaurante; estado declarado 39 en actividad, 1 cerrado temporalmente y 0 cerrados en forma permanente. | Piso censado; no es conteo completo ni locales activos","≥40 deduplicados a partir de 106 observaciones postfiltradas; 66 duplicados internos removidos; 38 identificadores observados en múltiples centros. | 20 consultas exitosas; 1/20 saturadas en la categoría restaurante; estado declarado 39 en actividad, 1 cerrado temporalmente y 0 cerrados en forma permanente. | Piso censado; no es conteo completo ni locales activos",≥40,≥40,PASS
R21,cifra,≥254,≥254,≥254,≥254,PASS
R21,naturaleza,cota_inferior,cota_inferior,,,PASS
R21,denominador_metodo,Cota inferior Grupo B; R21-OESTE≥237 componente provisional; R21-BORDE=19 observado no comparable,Cota inferior Grupo B; la red occidental de calles documentadas≥237 componente provisional; el borde Rojas–Honorio Pueyrredón=19 observado no comparable,≥237,≥237,PASS
R21,detalle_cuantitativo,"≥254 deduplicados; estado declarado 242 en actividad, 12 cerrados temporalmente y 0 cerrados en forma permanente. | R21-OESTE: ≥237, 22 centros, radio 300 m, 4/110 saturadas, ≥10,8 registros/centro. R21-BORDE: 19 observados, 3 centros, radio 200 m, 0/15 saturadas y 6,3 registros/centro. | Diagonal aproximada 4,01 km y vecino más próximo mediano 36 m: métricas descriptivas, no evidencia de una forma adoptable. | Piso censado; no es conteo completo ni locales activos","≥254 deduplicados; estado declarado 242 en actividad, 12 cerrados temporalmente y 0 cerrados en forma permanente. | la red occidental de calles documentadas: ≥237, 22 centros, radio 300 m, 4/110 saturadas, ≥10,8 registros/centro. el borde Rojas–Honorio Pueyrredón: 19 observados, 3 centros, radio 200 m, 0/15 saturadas y 6,3 registros/centro. | Diagonal aproximada 4,01 km y vecino más próximo mediano 36 m: métricas descriptivas, no evidencia de una forma adoptable. | Piso censado; no es conteo completo ni locales activos","≥254 ≥237, ≥10,8","≥254 ≥237, ≥10,8",PASS
R22,cifra,≥158,≥158,≥158,≥158,PASS
R22,naturaleza,cota_inferior,cota_inferior,,,PASS
R22,denominador_metodo,Cota inferior Grupo C ZIP corregido; sat 6/70 de categoría restaurante; grilla neutral 600 m,Cota inferior Grupo C ZIP corregido; sat 6/70 de categoría restaurante; grilla neutral 600 m,,,PASS
R22,detalle_cuantitativo,"≥158 deduplicados a partir de 294 observaciones postfiltradas; 136 duplicados internos removidos; 84 identificadores observados en múltiples centros. | 70 consultas exitosas; 6/70 saturadas en la categoría restaurante; estado declarado 152 en actividad, 6 cerrados temporalmente y 0 cerrados en forma permanente. | Separación con R20: aproximadamente 3.432,9 m y 0 identificadores compartidos; el universo combinado está prohibido. | Piso censado; no es conteo completo ni locales activos","≥158 deduplicados a partir de 294 observaciones postfiltradas; 136 duplicados internos removidos; 84 identificadores observados en múltiples centros. | 70 consultas exitosas; 6/70 saturadas en la categoría restaurante; estado declarado 152 en actividad, 6 cerrados temporalmente y 0 cerrados en forma permanente. | Separación con R20: aproximadamente 3.432,9 m y 0 identificadores compartidos; el universo combinado está prohibido. | Piso censado; no es conteo completo ni locales activos",≥158,≥158,PASS
