polo,establecimiento,direccion,tipo,reconocimiento,dentro_del_borde,distancia_m,sostiene_condicion_historia,zona_id,origen_del_dato,ubicacion_metodo,estado_vigencia,borde_tentativo,borde_es_propio
R03 · San Telmo,Bar El Federal,Carlos Calvo 595,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R03,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R04 · Puerto Madero,Cabaña Las Lilas,Avenida Alicia Moreau de Justo 516,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R04,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R04 · Puerto Madero,El Mercado (Faena),Martha Salotti 445,Ranking internacional,Latin America's 50 Best Restaurants 2025,si,0.0,"si (distinción contemporánea, no trayectoria)",R04,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R04 · Puerto Madero,Estilo Campo,"MOREAU DE JUSTO, ALICIA AV. 1840",Restaurante Icónico,Restaurante Icónico,si,0.0,si,R04,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R04 · Puerto Madero,Marcelo Restaurante,"MOREAU DE JUSTO, ALICIA AV. 1140",Restaurante Icónico,Restaurante Icónico,si,0.0,si,R04,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R04 · Puerto Madero,Michel Rolland Grill & Wine,Juana Manso 1760,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R04,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R04 · Puerto Madero,Sorrento,"MOREAU DE JUSTO, ALICIA AV. 420",Restaurante Icónico,Restaurante Icónico,si,0.0,si,R04,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R05 · Belgrano,CASA WATSON,Vuelta de Obligado 2072,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,58.6,no,R05,la página,punto de la capa de reconocimiento,ABIERTO,no,si
R05 · Belgrano,Casa Burgio,Av. Cabildo 2477,Pizzería emblemática,APYCE + GCBA (2025),no,12.9,no,R05,la página,punto de la capa de reconocimiento,si,no,si
R05 · Belgrano,Mercado de Belgrano,Av. Juramento 2527,Mercado/patio,Mercado o patio documentado,si,0.0,no,R05,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R05 · Belgrano,Sucre,,,,sin ubicar,,no,R05,la página,sin ubicar,,no,si
R06 · Recoleta,Presencia,Montevideo 1789,MICHELIN,Recomendado/seleccionado,no,224.2,no,R06,la página,punto de la capa de reconocimiento,sin_verificar,no,si
R06 · Recoleta,Josephina's Cafe,Guido 1532,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,82.8,no,R06,la página,punto de la capa de reconocimiento,ABIERTO,no,si
R06 · Recoleta,Aramburu,Vicente López 1661,MICHELIN,Dos Estrellas,si,0.0,"si (distinción contemporánea, no trayectoria)",R06,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R06 · Recoleta,BAR DEL ALVEAR PALACE HOTEL,Av. Alvear 1891,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R06,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R06 · Recoleta,Bis Bistró,Vicente López 1661 Local 12,MICHELIN,Bib Gourmand,si,0.0,"si (distinción contemporánea, no trayectoria)",R06,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R06 · Recoleta,Casa Veltri,Juncal 1642,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R06,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R06 · Recoleta,Fervor,Posadas 1519,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R06,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R06 · Recoleta,LA BIELA,Av. Quintana 600,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R06,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R06 · Recoleta,Los Maestros,Parana 1249,Pizzería emblemática,APYCE + GCBA (2026),si,0.0,si,R06,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R06 · Recoleta,Restaurante Oviedo,BERUTI 2602,Restaurante Icónico,Restaurante Icónico,si,0.0,si,R06,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R06 · Recoleta,Roux,Peña 2300,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R06,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R07 · Costanera Norte,Happening,"OBLIGADO RAFAEL, AV.COSTANERA 7030",Restaurante Icónico,Restaurante Icónico,si,0.0,si,R07,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R07 · Costanera Norte,Patio Costanera Norte,Avenida Costanera Rafael Obligado 7010,Mercado/patio,Mercado o patio documentado,si,0.0,no,R07,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R08 · Villa Crespo,Horta,Aguirre 1080,MICHELIN,Recomendado/seleccionado,no,0.2,no,R08,la página,punto de la capa de reconocimiento,sin_verificar,no,si
R08 · Villa Crespo,Alcanfor,Aguirre 949,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R08,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R08 · Villa Crespo,Fico,Muñecas 775,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R08,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R08 · Villa Crespo,Han,Vera 966,MICHELIN,Una Estrella,si,0.0,"si (distinción contemporánea, no trayectoria)",R08,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R08 · Villa Crespo,Julia,Loyola 807,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R08,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R08 · Villa Crespo,SAN BERNARDO,Av. Corrientes 5436,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R08,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R08 · Villa Crespo,Trescha,Murillo 725,MICHELIN,Una Estrella,si,0.0,"si (distinción contemporánea, no trayectoria)",R08,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R09 · Chacarita,ANAFE,Virrey Avilés 3216,MICHELIN,Bib Gourmand,no,872.4,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R09 · Chacarita,Ácido,Charlone 999,MICHELIN,Bib Gourmand,no,431.0,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R09 · Chacarita,Osaka Concepción,Concepción Arenal 2913,MICHELIN,Recomendado/seleccionado,no,420.6,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R09 · Chacarita,Bar Conde,Federico Lacroze 3193,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,159.7,si,R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R09 · Chacarita,Ajo Negro - Mar de Tapas,Avenida Córdoba 6237,MICHELIN,Bib Gourmand,no,62.0,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R09 · Chacarita,Picarón,Avenida Dorrego 866,MICHELIN,Recomendado/seleccionado,no,8.6,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R09 · Chacarita,Albamonte Ristorante,CORRIENTES AV. 6735,Restaurante Icónico,Restaurante Icónico,si,0.0,si,R09R19_CHACAGIALES,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R09 · Chacarita,Anchoíta,Juan Ramírez de Velasco 1520,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R09 · Chacarita,CAFE PALACIO,Av. Federico Lacroze 3901,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R10 · Caballito,Plaza Café,Av. Rivadavia 4732,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,453.2,no,R10,la página,punto de la capa de reconocimiento,ABIERTO,no,si
R10 · Caballito,Confiteria El Greco,Av. Rivadavia 5353,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R10,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R10 · Caballito,Mercado del Progreso,Av. Rivadavia 5430,Mercado/patio,Mercado o patio documentado,si,0.0,no,R10,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R11 · Boulevard Caseros,Britanico,Brasil 399,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R11,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,36 BILLARES,Av. de Mayo 1265,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,Bar Bidou,Av. Roque Saenz Pena 858,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,Bar Iberia,Av. de Mayo 1196,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,Café Tortoni,Av. de Mayo 825,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,Claridge's,Tucuman 535,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,Confiteria Saint Moritz,Esmeralda 894,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,Confitería Ideal,Suipacha 384,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,El Imparcial,"YRIGOYEN, HIPOLITO 1201",Restaurante Icónico,Restaurante Icónico,si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,probablemente_abierto,no,si
R12 · Centro y Microcentro,El Palacio de la Pizza,Av. Corrientes 751,Pizzería emblemática,APYCE + GCBA (2026),si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R12 · Centro y Microcentro,El Querandi,Peru 302,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,FLORIDA GARDEN,Florida 899,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,Guerrin,Av. Corrientes 1368,Pizzería emblemática,APYCE + GCBA (2025),si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R12 · Centro y Microcentro,LA GIRALDA,Av. Corrientes 1453,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,LA PUERTO RICO,Alsina 420,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,Las Cuartetas,Av. Corrientes 838,Pizzería emblemática,APYCE + GCBA (2025),si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R12 · Centro y Microcentro,Le Caravelle,Lavalle 726,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,PLAZA BAR,Florida 1005,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,CERRADO,no,si
R12 · Centro y Microcentro,Paulin,Sarmiento 635,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,Petit Colón,Libertad 505,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R12 · Centro y Microcentro,Tancat,PARAGUAY 645,Restaurante Icónico,Restaurante Icónico,si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,si,no,si
R12 · Centro y Microcentro,The New Brighton,Sarmiento 645,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO EN QUIEBRA,no,si
R12 · Centro y Microcentro,Zum Edelweiss,LIBERTAD 431,Restaurante Icónico,Restaurante Icónico,si,0.0,si,R12,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R13 · Abasto,Roma del Abasto,Anchorena 806,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,184.5,no,R13,la página,punto de la capa de reconocimiento,ABIERTO,no,si
R13 · Abasto,EL SIMBOLO,Av. Corrientes 3787,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R13,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R13 · Abasto,El Banderin,Guardia Vieja 3601,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R13,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R13 · Abasto,Pin Pun,Av. Corrientes 3954,Pizzería emblemática,APYCE + GCBA (2025),si,0.0,si,R13,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R14 · Avenida Boedo,Café Margot,Av. Boedo 857,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R14,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R14 · Avenida Boedo,Esquina Homero Manzi,Av. San Juan 3601,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R14,la capa de reconocimiento,punto de la capa de reconocimiento,EN RIESGO,no,si
R14 · Avenida Boedo,San Antonio,Av. Juan de Garay 3602,Pizzería emblemática,APYCE + GCBA (2026),si,0.0,si,R14,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R15 · Devoto,Café de García,Sanabria 3302,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R15,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R15 · Devoto,Gran Pizzeria Jose,Av. San Martin 6915,Pizzería emblemática,APYCE + GCBA (2026),si,0.0,si,R15,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R15 · Devoto,STYLO CAFE,Fernandez de Enciso 3934,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R15,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R17 · Villa Urquiza,Cafe de la U,Av. Triunvirato 4801,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R17,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R19 · Federico Lacroze,ANAFE,Virrey Avilés 3216,MICHELIN,Bib Gourmand,no,612.3,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R19 · Federico Lacroze,Osaka Concepción,Concepción Arenal 2913,MICHELIN,Recomendado/seleccionado,no,228.3,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R19 · Federico Lacroze,Ajo Negro - Mar de Tapas,Avenida Córdoba 6237,MICHELIN,Bib Gourmand,si,0.0,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R19 · Federico Lacroze,Albamonte Ristorante,CORRIENTES AV. 6735,Restaurante Icónico,Restaurante Icónico,si,0.0,si,R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R19 · Federico Lacroze,Anchoíta,Juan Ramírez de Velasco 1520,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R19 · Federico Lacroze,Bar Conde,Federico Lacroze 3193,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R09R19_CHACAGIALES,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R19 · Federico Lacroze,CAFE PALACIO,Av. Federico Lacroze 3901,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R19 · Federico Lacroze,Picarón,Avenida Dorrego 866,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R19 · Federico Lacroze,Ácido,Charlone 999,MICHELIN,Bib Gourmand,si,0.0,"si (distinción contemporánea, no trayectoria)",R09R19_CHACAGIALES,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R21 · La Paternal,MN Santa Inés,Ávalos 360,MICHELIN,Bib Gourmand,si,0.0,"si (distinción contemporánea, no trayectoria)",R21,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R21 · La Paternal,Santolin,Av. San Martin 3185,Heladería histórica,AFADHYA notables (2025-11),si,0.0,si,R21,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R21 · La Paternal,Torino Norte,Av. Juan B. Justo 3995,Pizzería emblemática,APYCE + GCBA (2026),si,0.0,si,R21,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Kosher City,Paez 2395,,,no,603.6,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Matok,Paez 2433,,,no,503.8,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Soultani,Cuenca 515,,,no,27.9,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Barthale,Ruperto Godoy 712,,,si,0.0,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Behar,Campana 349,,,si,0.0,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
Z24 · Flores · Avellaneda y Pasaje Ruperto Godoy,Bulmat,Ruperto Godoy 731,,,si,0.0,no,Z24,la página,"altura de puerta contra el callejero (centro de cuadra, ±½ cuadra)",,no,si
