defecto_id,fuente,regla_de_deteccion,clase,que_prohibe,que_sigue_valiendo,severidad,evidencia,detectado,detectado_por
FD-11,canal26.com desfasa la fecha de la URL respecto de la de los metadatos,Comparar ruta y metadatos.,carga diferida · ronda 9,"Tomar SIEMPRE la mas vieja de las dos. Es trivial salvo en el borde de una ventana, y Casa Burgio esta exactamente en ese borde.",,,Un dia de diferencia en los dos casos verificados: URL /2026/02/22/ contra meta 21/02; URL /2026/05/06/ contra meta 06/05 23:00.,2026-08-07,fase documental · fuentes_con_defecto_FD08_FD12.csv
FD-12,yelp.com,el título del resultado de búsqueda expone «CLOSED - Updated <mes> <año>» y el dominio bloquea por robots.txt: la marca se ve y no se puede abrir,marca de cierre visible e inauditable,"leer la marca de cierre como evidencia de cierre, o dejarla como duda que baja el veredicto de una ficha",nada de la ficha: no se puede abrir para saber de cuándo es,descarte de la señal; se registra y nunca se convierte en veredicto,"CASO PROBADO: Yelp marcaba «EL BOLICHE DE ROBERTO - CLOSED - Updated July 2026» sobre Bulnes 331 (H045). Diego verificó el establecimiento ABIERTO el 07/08/2026. La marca era falsa, y contradecía además la actividad de usuario de fines de marzo de 2026 (check-ins de Untappd del 25/03) que la tanda ya había registrado. Un cerrado inauditable no cierra nada — y acá se probó que además puede ser falso",2026-08-07,cowork · tanda B (señal) + verificación humana de Diego (prueba)
FD-13,carta.menu — FABRICA LA FECHA DE ACTUALIZACION CON FIRMA DE USUARIO,Comparar la fecha estampada con la fecha real de la resena del usuario nombrado.,carga diferida · ronda 9,ES RECENCIA SINTETICA CON FIRMA DE USUARIO: mas enganosa que un re-sellado comun porque SIMULA TRAZABILIDAD. Ninguna fecha de carta.menu computa.,,,"Estampa 'Ultima actualizacion: <fecha reciente> desde: <nombre de usuario>' donde el usuario nombrado tiene su resena real ANOS ANTES. En El Cedron dice actualizado el 12/07/2026 'desde: Naara', pero la resena de Naara es del 13/01/2024. En Cafe Olimpo dice 17/01/2026 'desde: Luis' con la resena mas nueva del 14/01/2024.",2026-08-07,fase documental · fuentes_con_defecto_FD13_FD15.csv
FD-14,ciudad.com.ar (Ciudad Magazine) — refrito con fecha fresca,"Ausencia de reporteo, ilustracion con capturas de mapas.",carga diferida · ronda 9,"Mismo mecanismo del lavado de recencia. Fecha nueva, cuerpo sin reporteo: no acredita.",,,"La nota del 11/05/2026 sobre El Fortin no tiene visita ni entrevista: es una receta de pizza al molde ilustrada con capturas de Google Maps, colgada del prestigio del local.",2026-08-07,fase documental · fuentes_con_defecto_FD13_FD15.csv
FD-15,festivalesba.org — padron sin fecha con copyright del ano en curso,El listado no se vincula a ninguna edicion fechada del evento.,carga diferida · ronda 9,"Ni siquiera el sitio del ORGANIZADOR acredita vigencia si publica un padron sin fecha. La regla de la sede nombrada por el organizador exige que sea una EDICION FECHADA, no un listado permanente.",,,"El sitio del organizador lista al 9 de Julio con su direccion, pero como PADRON sin fecha ni vinculo a una edicion concreta, con un '(c) 2026' al pie que no es fecha de actualizacion.",2026-08-07,fase documental · fuentes_con_defecto_FD13_FD15.csv
FD-16,"obras.buenosaires.gob.ar (portal de obras del GCBA, retirado)",dominio = obras.buenosaires.gob.ar Y la URL responde 302 a mantenimiento.buenosaires.gob.ar,dato normativo que sólo sobrevive en el SLUG de una URL,citar el contenido de la página como leído: el cuerpo no se pudo abrir y no hay corroboración en prosa,"el dato que viaja en el slug indexado, señalado SIEMPRE como lectura de slug y no como lectura de la fuente","se admite como ruta de rescate, nunca como cita","el tramo del CCCA de Av. Montes de Oca (entre Benito Quinquela Martín y Av. Martín García) existe hoy únicamente en el slug de la URL canónica del portal, indexada y reaparecida en dos búsquedas independientes. El portal fue retirado y hace 302 a mantenimiento.",2026-08-08,cowork · ronda 8
FD-17,cronista.com,dos notas del mismo dominio sobre el mismo establecimiento con antigüedades incompatibles,fabricación de antigüedad,tomar cualquiera de las dos cifras de antigüedad como dato,nada de la antigüedad; el resto de la nota se juzga aparte,"descarte del dato, no de la nota","dos notas sobre El Puentecito dicen «hace 150 años» y «hace 200 años». El mismo dominio ya tenía FD-01 por re-sellado masivo de archivo: además de re-sellar, fabrica antigüedades.",2026-08-08,cowork · ronda 8
FD-18,canal26.com y prensa que reetiqueta distinciones,una nota nombra una distinción con una etiqueta que no aparece en el organizador,reetiquetado editorial de una distinción real,copiar la etiqueta de prensa: registrar «salón de la fama porteño» crea en el Atlas una institución que no existe,"la distinción, con el nombre que le da su organizador: Pizzerías Emblemáticas de APyCE","descarte del nombre, no del hecho",Canal 26 llamó «salón de la fama porteño» a la lista de Pizzerías Emblemáticas de APyCE. El reconocimiento existe y está verificado contra apyce.org; el «salón de la fama» no existe en ningún lado.,2026-08-08,cowork · ronda 8
FD-19,fichas de establecimientos de buenosaires.gob.ar,dos fichas del mismo portal con el mismo registro institucional y fechas de última modificación separadas por años,fichas vivas y momias con el mismo tono,leer el tono institucional como señal de vigencia: no distingue una ficha editada este año de una inerte desde hace cinco,"la ficha, una vez fechada por su fecha de última modificación",obliga a fechar ficha por ficha antes de usarla,"la ficha de El Puentecito fue editada el 20/02/2026 y la de Los Campeones lleva inerte desde el 08/09/2021 —casi cinco años—, y las dos dicen frases institucionales del mismo estilo. La de Los Campeones aportaba «todo un emblema de la identidad de Barracas», que no tiene peso probatorio sobre el estado actual.",2026-08-08,cowork · ronda 8
FD-20,"La quiebra decretada leida como cierre — patron de titulo, no de medio","Separar el acto juridico del hecho operativo al leer. El titular hace la inferencia que la nota no hace. Se resuelve buscando evidencia POSTERIOR al acto: resena fechada que describa servicio, comunicado propio, visita con reporteo.",fase documental · archivo canónico,"UN ACTO JURIDICO NO ES UN HECHO OPERATIVO. Quiebra, concurso, condena laboral, contrato vencido, inmueble en venta y edicto en el BO son RIESGO y van al campo alerta_juridica con fecha, juzgado y fuente. NO TOCAN EL VEREDICTO DE VIGENCIA. Un cierre se acredita con evidencia de que dejo de atender.",,,"Siete medios cubren el decreto de quiebra de The New Brighton (18/03/2026, Juzgado Nac. 1a Inst. Comercial N 3) con titulares del tipo 'Adios a un bar notable' y 'Cierra un icono de la City'. EL CUERPO DE TODAS DICE 'decretaron la quiebra'. NINGUNA afirma que el local dejo de atender. En el regimen argentino la quiebra decretada admite continuacion de la explotacion.",2026-08-08,"fuentes_con_defecto_FD20_FD22.csv · The New Brighton fue cargado como cerrado por inferencia sobre un titular. Tiene resena de mayo de 2026, posterior a la quiebra, que describe servicio real con piano en vivo. Pasa de cerrado a en_riesgo."
FD-21,Campo de estado cuyo valor por defecto tiene forma de afirmacion positiva,Calibrar contra cierres de fecha conocida. En este set fallo a 280 dias sobre un cierre real y acerto a 3285.,fase documental · archivo canónico,v2b ACREDITA CIERRE CUANDO PLACES LO AFIRMA Y NO ACREDITA NADA CUANDO CALLA. Los 70 OPERATIONAL de la ronda 8 confirman CERO aperturas. Escribirlo en la capa antes de que alguien los lea al reves.,,,"business_status = OPERATIONAL de Google Places no afirma que el local este abierto: es LA AUSENCIA DE UNA SENAL DE CIERRE. El campo no distingue 'esta abierto' de 'no me entere', y como el valor por defecto se lee como confirmacion, setenta consultas sin senal se leen como setenta confirmaciones.",2026-08-08,"fuentes_con_defecto_FD20_FD22.csv · Familia de R8 pero peor: R8 cubre el campo que vuelve VACIO sin fallar; este vuelve LLENO Y AFIRMATIVO. Es FD-12 en sentido contrario: aquella era una marca de cierre visible e inauditable, esta es una marca de apertura auditable y vacia de contenido."
FD-22,"Titular que afirma el desenlace opuesto, en dominio inaccesible",El titular contradice a la cobertura mayoritaria y no hay forma de datarlo. Puede ser anterior por anos: el establecimiento tuvo dificultades previas.,fase documental · archivo canónico,"SE ANOTA Y NO SE CONVIERTE EN VEREDICTO, igual que FD-12. Un titular que afirma el desenlace opuesto en un dominio que no se puede abrir es exactamente el material con el que se arma un veredicto falso.",,,"Una nota titulada 'el famoso restaurante que se salvo de la quiebra' aparece en el buscador junto a la cobertura del decreto, y se lee como si la quiebra se hubiera revertido. El dominio devuelve 403 y no se puede fechar ni leer.",2026-08-08,fuentes_con_defecto_FD20_FD22.csv · Aparecio verificando The New Brighton. No se uso. El caso lo resolvio Tripadvisor leyendo las dos fichas y las fechas una por una (FD-08).
